identifier,dragonIdentifier,buildingIdentifier,priority,h
String,String,String,Integer,String
default1,,archerTower,10,
default34,,archerTowerTutorial,10,
default2,,ballista,10,
default3,,hogFarm,5,
default4,,cannonTower,10,
default32,,cannonTowerTutorial,10,
default5,,stormTower,30,
default33,,stormTowerTutorial,30,
default6,,lightningTower,10,
default7,,mageTower,20,
default9,,smokeTower,10,
default10,,trebuchet,10,
default11,,stable,1,
default12,,incubator,1,
default14,,guild,1,
default15,,builder,1,
default16,,mageBlueTower,20,
default17,,decoy,1,
default18,,breedingGround,1,
default19,,research,1,
default20,,iceTurret,10,
default21,,fireTurret,10,
default23,,runeBuilding,10,
default24,,storage,1,
default25,,salvageDepot,1,
default26,,iceTotem,7,
default27,,fireTotem,7,
default28,,darkTotem,7,
default29,,earthTotem,7,
default30,,windTotem,7,
default31,,woodFarm,5,
default35,,lightningTowerTutorial,10,
default36,,dragonPerch,10,
default37,,elementalFlakDark,15,
default38,,poacher,25,
default39,,elementalFlakFire,15,
default40,,goldMine,2,
default41,,elementalFlakIce,15,
default42,,elementalFlakWind,15,
default43,,elementalFlakEarth,15,
default44,,archerTowerBossNDE,25,
default45,,cannonTowerBossNDE,25,
default46,,orbTowerBossNDE,25,
boneDefense1,boneDefenseDragon,archerTower,15,
boneDefense2,boneDefenseDragon,ballista,18,
boneDefense3,boneDefenseDragon,hogFarm,10,
boneDefense5,boneDefenseDragon,cannonTower,12,
boneDefense6,boneDefenseDragon,stormTower,12,
boneDefense7,boneDefenseDragon,lightningTower,12,
boneDefense8,boneDefenseDragon,mageTower,20,
boneDefense10,boneDefenseDragon,smokeTower,8,
boneDefense11,boneDefenseDragon,trebuchet,14,
boneDefense12,boneDefenseDragon,stable,20,
boneDefense13,boneDefenseDragon,incubator,20,
boneDefense15,boneDefenseDragon,guild,6,
boneDefense16,boneDefenseDragon,builder,6,
boneDefense17,boneDefenseDragon,mageBlueTower,6,
boneDefense18,boneDefenseDragon,breedingGround,5,
boneDefense19,boneDefenseDragon,research,5,
serpentDefense1,serpentDefenseDragon,archerTower,15,
serpentDefense2,serpentDefenseDragon,ballista,18,
serpentDefense3,serpentDefenseDragon,hogFarm,10,
serpentDefense5,serpentDefenseDragon,cannonTower,12,
serpentDefense6,serpentDefenseDragon,stormTower,12,
serpentDefense7,serpentDefenseDragon,lightningTower,12,
serpentDefense8,serpentDefenseDragon,mageTower,20,
serpentDefense10,serpentDefenseDragon,smokeTower,8,
serpentDefense11,serpentDefenseDragon,trebuchet,14,
serpentDefense12,serpentDefenseDragon,stable,20,
serpentDefense13,serpentDefenseDragon,incubator,20,
serpentDefense15,serpentDefenseDragon,guild,6,
serpentDefense16,serpentDefenseDragon,builder,6,
serpentDefense17,serpentDefenseDragon,mageBlueTower,6,
serpentDefense18,serpentDefenseDragon,breedingGround,5,
serpentDefense19,serpentDefenseDragon,research,5,!@#ajamehkakildahnh
