identifier,projectileBuildingsMoreThanTwo,protectBuildingsMoreThanOne,lightningBuildingsMoreThanTwo,poisonBuildingsMoreThanTwo,buildingsMoreThanTwo,almostDie,useFluxToDestroyRedMage,useFluxToDestroyBlueMage,h
String,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,String
aoeSpell,11,11,11,11,11,4,100,100,
aoeSpellDivine,11,11,11,11,11,4,100,100,
battlecry,8,8,8,9,8,100,100,100,
chainLightning,11,11,11,11,11,100,100,100,
chainLightningSuper,11,11,11,11,11,100,100,100,
chargedShield,5,3,4,4,3,100,100,100,
chargedShieldSuper,5,3,4,4,3,100,100,100,
cloak,100,100,100,100,100,10,100,100,
curePoison,100,100,100,3,100,100,100,100,
dodge,100,100,100,100,100,100,100,100,
energySyphon,7,7,7,7,7,100,100,100,
fluxSpell,30,30,30,30,30,100,1,1,
freezeSpell,2,1,2,1,1,2,100,100,
freezeSpellSuper,2,1,2,1,1,2,100,100,
frenzySpell,7,7,7,8,7,100,100,100,
frozenTomb,2,1,2,1,1,2,100,100,
galvanicOverloadSpell,7,7,7,7,7,100,100,100,
healDragon,30,30,30,30,30,100,100,100,
healingMark,30,30,30,30,30,100,100,100,
hover,100,100,100,100,100,100,100,100,
hurricane,4,4,4,6,4,100,100,100,
iceShock,100,100,100,100,100,100,100,100,
increaseRage,100,100,100,100,100,100,100,100,
instantKill,4,4,4,4,4,100,100,100,
intimidatingRoar,6,6,6,6,6,100,100,100,
invertSpell,1,100,100,5,100,100,100,100,
invertSpellReverse,1,100,100,5,100,100,100,100,
invincibleSpell,3,2,3,2,2,3,100,100,
kamikaze,100,100,100,100,100,2,100,100,
lockdown,7,7,7,7,7,100,100,100,
northernLightsDark,100,100,100,100,100,100,100,100,
risingPhoenix,100,100,100,100,100,1,100,100,
sacrifice,100,100,100,100,100,100,100,100,
seethingSpark,4,4,4,4,4,100,100,100,
shortCircuit,100,4,1,100,4,100,100,100,
southernCrossDark,100,100,100,100,100,100,100,100,
speedBoost,100,100,100,100,100,100,100,100,
stealEssence,100,100,100,100,100,100,100,100,
stoneskin,6,6,6,7,6,100,100,100,
summonAIDragon,20,20,20,20,20,100,100,100,
teleport,100,100,100,100,100,100,100,100,
thunderstorm,7,7,7,8,7,7,100,100,
whiteChargedShield,5,3,4,4,3,100,100,100,
whiteSummonDragon,100,100,100,100,100,100,100,100,
chaos,100,100,100,100,100,100,100,100,
whiteDreadfulRoar,100,100,100,100,100,100,100,100,
whiteSacrifice,100,100,100,100,100,100,100,100,
fireShield,100,100,100,100,100,100,100,100,
superRejuvenate,100,100,100,100,100,100,100,100,
entrap,100,100,100,100,100,100,100,100,
enfeeble,100,100,100,100,100,100,100,100,
resurrection,100,100,100,100,100,100,100,100,
whiteChainLightning,100,100,100,100,100,100,100,100,
ashenBreath,100,100,100,100,100,100,100,100,
mysticWind,100,100,100,100,100,100,100,100,
crumbleToDust,100,100,100,100,100,100,100,100,
desiccatingSand,100,100,100,100,100,100,100,100,
borrowTime,100,100,100,100,100,100,100,100,!@#mcikckilagiacgaa
