identifier,prerequisites,steps,fallThroughs,achievementDescription,isTutorial,isRuneTutorial,inBundle,characterThumbnail,currencyRewardString,rewardIdentifier,visible,isXGameAchievement,featureUnlockOptions,splitTestOptions,priority,showGoButton,showNewArrow,isEvent,comments,shouldReportToTune,shouldReportToFB,dontRewardOnFallThrough,isMainQuestAchievement,shouldReactivatePrerequisites,h
String,String,String,String,LocalizedString,Integer,Integer,Integer,String,String,String,Integer,Integer,String,String,Integer,Integer,Integer,Integer,String,Integer,Integer,Integer,Integer,Integer,String
level01,,level01Step,,Reach Level 1,0,,,image_quest_03.png,,seededConsumables,0,,,,0,1,0,0,Reach Level 1,0,,,,,
level02,level01,level02Step,,Reach Level 2,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 2,1,1,,,,
level03,level02,level03Step,,Reach Level 3,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 3,1,1,,,,
level04,level03,level04Step,,Reach Level 4,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 4,0,,,,,
level05,level04,level05Step,,Reach Level 5,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 5,0,,,,,
level06,level05,level06Step,,Reach Level 6,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 6,0,,,,,
level07,level06,level07Step,,Reach Level 7,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 7,1,1,,,,
level08,level07,level08Step,,Reach Level 8,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 8,0,,,,,
level09,level08,level09Step,,Reach Level 9,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 9,0,,,,,
level10,level09,level10Step,,Reach Level 10,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 10,0,,,,,
level11,level10,level11Step,,Reach Level 11,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 11,0,,,,,
level12,level11,level12Step,,Reach Level 12,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 12,0,,,,,
level13,level12,level13Step,,Reach Level 13,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 13,0,,,,,
level14,level13,level14Step,,Reach Level 14,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 14,0,,,,,
level15,level14,level15Step,,Reach Level 15,0,,,image_quest_03.png,,,0,,,,0,1,0,0,Reach Level 15,0,,,,,
