identifier,prerequisiteAchievements,prerequisiteAchievementChains,chainAchievements,startTime,endTime,minimumStartTime,durationInSeconds,isRestartable,splitTestOptions,shouldUseLocalizationDateOffset,h
String,String,String,String,Date,Date,Date,Integer,Integer,String,Integer,String
LTOdragonAchievement_1,level06,,fixForChains,2015.03.13 12:15:00,2015.03.17 23:59:59,,,0,,,
haveFirstRareExpert_1,collectFirstRareDragon,,haveFirstRareExpert,,,2015.03.02 11:00:00,86400,0,,,
destroyEnemyTowers,tutorialPve06Finish,,destroyEnemyTowers,,,2015.03.02 11:00:00,43200,0,,,
march6Event,level07,,fixforChains2,2015.03.13 12:15:00,2015.03.15 23:59:59,,,0,,,
LTOdragonAchievement_Dodo,level06,,LTOdragonAchievement,2015.03.13 11:15:00,2015.03.17 22:59:59,,,0,,,
march13Event,level07,,march6Event,2015.03.13 12:15:00,2015.03.15 22:59:59,,,0,,,
march27BreedingEvent,level06,,march27BreederEvent,2015.03.27 12:00:00,2015.03.30 16:00:00,,,0,,,
May1BreedEvent,level06,,May1BreederEvent,2015.03.27 12:00:00,2015.05.04 14:00:00,,,0,,,
May1BreedEventResults,level06,,May1BreederEventResults,2015.05.04 14:00:00,2015.05.05 14:00:00,,,0,,,
LTOdragonAchievement_April_1,level06,,LTOdragonAchievementApril1,2015.03.13 11:15:00,2015.05.10 22:59:00,,,0,,,
LTOdragonAchievement_April_2,level06,,LTOdragonAchievementApril2,2015.03.13 11:15:00,2015.05.10 22:59:00,,,0,,,
epicDominationApril,level06,,epicDominationApril,2015.03.27 12:00:00,2015.05.08 13:00:00,,,0,,,
epicDominationAprilResults,level06,,epicDominationAprilResults,2015.05.08 13:00:00,2015.05.09 13:00:00,,,0,,,
XpEventMay,level06,,XpEventMay,2015.03.13 11:15:00,2015.05.13 19:00:00,,,0,,,
XpEventMayResults,level06,,XpEventMayResults,2015.05.13 19:01:00,2015.05.14 19:00:00,,,0,,,
GauntletMay,level06,,GauntletMay,2015.03.13 11:15:00,2015.05.18 11:00:00,,,0,,,
GauntletMayResults,level06,,GauntletMayResults,2015.05.18 11:01:00,2015.05.19 11:01:00,,,0,,,
BuildingsEventMay,level06,,BuildingsEventMay,2015.03.13 11:15:00,2015.06.01 15:00:00,,,0,,,
BuildingsEventMayResults,level06,,BuildingsEventMayResults,2015.06.01 15:01:00,2015.06.02 15:00:00,,,0,,,
