identifier,prerequisiteAchievements,componentAchievements,mainAchievement,displayName,displayText,characterPortrait,priority,h
String,String,String,String,LocalizedString,LocalizedString,String,Integer,String
mainquest_StrongFoundation,,mainquest_StrongFoundation_chain01_a|mainquest_StrongFoundation_chain02_a|mainquest_StrongFoundation_chain03_a|mainquest_StrongFoundation_chain03_b|mainquest_StrongFoundation_chain04_a,mainquest_StrongFoundation_complete,A Strong Foundation,Prepare for a glorious future!,alessia,1,
mainquest_ZinBlueHornedDragon,,mainquest_ZinBlueHornedDragon_chain01_a|mainquest_ZinBlueHornedDragon_chain02_a|mainquest_ZinBlueHornedDragon_chain03_a|mainquest_ZinBlueHornedDragon_chain03_b|mainquest_ZinBlueHornedDragon_chain03_c|mainquest_ZinBlueHornedDragon_chain04_a,mainquest_ZinBlueHornedDragon_complete,The Blue Horned Dragon,,agustus,2,
mainquest_SourceOfMagic,,mainquest_SourceOfMagic_chain01_a|mainquest_SourceOfMagic_chain02_a|mainquest_SourceOfMagic_chain03_a|mainquest_SourceOfMagic_chain03_b|mainquest_SourceOfMagic_chain04_a,mainquest_SourceOfMagic_complete,The Source of Magic,Prepare for your first Sorcerer dragon!,agustus,3,
mainquest_LeviathanSorcerer,,mainquest_LeviathanSorcerer_chain01_a|mainquest_LeviathanSorcerer_chain02_a|mainquest_LeviathanSorcerer_chain02_b|mainquest_LeviathanSorcerer_chain02_c|mainquest_LeviathanSorcerer_chain03_a|mainquest_LeviathanSorcerer_chain04_a,mainquest_LeviathanSorcerer_complete,Waking Leviathan,Witness the power of Leviathan!,agustus,4,
mainquest_LegendOfKinnara,,mainquest_LegendOfKinnara_chain01_a|mainquest_LegendOfKinnara_chain02_a|mainquest_LegendOfKinnara_chain02_b|mainquest_LegendOfKinnara_chain02_c|mainquest_LegendOfKinnara_chain03_a|mainquest_LegendOfKinnara_chain03_b|mainquest_LegendOfKinnara_chain03_c|mainquest_LegendOfKinnara_chain04_a,mainquest_LegendOfKinnara_complete,The Legend of Kinnara,An epic dragon awaits you!,agustus,5,
mainquest_TheMightyKinnara,,mainquest_TheMightyKinnara_chain01_a|mainquest_TheMightyKinnara_chain02_a|mainquest_TheMightyKinnara_chain02_b|mainquest_TheMightyKinnara_chain03_a|mainquest_TheMightyKinnara_chain03_b|mainquest_TheMightyKinnara_chain04_a,mainquest_TheMightyKinnara_complete,The Mighty Kinnara,Set the stage for Kinnara's Return,agustus,6,
mainquest_KinnaraWrath,,mainquest_KinnaraWrath_chain02_a|mainquest_KinnaraWrath_chain02_b,mainquest_KinnaraWrath_complete,Kinnara's Wrath,Kinnara rises again!,agustus,7,
mainquest_AnUnexpectedSorcerer,,mainquest_AnUnexpectedSorcerer_chain02_a|mainquest_AnUnexpectedSorcerer_chain03_a|mainquest_AnUnexpectedSorcerer_chain03_b|mainquest_AnUnexpectedSorcerer_chain03_c|mainquest_AnUnexpectedSorcerer_chain03_d|mainquest_AnUnexpectedSorcerer_chain03_e|mainquest_AnUnexpectedSorcerer_chain04_a|mainquest_AnUnexpectedSorcerer_chain04_b,mainquest_AnUnexpectedSorcerer_complete,An Unexpected Sorcerer,What's in the egg?!,agustus,8,
mainquest_ALegendAwaits,,mainquest_ALegendAwaits_chain02_a1|mainquest_ALegendAwaits_chain02_b|mainquest_ALegendAwaits_chain02_c|mainquest_ALegendAwaits_chain02_a2|mainquest_ALegendAwaits_chain03_a|mainquest_ALegendAwaits_chain04_a,mainquest_ALegendAwaits_complete,A Legend Awaits,Pave the way for the Earth Avatar!,agustus,9,
mainquest_LegacyOfEarthAndAir,,mainquest_LegacyOfEarthAndAir_chain01_a|mainquest_LegacyOfEarthAndAir_chain02_a1|mainquest_LegacyOfEarthAndAir_chain02_b1|mainquest_LegacyOfEarthAndAir_chain02_c1|mainquest_LegacyOfEarthAndAir_chain02_a2|mainquest_LegacyOfEarthAndAir_chain02_b2|mainquest_LegacyOfEarthAndAir_chain02_c2|mainquest_LegacyOfEarthAndAir_chain03_a|mainquest_LegacyOfEarthAndAir_chain03_b|mainquest_LegacyOfEarthAndAir_chain03_c,mainquest_LegacyOfEarthAndAir_complete,Legacy of Earth and Air,Lineage of a legend!,agustus,10,
mainquest_TheAvatarOfEarth,,mainquest_TheAvatarOfEarth_chain01_a|mainquest_TheAvatarOfEarth_chain02_a1|mainquest_TheAvatarOfEarth_chain02_a2|mainquest_TheAvatarOfEarth_chain03_a,mainquest_TheAvatarOfEarth_complete,The Avatar of Earth,Preparing for Arborius!,agustus,11,
mainquest_ArboriusUnleashed,,mainquest_ArboriusUnleashed_chain01_a|mainquest_ArboriusUnleashed_chain02_a|mainquest_ArboriusUnleashed_chain02_b|mainquest_ArboriusUnleashed_chain02_c|mainquest_ArboriusUnleashed_chain03_a|mainquest_ArboriusUnleashed_chain03_b|mainquest_ArboriusUnleashed_chain03_c|mainquest_ArboriusUnleashed_chain04_a,mainquest_ArboriusUnleashed_complete,Arborius Unleashed!,Feel the earth tremble!,agustus,12,
mainquest_redux,level999,mainquest_redux_chain01_a|mainquest_redux_chain01_b|mainquest_redux_chain01_c|mainquest_redux_chain01_d|mainquest_redux_chain01_e,mainquest_redux_complete,(HEROES)RED Quest for Armor,Get all 4 Limited Edition (PRODUCT)RED armor pieces to unlock animated (HEROES)RED portraits!,reduxF,1,!@#albekjclcbmmhlch
