identifier,requirementClassString,requiredAmount,category,subcategory,displayDescription,upgradeLevel,battleOutcome,buildingTypes,inBundle,iconFilename,advisor,priority,showProgress,timeLimitInSeconds,currencyCostToSkipString,comments,h
String,String,Integer,String,String,LocalizedString,Integer,String,String,Integer,String,String,Integer,Integer,Integer,String,String,String
level01Step,LevelRequirement,1,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level02Step,LevelRequirement,2,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level03Step,LevelRequirement,3,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level04Step,LevelRequirement,4,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level05Step,LevelRequirement,5,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level06Step,LevelRequirement,6,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level07Step,LevelRequirement,7,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level08Step,LevelRequirement,8,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level09Step,LevelRequirement,9,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level10Step,LevelRequirement,10,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level11Step,LevelRequirement,11,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level12Step,LevelRequirement,12,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level13Step,LevelRequirement,13,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level14Step,LevelRequirement,14,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level15Step,LevelRequirement,15,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level16Step,LevelRequirement,16,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level17Step,LevelRequirement,17,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level18Step,LevelRequirement,18,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level19Step,LevelRequirement,19,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level20Step,LevelRequirement,20,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level21Step,LevelRequirement,21,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level22Step,LevelRequirement,22,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level23Step,LevelRequirement,23,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level24Step,LevelRequirement,24,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level25Step,LevelRequirement,25,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level26Step,LevelRequirement,26,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level27Step,LevelRequirement,27,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level28Step,LevelRequirement,28,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level29Step,LevelRequirement,29,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level30Step,LevelRequirement,30,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level31Step,LevelRequirement,31,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level32Step,LevelRequirement,32,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level33Step,LevelRequirement,33,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level34Step,LevelRequirement,34,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level35Step,LevelRequirement,35,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level36Step,LevelRequirement,36,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level37Step,LevelRequirement,37,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level38Step,LevelRequirement,38,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level39Step,LevelRequirement,39,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level40Step,LevelRequirement,40,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
level41Step,LevelRequirement,41,,,,,,,0,icon_attack_01.png,kyra,0,1,,,,
