identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusProjectileIdentifier,heightAttackBonusPercentage,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,onBattleStartEffect,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,Integer,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String,String
ArcherTowerBossNDEUpgrades_1,1,sceneFile,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,11000,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,289,1040,0,prj_archer_height,25,,,experience:1,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level01|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level01_death.lvl,Bone_turret,Flaming Arrow,,0,,,8,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_2,2,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:9,120,,1,13068,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,343,1234,0,prj_Archer_height_level02,25,,,experience:13,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level02_death.lvl,Bone_turret,Flaming Arrow,,0,,,12,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_3,3,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,15708,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,436,1571,0,prj_Archer_height_level02,25,,,experience:60,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,0,,,18,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_4,4,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,18838,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,604,2176,0,prj_Archer_height_level03,25,,,experience:140,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,32,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_5,5,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,21958,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,836,3011,0,prj_Archer_height_level03,25,,,experience:240,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,50,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_6,6,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,26144,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,1137,4093,0,prj_Archer_height_level03,25,,,experience:405,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,84,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_7,7,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,31050,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,1544,5559,0,prj_Archer_height_level04,25,,,experience:600,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,140,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_8,8,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,36678,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,2089,7521,0,prj_Archer_height_level04,25,,,experience:600,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,224,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_9,9,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,43098,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,2816,10136,0,prj_Archer_height_level04,25,,,experience:750,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,342,ceilDamageEffectsModule50,
ArcherTowerBossNDEUpgrades_10,10,0,tur_boss_archer.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,50382,3.6,0.9,70,prj_Arrow_NDEBoss,hpReduction:hpReduction21,3639,13099,0,prj_Archer_height_level04,25,,,experience:912,,prj_arrow_NDEBoss_super,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,3,,,520,ceilDamageEffectsModule50,
