identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusProjectileIdentifier,heightAttackBonusPercentage,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,Integer,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
ArcherTowerBossUpgrades_1,1,sceneFile,bld_archer_level01.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,12375,4,0.25,70,prj_archer,hpReduction:hpReduction21,867,3120,0,prj_archer_height,25,,,experience:1,,prj_archer_special,dragonSpellDependent:archerSuperShot_level01|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level01_death.lvl,Bone_turret,Flaming Arrow,,0,,,8,
ArcherTowerBossUpgrades_2,2,0,bld_archer_level02.lvl,stru_tower_lobLocators.lvl,piercing:9,120,,1,14702,4,0.25,70,prj_Arrow_level02,hpReduction:hpReduction21,1029,3702,0,prj_Archer_height_level02,25,,,experience:13,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level02_death.lvl,Bone_turret,Flaming Arrow,,0,,,12,
ArcherTowerBossUpgrades_3,3,0,bld_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,17672,4,0.25,70,prj_Arrow_level02,hpReduction:hpReduction21,1308,4713,0,prj_Archer_height_level02,25,,,experience:60,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,0,,,18,
ArcherTowerBossUpgrades_4,4,0,bld_archer_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,21193,4,0.25,70,prj_Arrow_level03,hpReduction:hpReduction21,1812,6528,0,prj_Archer_height_level03,25,,,experience:140,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,32,
ArcherTowerBossUpgrades_5,5,0,bld_archer_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,24703,4,0.25,70,prj_Arrow_level03,hpReduction:hpReduction21,2508,9033,0,prj_Archer_height_level03,25,,,experience:240,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,50,
ArcherTowerBossUpgrades_6,6,0,bld_archer_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,29412,4,0.25,70,prj_Arrow_level03,hpReduction:hpReduction21,3411,12279,0,prj_Archer_height_level03,25,,,experience:405,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,84,
ArcherTowerBossUpgrades_7,7,0,bld_archer_level04.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,34931,4,0.25,70,prj_Arrow_level04,hpReduction:hpReduction21,4632,16677,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,140,
ArcherTowerBossUpgrades_8,8,0,bld_archer_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,41263,4,0.25,70,prj_Arrow_level04,hpReduction:hpReduction21,6267,22563,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,224,
ArcherTowerBossUpgrades_9,9,0,bld_archer_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,48485,4,0.25,70,prj_Arrow_level04,hpReduction:hpReduction21,8448,30408,0,prj_Archer_height_level04,25,,,experience:750,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,342,
ArcherTowerBossUpgrades_10,10,0,bld_archer_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,56680,4,0.25,70,prj_Arrow_level04,hpReduction:hpReduction21,10917,39297,0,prj_Archer_height_level04,25,,,experience:912,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,3,,,520,
