identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusProjectileIdentifier,heightAttackBonusPercentage,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,Integer,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
ArcherTowerUpgrades_1,1,sceneFile,bld_archer_level01.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,5500,1.2,0.9,70,prj_archer,hpReduction:hpReduction21,289,1040,0,prj_archer_height,25,,,experience:1,,prj_archer_special,dragonSpellDependent:archerSuperShot_level01|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level01_death.lvl,Bone_turret,Flaming Arrow,,0,,,8,
ArcherTowerUpgrades_2,2,0,bld_archer_level02.lvl,stru_tower_lobLocators.lvl,piercing:9,120,,1,6534,1.2,0.9,70,prj_Arrow_level02,hpReduction:hpReduction21,343,1234,0,prj_Archer_height_level02,25,,,experience:13,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level02_death.lvl,Bone_turret,Flaming Arrow,,0,,,12,
ArcherTowerUpgrades_3,3,0,bld_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,7854,1.2,0.9,70,prj_Arrow_level02,hpReduction:hpReduction21,436,1571,0,prj_Archer_height_level02,25,,,experience:60,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,0,,,18,
ArcherTowerUpgrades_4,4,0,bld_archer_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,9419,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,604,2176,0,prj_Archer_height_level03,25,,,experience:140,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,32,
ArcherTowerUpgrades_5,5,0,bld_archer_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,10979,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,836,3011,0,prj_Archer_height_level03,25,,,experience:240,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,50,
ArcherTowerUpgrades_6,6,0,bld_archer_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,13072,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,1137,4093,0,prj_Archer_height_level03,25,,,experience:405,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level03_death.lvl,Bone_turret,Flaming Arrow,,1,,,84,
ArcherTowerUpgrades_7,7,0,bld_archer_level04.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,7,15525,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,1544,5559,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,140,
ArcherTowerUpgrades_8,8,0,bld_archer_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,7,18339,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,2089,7521,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,224,
ArcherTowerUpgrades_9,9,0,bld_archer_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,12,21549,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,2816,10136,0,prj_Archer_height_level04,25,,,experience:750,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,2,,,342,
ArcherTowerUpgrades_10,10,0,bld_archer_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,17,25191,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,3639,13099,0,prj_Archer_height_level04,25,,,experience:912,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level04_death.lvl,Bone_turret,Flaming Arrow,,3,,,520,
ArcherTowerUpgrades_11,11,0,bld_archer_level05.lvl,stru_tower_lobLocators.lvl,piercing:7336,51896,,17,28826,1.2,0.9,70,prj_Arrow_level05,hpReduction:hpReduction21,4095,14742,0,prj_Archer_height_level05,25,,,experience:936,,prj_archer_special_level05,dragonSpellDependent:archerSuperShot_level05|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level05_death.lvl,Bone_turret,Flaming Arrow,,3,,,660,
ArcherTowerUpgrades_12,12,0,bld_archer_level05-2.lvl,stru_tower_lobLocators.lvl,piercing:11306,66355,,17,32316,1.2,0.9,70,prj_Arrow_level05,hpReduction:hpReduction21,4590,16525,0,prj_Archer_height_level05,25,,,experience:1280,,prj_archer_special_level05,dragonSpellDependent:archerSuperShot_level05|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level05_death.lvl,Bone_turret,Flaming Arrow,,4,,,840,
ArcherTowerUpgrades_13,13,0,bld_archer_level05-3.lvl,stru_tower_lobLocators.lvl,piercing:18051,103561,,21,36083,1.2,0.9,70,prj_Arrow_level05,hpReduction:hpReduction21,5125,18449,0,prj_Archer_height_level05,25,,,experience:1644,,prj_archer_special_level05,dragonSpellDependent:archerSuperShot_level05|showBattleText:archerShotText,1.5,0.7,1,90,bld_archer_level05_death.lvl,Bone_turret,Flaming Arrow,,4,,,1040,
