identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
AshRider_1,1,redRiderShard:5,,5,100,
AshRider_2,2,redRiderShard:2,400,1,200,
AshRider_3,3,redRiderShard:2,579,1,300,
AshRider_4,4,redRiderShard:3,734,1,400,
AshRider_5,5,redRiderShard:3,873,1,500,
AshRider_6,6,redRiderShard:3,1003,1,600,
AshRider_7,7,redRiderShard:3,1126,1,700,
AshRider_8,8,redRiderShard:3,1247,1,800,
AshRider_9,9,redRiderShard:3,1364,1,900,
AshRider_10,10,redRiderShard:4,1481,5,1000,
AshRider_11,11,redRiderShard:4,1598,2,1100,
AshRider_12,12,redRiderShard:4,1716,2,1200,
AshRider_13,13,redRiderShard:4,1837,2,1300,
AshRider_14,14,redRiderShard:4,1960,2,1400,
AshRider_15,15,redRiderShard:4,2087,2,1500,
AshRider_16,16,redRiderShard:4,2217,2,1600,
AshRider_17,17,redRiderShard:5,2352,2,1700,
AshRider_18,18,redRiderShard:5,2493,2,1800,
AshRider_19,19,redRiderShard:5,2639,2,1900,
AshRider_20,20,redRiderShard:5,2790,5,2000,
AshRider_21,21,redRiderShard:5,2948,2,2100,
AshRider_22,22,redRiderShard:6,3113,2,2200,
AshRider_23,23,redRiderShard:6,3285,2,2300,
AshRider_24,24,redRiderShard:6,3466,2,2400,
AshRider_25,25,redRiderShard:6,3654,2,2500,
AshRider_26,26,redRiderShard:6,3853,2,2600,
AshRider_27,27,redRiderShard:7,4061,2,2700,
AshRider_28,28,redRiderShard:7,4278,2,2800,
AshRider_29,29,redRiderShard:7,4506,2,2900,
AshRider_30,30,redRiderShard:8,4746,5,3000,
AshRider_31,31,redRiderShard:8,4998,3,3100,
AshRider_32,32,redRiderShard:8,5262,3,3200,
AshRider_33,33,redRiderShard:8,5540,3,3300,
AshRider_34,34,redRiderShard:9,5831,3,3400,
AshRider_35,35,redRiderShard:9,6138,3,3500,
AshRider_36,36,redRiderShard:10,6460,3,3600,
AshRider_37,37,redRiderShard:10,6799,3,3700,
AshRider_38,38,redRiderShard:10,7154,3,3800,
AshRider_39,39,redRiderShard:11,7529,3,3900,
AshRider_40,40,redRiderShard:11,7922,5,4000,
AshRider_41,41,redRiderShard:12,8336,3,4100,
AshRider_42,42,redRiderShard:12,8772,3,4200,
AshRider_43,43,redRiderShard:13,9229,3,4300,
AshRider_44,44,redRiderShard:14,9710,3,4400,
AshRider_45,45,redRiderShard:14,10217,5,4500,
AshRider_46,46,redRiderShard:15,10750,3,4600,
AshRider_47,47,redRiderShard:15,11311,3,4700,
AshRider_48,48,redRiderShard:16,11900,3,4800,
AshRider_49,49,redRiderShard:17,12521,3,4900,
AshRider_50,50,redRiderShard:18,13173,5,5000,!@#ancmkbifoelhjmfb
