identifier,inBundle,sceneFile,podFile,imageFile,rawFile,comments,h
String,Integer,String,String,String,String,String,String
lightningSuperShot1,1,,lightningLarge_01.POD,,,,
lightningSuperShot2,1,,lightningLarge_02.POD,,,,
lightningSuperShot3,1,,lightningSmall_01.POD,,,,
lightningSuperShot4,1,,lightningSmall_02.POD,,,,
buildingLoadingSceneFile,1,bld_construction.lvl,,,,,
constructionSceneFile,1,bld_construction.lvl,,,,,
genericBuildingExplosionSceneFile,1,bld_gib_generic.lvl,,,,,
genericExplosionSceneFile,1,explosion_particle.lvl,,,,,
buildingBaseSceneFile,1,bld_base.lvl,,,,,
craneSceneFile,0,bld_builderHut_crane.lvl,,,,,
currencyLoadingSceneFile,1,icon_lumber.lvl,,,,,
buildingHealSceneFile,1,eff_healGlow.lvl,,,,,
whaleSceneFile,1,whaleBreach.lvl,,,,,
oceanSplashSceneFile,1,ocean_splash.lvl,,,,,
dragonLoadingSceneFile,1,drg_fire_v1.lvl,,,,,
eggLoadingSceneFile,1,egg_red_V1.lvl,,,,,
critterLoadingSceneFile,1,bird01.lvl,,,,,
shieldDeathSceneFile,1,shield_death.lvl,,,,,
shieldSceneFile,1,shield.lvl,,,,,
heatBlastShieldSceneFile,,shield_heatBlast.lvl,,,,,
heatBlastShieldSupershotDeathSceneFile,,shield_heatBlast_supershot_death.lvl,,,,,
dailyQuestBlimpGlowSceneFile,0,bld_balloon_potGlow.lvl,,,,,
instakillWispAnimation,1,,instakill_path_1.POD,,,,
instakillWispAnimationTip,1,,instakill_path_2.POD,,,,
bldDamagedParticleSceneFile,1,bld_damaged_particle.lvl,,,,,
stableInteriorSceneFile,0,stableInterior.lvl,,,,,
areaClearContextIcon,1,,,icon_clear_foliage.png,,,
regionClearContextIcon,1,,,icon_clear_fog.png,,,
shipSceneFile,1,boat01.lvl,,,,,
shipDeathSceneFile,0,boat_death_01.lvl,,,,,
genericTreeDeathSceneFile,1,ter_level03_treeGeneric_death.lvl,,,,,
ter_level03_palmTall_death,0,ter_level03_palmTall_death.lvl,,,,,
ter_level03_palmShort_death,0,ter_level03_palmShort_death.lvl,,,,,
ter_level03_fern_death,0,ter_level03_fern_death.lvl,,,,,
ter_level03_treePine_death,0,ter_level03_treePine_death.lvl,,,,,
ter_level03_treeLeaf_death,0,ter_level03_treeLeaf_death.lvl,,,,,
ter_level03_treeMaple_death,0,ter_level03_treeLeaf_death.lvl,,,,,
ter_level03_deadFern_death,0,ter_level03_deadFern_death.lvl,,,,,
ter_level03_deadTree_death,0,ter_level03_deadTree_death.lvl,,,,,
ter_level03_deadTreeArch_death,0,ter_level03_deadTreeArch_death.lvl,,,,,
ter_level03_deadTreeLeaf_death,0,ter_level03_deadTreeLeaf_death.lvl,,,,,
ter_level03_deadTreeLeafArch_death,0,ter_level03_deadTreeLeafArch_death.lvl,,,,,
scorchSceneFile,1,bld_scorchmark.lvl,,,,,
bridgeDeathSceneFile,0,bridge_death_01.lvl,,,,,
floatingCloudSceneFile,1,floating_cloud.lvl,,,,,
treeScorchSceneFile,1,tree_scorchmark.lvl,,,,,
whaleDeathSceneFile,0,whale_death.lvl,,,,,
reticleTexture,1,,,,RingTexture.png,,
lockdownNetSceneFile,0,ptl_lockdown_net_01.lvl,,,,,
stoneskinShieldSceneFile,0,shield_stoneskin.lvl,,,,,
stoneskinShieldDeathSceneFile,0,shield_stoneskin_death.lvl,,,,,
windShieldSceneFile,0,windShield.lvl,,,,,
windShieldBurstSceneFile,0,windShieldBurst.lvl,,,,,
chargedShieldSceneFile,1,shield_charged.lvl,,,,,
chargedShieldDeathSceneFile,1,shield_charged_death.lvl,,,,,
chargedShieldSupershotDeathSceneFile,0,shield_charged_supershot_death.lvl,,,,,
frozenTombShieldSupershotDeathSceneFile,0,shield_frozenTomb_dissipation.lvl,,,,,
toggleOffDisabledButton,1,,,btn_toggle_offDisabled_small.png,,Must be in bundle,
building_select_01,1,building_select_01.lvl,,,,,
building_select_circular_range_01,1,building_select_circular_range_01.lvl,,,,,
building_selection_range_cone_01,1,building_selection_range_cone_01.lvl,,,,,
building_selection_slot_01,1,building_selection_slot_01.lvl,,,,,
vfx_building_upgrade_01,1,vfx_building_upgrade_01.lvl,,,,,
stru_resource_lumberMill_active01,0,stru_resource_lumberMill_active01.lvl,,,,,
stru_resource_lumberMill_active02,0,stru_resource_lumberMill_active02.lvl,,,,,
stru_resource_lumberMill_active03,0,stru_resource_lumberMill_active03.lvl,,,,,
stru_resource_vault_level02_active02,0,stru_resource_vault_level02_active02.lvl,,,,,
stru_resource_vault_level02_active01,0,stru_resource_vault_level02_active01.lvl,,,,,
