identifier,level,upgradeCost,upgradeXP,skillPointsGain,combatLevel,h
String,Integer,String,Integer,Integer,Integer,String
Atlas_Archer_1,1,blueRiderShard:500,,5,100,
Atlas_Archer_2,2,redRiderShard:2,400,3,200,
Atlas_Archer_3,3,redRiderShard:2,579,3,300,
Atlas_Archer_4,4,redRiderShard:3,734,3,400,
Atlas_Archer_5,5,redRiderShard:3,873,3,500,
Atlas_Archer_6,6,redRiderShard:3,1003,3,600,
Atlas_Archer_7,7,redRiderShard:3,1126,3,700,
Atlas_Archer_8,8,redRiderShard:3,1247,3,800,
Atlas_Archer_9,9,redRiderShard:3,1364,3,900,
Atlas_Archer_10,10,redRiderShard:4,1481,5,1000,
Atlas_Archer_11,11,redRiderShard:4,1598,3,1100,
Atlas_Archer_12,12,redRiderShard:4,1716,3,1200,
Atlas_Archer_13,13,redRiderShard:4,1837,3,1300,
Atlas_Archer_14,14,redRiderShard:4,1960,3,1400,
Atlas_Archer_15,15,redRiderShard:4,2087,3,1500,
Atlas_Archer_16,16,redRiderShard:4,2217,3,1600,
Atlas_Archer_17,17,redRiderShard:5,2352,3,1700,
Atlas_Archer_18,18,redRiderShard:5,2493,3,1800,
Atlas_Archer_19,19,redRiderShard:5,2639,3,1900,
Atlas_Archer_20,20,redRiderShard:5,2790,5,2000,
Atlas_Archer_21,21,redRiderShard:5,2948,4,2100,
Atlas_Archer_22,22,redRiderShard:6,3113,4,2200,
Atlas_Archer_23,23,redRiderShard:6,3285,4,2300,
Atlas_Archer_24,24,redRiderShard:6,3466,4,2400,
Atlas_Archer_25,25,redRiderShard:6,3654,4,2500,
Atlas_Archer_26,26,redRiderShard:6,3853,4,2600,
Atlas_Archer_27,27,redRiderShard:7,4061,4,2700,
Atlas_Archer_28,28,redRiderShard:7,4278,4,2800,
Atlas_Archer_29,29,redRiderShard:7,4506,4,2900,
Atlas_Archer_30,30,redRiderShard:8,4746,5,3000,
Atlas_Archer_31,31,redRiderShard:8,4998,4,3100,
Atlas_Archer_32,32,redRiderShard:8,5262,4,3200,
Atlas_Archer_33,33,redRiderShard:8,5540,4,3300,
Atlas_Archer_34,34,redRiderShard:9,5831,4,3400,
Atlas_Archer_35,35,redRiderShard:9,6138,4,3500,
Atlas_Archer_36,36,redRiderShard:10,6460,4,3600,
Atlas_Archer_37,37,redRiderShard:10,6799,4,3700,
Atlas_Archer_38,38,redRiderShard:10,7154,4,3800,
Atlas_Archer_39,39,redRiderShard:11,7529,4,3900,
Atlas_Archer_40,40,redRiderShard:11,7922,5,4000,
Atlas_Archer_41,41,redRiderShard:12,8336,4,4100,
Atlas_Archer_42,42,redRiderShard:12,8772,4,4200,
Atlas_Archer_43,43,redRiderShard:13,9229,4,4300,
Atlas_Archer_44,44,redRiderShard:14,9710,4,4400,
Atlas_Archer_45,45,redRiderShard:14,10217,5,4500,
Atlas_Archer_46,46,redRiderShard:15,10750,4,4600,
Atlas_Archer_47,47,redRiderShard:15,11311,4,4700,
Atlas_Archer_48,48,redRiderShard:16,11900,4,4800,
Atlas_Archer_49,49,redRiderShard:17,12521,4,4900,
Atlas_Archer_50,50,redRiderShard:18,13173,5,5000,!@#djciahainkohpgel
