identifier,audioFilename,inBundle,canBePurgedInBuildMode,shouldPreloadBeforeBattle,h
String,String,Integer,Integer,Integer,String
build_mode_music,music_mixed_build.mp3,0,,0,
attack_mode_music,mus_ds_attack_music_lp.mp3,0,1,0,
stable_music,mus_ds_stable_music.m4a,0,,0,
explosion_2_effect,sfx_battle_explosion_2.m4a,0,1,1,
level_up,sfx_ui_level_up.m4a,0,,0,
new_mail,sfx_ui_new_mail.mp3,0,,0,
cinematic_spray_fire,sfx_cinematic_spray_fire.m4a,0,,0,
comic_page_turn_1,UI_ComicPageTurn_01.m4a,1,1,0,
comic_page_turn_2,UI_ComicPageTurn_02.m4a,1,1,0,
comic_page_turn_3,UI_ComicPageTurn_03.m4a,1,1,0,
comic_page_turn_4,UI_ComicPageTurn_04.m4a,1,1,0,
click_attack_button,UI_Click_AttackButton.m4a,0,1,0,
select_land_plot,UI_Select_LandPlot.m4a,0,,0,
close_menu,UI_Close.m4a,0,,0,
construction_start,UI_Construction_Start.m4a,0,,0,
construction_inprogress,UI_Construction_InProgress.m4a,0,,0,
construction_complete,UI_Construction_Complete.m4a,0,,0,
dialogue_in,UI_DialogueBox_In.m4a,0,,0,
dialogue_out,UI_DialogueBox_Out.m4a,0,,0,
attacker_intro,UI_Attacker_In.m4a,0,1,1,
defender_intro,UI_Defender_In.m4a,0,1,1,
dialogue_text_writing,UI_TextWriting.m4a,0,,0,
vs_text_anim_start,UI_VsFlames_Start.m4a,0,1,0,
vs_text_anim_loop,UI_VsFlames_Loop.m4a,0,1,0,
flame_score01,UI_FlameAppear_01.m4a,0,1,0,
flame_score02,UI_FlameAppear_02.m4a,0,1,0,
flame_score03,UI_FlameAppear_03.m4a,0,1,0,
flame_score_bonus01,UI_FlameAppear_Bonus_01.m4a,0,1,0,
flame_score_bonus02,UI_FlameAppear_Bonus_02.m4a,0,1,0,
flame_score_bonus03,UI_FlameAppear_Bonus_03.m4a,0,1,0,
spend_food,UI_Spend_Food.m4a,0,,0,
spend_wood,UI_Spend_Wood.m4a,0,,0,
spend_gems,UI_Spend_Gems.m4a,0,,0,
spend_tokens,UI_Spend_Tokens.m4a,0,,0,
collect_wood,UI_Collect_Wood.m4a,0,,0,
collect_food,UI_Collect_Food.m4a,0,,0,
wing_flap01,Dragon_Wingflap_Generic_Mono_01.m4a,1,,0,
wing_flap02,Dragon_Wingflap_Generic_Mono_02.m4a,1,,0,
wing_flap03,Dragon_Wingflap_Generic_Mono_03.m4a,1,,0,
wing_flap04,Dragon_Wingflap_Generic_Mono_04.m4a,1,,0,
wing_flap05,Dragon_Wingflap_Generic_Mono_05.m4a,1,,0,
wing_glide01,Dragon_Glide_01.m4a,0,1,1,
wing_glide02,Dragon_Glide_02.m4a,0,1,1,
wing_glide03,Dragon_Glide_03.m4a,0,1,1,
nowing_glide01,Dragon_Glide_Nonflap_01.m4a,0,,0,
nowing_glide02,Dragon_Glide_Nonflap_02.m4a,0,,0,
nowing_glide03,Dragon_Glide_Nonflap_03.m4a,0,,0,
building_death01,Tower_Damage_Death_Mono_01.m4a,1,1,1,
building_death02,Tower_Damage_Death_Mono_02.m4a,1,1,1,
building_death03,Tower_Damage_Death_Mono_03.m4a,1,1,1,
hut_destruction01,Hut_Destruction_01.m4a,1,1,1,
hut_destruction02,Hut_Destruction_02.m4a,1,1,1,
hut_destruction03,Hut_Destruction_03.m4a,1,1,1,
attack_fly_by,Cin_DragonFlyBy_04.m4a,0,1,0,
hunter_attack_release01,Hunter_Attack_Release_Stereo_01.m4a,0,1,1,
hunter_attack_release02,Hunter_Attack_Release_Stereo_02.m4a,0,1,1,
hunter_attack_release03,Hunter_Attack_Release_Stereo_03.m4a,0,1,1,
hunter_attack_release04,Hunter_Attack_Release_Stereo_04.m4a,0,1,1,
