identifier,soundIdentifiersDict,rotationStrategy,volumeMultiplier,duration,isAmbient,minVolume,maxVolume,h
String,String,String,Float,Float,Integer,Float,Float,String
land_plot_selected,select_land_plot:0,play_all,0.75,,0,0,0,
comic_page_turned,comic_page_turn_1:0.25|comic_page_turn_2:0.25|comic_page_turn_3:0.25|comic_page_turn_4:0.25,random,0.7,,0,0,0,
attack_button_clicked,click_attack_button:0,play_all,0.75,,0,0,0,
construction_started,construction_start:0,play_all,0.75,,0,0,0,
construction_in_progress,construction_inprogress:0,play_all,0.75,,0,0,0,
construction_completed,construction_complete:0,play_all,0.75,,0,0,0,
character_slid_in,dialogue_in:0,play_all,0.25,,0,0,0,
character_slid_out,dialogue_out:0,play_all,0.25,,0,0,0,
menu_closed,close_menu:0,play_all,1,,0,0,0,
attacker_joined,attacker_intro:0,play_all,0.5,,0,0,0,
defender_joined,defender_intro:0,play_all,0.5,,0,0,0,
build_mode_entered,build_mode_music:0,play_all,0.5,,0,0,0,
stable_entered,stable_music:0,play_all,0.4,,0,0,0,
attack_mode_entered,attack_mode_music:0,play_all,0.4,,0,0,0,
versus_text_animated,vs_text_anim_start:0|vs_text_anim_loop:1,play_all,1,,0,0,0,
text_writing,dialogue_text_writing:1,play_all,0.1,,0,0,0,
wing_flapping,wing_flap01:0.2|wing_flap02:0.2|wing_flap03:0.2|wing_flap04:0.2|wing_flap05:0.2,random,0.2,,1,0.1,0.5,
wing_flapping_loop,wing_flap01:0.2|wing_flap02:0.2|wing_flap03:0.2|wing_flap04:0.2|wing_flap05:0.2,random_loop,0.2,,1,0.1,0.5,
dragon_gliding,wing_glide01:0.3|wing_glide02:0.3|wing_glide03:0.4,random,1,,1,0,0.1,
nonflap_gliding,nowing_glide01:1|nowing_glide02:2|nowing_glide03:3,circular,0,,1,0,0,
food_collected,collect_food:0,play_all,0.75,,0,0,0,
wood_collected,collect_wood:0,play_all,0.75,,0,0,0,
gems_collected,collect_gems:0,play_all,0.75,,0,0,0,
base_destroyed_rebuilding,base_destroyed_rebuilding:0,play_all,1,,0,0,0,
tower_exploded,building_death01:0.33|building_death02:0.33|building_death03:0.34,random,1,,1,0.6,0.85,
base_tower_exploded,base_destruction:0,play_all,1,,1,0.75,0.9,
regular_flame_animating,flame_score01:0.33|flame_score02:0.33|flame_score03:0.34,random,0.75,,0,0,0,
bonus_flame_animating,flame_score_bonus01:0.33|flame_score_bonus02:0.33|flame_score_bonus03:0.34,random,0.75,,0,0,0,
fireball_released,hunter_attack_release01:1|hunter_attack_release02:2|hunter_attack_release03:3|hunter_attack_release04:4,circular,0.75,,1,0.2,0.5,
sorcerer_fired,sorcerer_attack01:0.33|sorcerer_attack02:0.33|sorcerer_attack03:0.34,random,0.75,,1,0.5,0.9,
intro_attack,attack_fly_by:0,play_all,1,,0,0,0,
fireball_hit_building,hunter_attack_building_hit01:0.25|hunter_attack_building_hit02:0.25|hunter_attack_building_hit03:0.25|hunter_attack_building_hit04:0.25,random,1,,1,0.4,0.9,
hunter_selected,hunter_select01:1|hunter_select02:2,circular,0.75,,0,0,0,
warrior_selected,warrior_select01:1|warrior_select02:2,circular,0.75,,0,0,0,
sorcerer_selected,sorcerer_select01:1|sorcerer_select02:2,circular,0.75,,0,0,0,
spell_button_tapped,cast_ability_button:0,play_all,0.5,,0,0,0,
archer_fired,archer_attack01:0.33|archer_attack02:0.33|archer_attack03:0.34,random,1,,1,0.4,0.8,
cannon_fired,cannon_attack01:0.25|cannon_attack02:0.25|cannon_attack03:0.25|cannon_attack04:0.25,random,1,,1,0.2,0.4,
storm_fired,nowing_glide01:1|nowing_glide02:2|nowing_glide03:3,circular,1,,1,0,0.25,
trebuchet_fired,trebuchet_attack01:0.33|trebuchet_attack02:0.33|trebuchet_attack03:0.34,random,1,,1,0.4,0.8,
lightning_fired,lightning_attack01:0.33|lightning_attack02:0.33|lightning_attack03:0.34,random,1,,1,0.3,0.6,
ballista_fired,ballista_attack01:0.25|ballista_attack02:0.25|ballista_attack03:0.25|ballista_attack04:0.25,random,1,,1,0,1,
red_mage_fired,lightning_attack01:0.33|lightning_attack02:0.33|lightning_attack03:0.34,random,1,,1,0,0.5,
blue_mage_fired,lightning_attack01:0.33|lightning_attack02:0.33|lightning_attack03:0.34,random,1,,1,0,0.5,
boat_destroyed,boat_destroyed01:1|boat_destroyed02:2,circular,1,,1,0.4,0.75,
bridge_destroyed,bridge_destroyed01:1|bridge_destroyed02:2|bridge_destroyed03:3,circular,1,,1,0.75,1,
hut_destroyed,hut_destruction01:1|hut_destruction02:2|hut_destruction03:3,circular,1,,1,0.15,0.35,
base_mode_building_tapped,tap_generic_building:0,play_all,1,,0,0,0,
primary_button_tapped,button_click:0,play_all,1,,0,0,0,
secondary_button_tapped,button_click:0,play_all,1,,0,0,0,
new_mail_received,new_mail:0,play_all,1,,0,0,0,
building_moved,select_land_plot:0,play_all,1,,0,0,0,
leveled_up,level_up:0,play_all,1,,0,0,0,
dragon_born,explosion_2_effect:0,play_all,1,,0,0,0,
fire_spray,cinematic_spray_fire:0,play_all,1,,0,0,0,
flamethrower_firing,flame_thrower_loop01:0.33|flame_thrower_loop02:0.34|flame_thrower_loop03:0.34,random_loop,1,,1,0.2,0.65,
flame_hitting_building,flame_thrower_buildingHit_loop01:0.5|flame_thrower_buildingHit_loop02:0.5,random_loop,1,,1,0.1,0.4,
default_UI_clicked,button_click:0,play_all,1,,0,0,0,
switched_tab,button_click:0,play_all,1,,0,0,0,
okay_button_clicked,button_click:0,play_all,1,,0,0,0,
expedite_button_clicked,button_click:0,play_all,1,,0,0,0,
ruby_spent,spend_gems:0,play_all,1,,0,0,0,
food_spent,spend_food:0,play_all,0.75,,0,0,0,
wood_spent,spend_wood:0,play_all,1,,0,0,0,
breeding_token_spent,spend_tokens:0,play_all,1,,0,0,0,
hatch_egg_cinematic_started,incubation_complete:0,play_all,1,,0,0,0,
incubate_egg_cinematic_started,incubation_start:0,play_all,1,,0,0,0,
pre_battle,prebattle_music:0,play_all,0.4,,0,0,0,
battle_victory,victory_music:0,play_all,0.4,,0,0,0,
battle_defeat,defeat_music:0,play_all,0.4,,0,0,0,
ability_learned,new_ability_celebration:0,play_all,1,,0,0,0,
gacha_shining,new_ability_celebration:0,play_all,0.3,,0,0,0,
crush_gacha,gacha_lightning:0|crush_gacha:0,play_all,1,,0,0,0,
chain_lightning_charging,chainlightning_charged:1,play_all,0,,1,0,1,
chain_lightning_cast,chainlightning_cast:0,play_all,0,,1,0,1,
chain_lightning_hit_target,chainlightning_hit01:1|chainlightning_hit02:2|chainlightning_hit03:3,circular,0,,1,0.25,0.8,
