identifier,displayName,rarityIndex,displayIconFilename,animationVideoFilename,displayThumbnailFilename,headDisplayIconFilename,unlockStaticPortraitAchievement,unlockAnimatedPortraitAchievement,inBundle,h
String,LocalizedString,Integer,String,String,String,String,String,String,Integer,String
default,Unknown Soldier,0,img_portrait_soldier_01.png,,thumbnail_img_portrait_soldier_01.png,img_portrait_soldier_02.png,level01,,1,
marcusattilius,Gustav,0,img_portrait_mage_01.png,,thumbnail_img_portrait_mage_01.png,img_portrait_mage_02.png,portraitMarcus,,0,
flamma,Arden,0,img_portrait_knight_01.png,,thumbnail_img_portrait_knight_01.png,img_portrait_knight_02.png,portraitFlamma,,0,
alessia,Ash,0,img_portrait_alessia_01.png,,thumbnail_img_portrait_alessia_01.png,img_portrait_alessia_02.png,portraitAlessia,,0,
shawni,Celia,0,img_portrait_shaman_01.png,,thumbnail_img_portrait_shaman_01.png,img_portrait_shaman_02.png,portraitShawni,,0,
spiculus,Spiculus,0,img_portrait_gladiator_01.png,,thumbnail_img_portrait_gladiator_01.png,img_portrait_gladiator_02.png,portraitSpiculus,,0,
cron,Fang,0,img_portrait_barbarian_01.png,,thumbnail_img_portrait_barbarian_01.png,img_portrait_barbarian_02.png,portraitCron,,0,
laria,Laria,3,img_portrait_duelist_01.png,,thumbnail_img_portrait_duelist_01.png,img_portrait_duelist_02.png,portraitLaria,,0,
temujin,Slender,3,img_portrait_warlord_01.png,,thumbnail_img_portrait_warlord_01.png,img_portrait_warlord_02.png,portraitTemujin,,0,
klutulun,Thorn,3,img_portrait_archer_01.png,,thumbnail_img_portrait_archer_01.png,img_portrait_archer_02.png,portraitKhutulun,,0,
agustus,Orin,3,img_portrait_general_01.png,,thumbnail_img_portrait_general_01.png,img_portrait_general_02.png,portraitAgustus,,0,
quint,Xander,3,img_portrait_trainer_01.png,,thumbnail_img_portrait_trainer_01.png,img_portrait_trainer_02.png,portraitQuint2,,0,
nazir,Titan,3,img_portrait_dragonKnight_01.png,,thumbnail_img_portrait_dragonKnight_01.png,img_portrait_dragonKnight_02.png,portraitNazir2,,0,
maximilian,Deathclaw,3,img_portrait_guard_01.png,,thumbnail_img_portrait_guard_01.png,img_portrait_guard_02.png,portraitMaximilian2,,0,
morrigan,Morrigan,3,img_portrait_event_01.png,,thumbnail_img_portrait_event_01.png,img_portrait_event_02.png,eliteAccountPurchase,,0,
elvenMaiden,Elven Maiden,0,img_portrait_elvenMaiden_01.png,,thumbnail_img_portrait_elvenMaiden_01.png,img_portrait_elvenMaiden_02.png,portraitElvenMaiden,,0,
elvenQueen,Elven Queen,0,img_portrait_elvenQueen_01.png,,thumbnail_img_portrait_elvenQueen_01.png,img_portrait_elvenQueen_02.png,portraitElvenQueen,,0,
ancientScientist,Ancient Scientist,3,img_portrait_ancientScientist_01.png,,thumbnail_img_portrait_ancientScientist_01.png,img_portrait_ancientScientist_02.png,portraitAncientScientist,,0,
dwarfElder,Dwarf Elder,3,img_portrait_dwarf_01.png,,thumbnail_img_portrait_dwarf_01.png,img_portrait_dwarf_02.png,portraitDwarfElder,,0,
loyalBodyguard,Loyal Bodyguard,3,img_portrait_maleSenateGuard_01.png,,thumbnail_img_portrait_maleSenateGuard_01.png,img_portrait_maleSenateGuard_02.png,portraitBodyguard,,0,
corruptSorcerer,Corrupt Sorcerer,3,img_portrait_villain_01.png,,thumbnail_img_portrait_villain_01.png,img_portrait_villain_02.png,portraitCorruptSorcerer,,0,
shepherd,Mystical Shepherd,3,img_portrait_shepherd_01.png,,thumbnail_img_portrait_shepherd_01.png,img_portrait_shepherd_02.png,portraitShepherd,,0,
senateGuardFemale,Senate Guard Female,3,img_portrait_femaleSenateGuard_01.png,,thumbnail_img_portrait_femaleSenateGuard_01.png,img_portrait_femaleSenateGuard_02.png,portraitsenateGuardFemale,,0,
nomad,Numinous Advisor,3,img_portrait_numinous_01.png,,thumbnail_img_portrait_numinous_01.png,img_portrait_numinous_02.png,portraitnomad,,0,
necro2,Malevolent Necromancer,3,img_portrait_necromancer_01.png,,thumbnail_img_portrait_necromancer_01.png,img_portrait_necromancer_02.png,portraitNecro2,,0,
sorceress,Baneful Sorceress,4,img_portrait_sorceress_01.png,,thumbnail_img_portrait_sorceress_01.png,img_portrait_sorceress_02.png,portraitSorceress,,0,
knight,Shadow Knight,4,img_portrait_deathKnight_01.png,,thumbnail_img_portrait_deathKnight_01.png,img_portrait_deathKnight_02.png,portraitKnight,,0,
dragonHandler,Dragon Handler,4,img_portrait_handler_01.png,,img_portrait_handler_01.png,img_portrait_handler_02.png,portraitDragonHandler,,0,
dreadnought,Dreadnought,4,img_portrait_dreadnought_01.png,,thumbnail_img_portrait_dreadnought_01.png,img_portrait_dreadnought_02.png,serverOnlyPortraitDreadnought,,0,
zahrya,Zahrya,4,img_portrait_lethalSquad_01.png,,thumbnail_img_portrait_lethalSquad_01.png,img_portrait_lethalSquad_02.png,serverOnlyPortraitLethalSquad,,0,
empousai,Empousai,4,img_portrait_equilibrium_01.png,,thumbnail_img_portrait_equilibrium_01.png,img_portrait_equilibrium_02.png,serverOnlyPortraitEquilibrium,,0,
leo,Leo,4,img_portrait_atariOverload_01.png,,thumbnail_img_portrait_atariOverload_01.png,img_portrait_atariOverload_02.png,serverOnlyPortraitAtariOverload,,0,
dragonShaman,Dragon Shaman,4,img_portrait_dragongasm_01.png,,thumbnail_img_portrait_dragongasm_01.png,img_portrait_dragongasm_02.png,serverOnlyPortraitDragongasm,,0,
ancientsAscent,Alte Jager,4,img_portrait_ancientsAscent_01.png,,thumbnail_img_portrait_ancientsAscent_01.png,img_portrait_ancientsAscent_02.png,serverOnlyPortraitAncientsAscent,,0,
potionsMerchant,Potions Merchant,4,img_portrait_traderV2_01.png,,thumbnail_img_portrait_traderV2_01.png,img_portrait_traderV2_02.png,serverOnlyPortraitaprilPotionsMerchant,,0,
cunningMarksman,Cunning Marksman,5,img_portrait_rangerV2_01.png,,thumbnail_img_portrait_rangerV2_01.png,img_portrait_rangerV2_02.png,serverOnlyPortraitaprilCunningMarksman,,0,
celestialWarrior,Celestial Warrior,5,img_portrait_angelNoHalo_01.png,,thumbnail_img_portrait_angelNoHalo_01.png,img_portrait_angelNoHalo_02.png,serverOnlyPortraitaprilCelestialWarrior,,0,
raider,Raider,5,img_portrait_raider_01.png,,thumbnail_img_portrait_raider_01.png,img_portrait_raider_02.png,serverOnlyPortraitaprilRaider,,0,
fireBrute,Flame Brute,5,img_portrait_fireBrute_01.png,,thumbnail_img_portrait_fireBrute_01.png,img_portrait_fireBrute_02.png,serverOnlyPortraitmayfireBrute,,0,
fireFighter,Inferno Warrior,5,img_portrait_fireFighter_01.png,,thumbnail_img_portrait_fireFighter_01.png,img_portrait_fireFighter_02.png,serverOnlyPortraitmayfireFighter,,0,
fireKnight,Ember Guard,5,img_portrait_fireKnight_01.png,,thumbnail_img_portrait_fireKnight_01.png,img_portrait_fireKnight_02.png,serverOnlyPortraitmayfireKnight,,0,
pog,Pog,5,img_portrait_pog_01.png,,thumbnail_img_portrait_pog_01.png,img_portrait_pog_02.png,serverOnlyPortraitpog,,0,
runicGustav,Runic Gustav,5,img_portrait_gustavPowerUp_01.png,,thumbnail_img_portrait_gustavPowerUp_01.png,img_portrait_gustavPowerUp_02.png,ServerOnlyPortraitPoweredGustav,,0,
celestialMaleT1,Celestial Male,4,img_portrait_celestialMaleT1_01.png,,thumbnail_img_portrait_celestialMaleT1_01.png,img_portrait_celestialMaleT1_02.png,serverOnlyPortraitcelestialMaleT1,,0,
celestialMaleT2,Celestial Male,4,img_portrait_celestialMaleT2_01.png,,thumbnail_img_portrait_celestialMaleT2_01.png,img_portrait_celestialMaleT2_02.png,serverOnlyPortraitcelestialMaleT2,,0,
celestialMaleT3,Celestial Male,5,img_portrait_celestialMaleT3_01.png,animatedportraitcelestial3_battle.m4v,thumbnail_img_portrait_celestialMaleT3_01.png,img_portrait_celestialMaleT3_02.png,,serverOnlyPortraitcelestialMaleT3,0,
ashT2,Ash,4,img_portrait_alessiaT2_01.png,,img_portrait_alessiaT2_01.png,img_portrait_alessiaT2_02.png,serverOnlyPortraitAshT2,,0,
ashT3,Ash,4,img_portrait_alessiaT3_01.png,,img_portrait_alessiaT3_01.png,img_portrait_alessiaT3_02.png,serverOnlyPortraitAshT3,,0,
ashT4,Ash,5,img_portrait_alessiaT2_01.png,animatedportraitash2_battle.m4v,img_portrait_alessiaT2_01.png,img_portrait_alessiaT2_02.png,,serverOnlyPortraitAshT4,0,
ashT5,Ash,5,img_portrait_alessiaT3_01.png,animatedportraitash3_battle.m4v,img_portrait_alessiaT3_01.png,img_portrait_alessiaT3_02.png,,serverOnlyPortraitAshT5,0,
egyptianWarriorT1,Desert Emissary,4,img_portrait_egyptianWarrior_T1_01.png,,thumbnail_img_portrait_egyptianWarrior_T1_01.png,img_portrait_egyptianWarrior_T1_02.png,serverOnlyPortraitegyptianWarriorT1,,0,
egyptianWarriorT2,Desert Emissary,4,img_portrait_egyptianWarrior_T2_01.png,,thumbnail_img_portrait_egyptianWarrior_T2_01.png,img_portrait_egyptianWarrior_T2_02.png,serverOnlyPortraitegyptianWarriorT2,,0,
egyptianWarriorT3,Desert Emissary,4,img_portrait_egyptianWarrior_T3_01.png,,thumbnail_img_portrait_egyptianWarrior_T3_01.png,img_portrait_egyptianWarrior_T3_02.png,serverOnlyPortraitegyptianWarriorT3,,0,
egyptianWarriorT4,Desert Emissary,5,img_portrait_egyptianWarrior_T1_01.png,animatedportraitewarrior1_battle.m4v,thumbnail_img_portrait_egyptianWarrior_T1_01.png,img_portrait_egyptianWarrior_T1_02.png,,serverOnlyPortraitegyptianWarriorT4,0,
