identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,String,Integer,String,String,Integer,String
BallistaTowerBossUpgrades_1,1,0,bld_ballista_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,9533,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison01,1469,1469,0,0,,,,,experience:28,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison1,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level01_death.lvl,Bone_Bow,Poison Arrow,,0,,,15,
BallistaTowerBossUpgrades_2,2,0,bld_ballista_level02.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,11845,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison02,2047,2047,0,0,,,,,experience:98,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison2,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level02_death.lvl,Bone_Bow,Poison Arrow,,0,,,28,
BallistaTowerBossUpgrades_3,3,0,bld_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,14132,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison03,2909,2909,0,0,,,,,experience:225,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison3,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,45,
BallistaTowerBossUpgrades_4,4,0,bld_ballista_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,16584,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison04,3971,3971,0,0,,,,,experience:383,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison4,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,66,
BallistaTowerBossUpgrades_5,5,0,bld_ballista_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,19827,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison05,5430,5430,0,0,,,,,experience:428,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison5,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,104,
BallistaTowerBossUpgrades_6,6,0,bld_ballista_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,23599,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison06,7395,7395,0,0,,,,,experience:600,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison6,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,2,,,165,
BallistaTowerBossUpgrades_7,7,0,bld_ballista_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,27939,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison07,10038,10038,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison7,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,2,,,272,
BallistaTowerBossUpgrades_8,8,0,bld_ballista_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,32905,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison08,13564,13564,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison8,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,437,
BallistaTowerBossUpgrades_9,9,0,bld_ballista_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,38553,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison09,16126,16126,0,0,,,,,experience:924,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison9,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,588,
BallistaTowerBossUpgrades_10,10,0,bld_ballista_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,43515,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison10,18194,18194,0,0,,,,,experience:1264,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison10,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,759,
