identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,String,Integer,String,String,Integer,String
BallistaTowerUpgrades_1,1,0,bld_ballista_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison01,101,152,0,0,,,,,experience:28,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison1,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level01_death.lvl,Bone_Bow,Poison Arrow,,0,,,15,
BallistaTowerUpgrades_2,2,0,bld_ballista_level02.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison02,140,211,0,0,,,,,experience:98,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison2,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level02_death.lvl,Bone_Bow,Poison Arrow,,0,,,28,
BallistaTowerUpgrades_3,3,0,bld_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison03,198,297,0,0,,,,,experience:225,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison3,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,45,
BallistaTowerUpgrades_4,4,0,bld_ballista_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison04,269,404,0,0,,,,,experience:383,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison4,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,66,
BallistaTowerUpgrades_5,5,0,bld_ballista_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison05,366,549,0,0,,,,,experience:428,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison5,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,1,,,104,
BallistaTowerUpgrades_6,6,0,bld_ballista_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,16884,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison06,496,744,0,0,,,,,experience:600,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison6,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level03_death.lvl,Bone_Bow,Poison Arrow,,2,,,165,
BallistaTowerUpgrades_7,7,0,bld_ballista_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,12,19892,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison07,670,1005,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison7,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,2,,,272,
BallistaTowerUpgrades_8,8,0,bld_ballista_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,23314,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison08,901,1351,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison8,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,437,
BallistaTowerUpgrades_9,9,0,bld_ballista_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,17,27185,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison09,1066,1599,0,0,,,,,experience:924,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison9,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,588,
BallistaTowerUpgrades_10,10,0,bld_ballista_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,30537,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison10,1197,1796,0,0,,,,,experience:1264,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison10,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level04_death.lvl,Bone_Bow,Poison Arrow,,3,,,759,
BallistaTowerUpgrades_11,11,0,bld_ballista_level05.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,21,34165,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison11,1339,2009,0,0,,,,,experience:1298,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison11,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,4,,,925,
BallistaTowerUpgrades_12,12,0,bld_ballista_level05-2.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,21,38072,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison12,1492,2238,0,0,,,,,experience:1667,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison12,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,4,,,1161,
BallistaTowerUpgrades_13,13,0,bld_ballista_level05-3.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,25,42382,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison13,1661,2491,0,0,,,,,experience:2058,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison13,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,5,,,1450,
BallistaTowerUpgrades_14,14,0,bld_ballista_level05-4.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,28,47181,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison14,1849,2773,0,0,,,,,experience:2118,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison14,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,5,,,1798,
BallistaTowerUpgrades_15,15,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:51677,216000,,31,52525,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison15,2058,3087,0,0,,,,,experience:2546,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison15,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,6,,,2211,
BallistaTowerUpgrades_16,16,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,31,58473,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison16,2291,3436,0,0,,,,,experience:3000,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison16,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,6,,,2730,
BallistaTowerUpgrades_17,17,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:77039,302400,,34,65095,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison17,2550,3825,0,0,,,,,experience:3097,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison17,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,7,,,3404,
BallistaTowerUpgrades_18,18,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,37,72467,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison18,2839,4258,0,0,,,,,experience:4000,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison18,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,8,,,4212,
BallistaTowerUpgrades_19,19,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:129598,388800,,42,85121,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison19,3334,5001,0,0,,,,,experience:5334,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison19,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,9,,,5796,
BallistaTowerUpgrades_20,20,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:154799,432000,,46,99983,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison20,3916,5874,0,0,,,,,experience:7000,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison20,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,10,,,8010,
BallistaTowerUpgrades_21,21,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:187199,518400,,50,117442,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison21,4599,6899,0,0,,,,,experience:9143,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison21,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,11,,,11040,
BallistaTowerUpgrades_22,22,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:219599,604800,,56,137949,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison22,5402,8103,0,0,,,,,experience:12000,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison22,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,13,,,15249,
BallistaTowerUpgrades_23,23,0,bld_ballista_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:251999,691200,,61,162037,0.5,1.2,70,prj_ballista_level05,hpReduction:hpReduction24|poison:poison23,6345,9518,0,0,,,,,experience:16000,ballista_special_level05,hpReduction:hpReduction24|poison:supershot_poison23,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_ballista_level05_death.lvl,Bone_Bow,Poison Arrow,,14,,,21006,
