key,value,localizedValue,h
String,String,LocalizedString,String
minLevelForInteractiveDefense,2,,
onlinePlayersWithinLevels,1,,
respectPVPStrengthForGetNeighbors,0,,
respectPVPStrengthForOnlineNeighbors,0,,
maxRankingGroups,5,,
maxDragonRunsForPVP,3,,
pointsPerPercentDamage,1,,
prepareToAttackDistance,10,,
offsetInHpBarHeight,10,,
iphoneBoundingVolumePadding,10,,
pvpPointsToConversion,0|70|85|99,,
bonusStarsPerDragon,0|2|1|0,,
warBonusStarsConversion,0|35|70,,
bonusMessagePerDragon,,|Bonus for winning with 2 dragons!|Bonus 2 flames for winning with 1 dragon!,
calculateAllyDragonsTowardsStars,0,,
aiSpellPopupTime,3,,
rateInSecondsForSendingAttackInputs,0.4,,
rateInSecondsForSendingDefenseInputs,0.1,,
maxDefaultWaitTimeForBattleAcceptance,7,,
paddingOnInviteeSideForBattleAcceptance,6,,
paddingOnInviterSideForBattleAcceptance,20,,
maxTimeToAddToInviteDueToLag,10,,
maxWaitTimeToSelectDragonForLiveAttack,9,,
maxWaitTimeToSelectDragonForLiveAttackWhenSolo,30,,
maxWaitTimeForNoInviteBattle,10,,
timeoutToQuitForLackOfInputFromBattleHost,40,,
rateOfPingFromBattleHost,30,,
timeoutToQuitForLackOfPingFromBattleHost,150,,
secondsToastAppearsOnHUD,3,,
defaultTimeoutForPresenceOnServer,300,,
minIdealBufferSizeForAttackInputInDefense,1,,
maxIdealBufferSizeForAttackInputInDefense,5,,
scaleDecreaseInTimeRateBelowBufferSize,0.2,,
scaleIncreaseInTimeRateAboveBufferSize,1,,
minTimeAdvancementRateInDefense,0.2,,
maxTimeAdvancementRateInDefense,50,,
maxDefenderAllies,2,,
maxAttackerAllies,2,,
scaleFactorForDefenseAlly,0.4,,
scaleFactorForAttackAlly,0.2,,
timeoutForSynchronization,25,,
timeoutForConfirmationOfNextAttacker,35,,
cooldownStunDurationSeconds,0,,
buildingComponentExpirationTime,0,,
percentHPToPulseRedOverlay,30,,
durationOfDefenderToolTip,1800,,
delaySecondsBetweenTooltipRepeats,1.2,,
timeoutForBattleGroupJoin,15,,
timeoutForWaitForBattleInviteResult,10,,
lengthOfBattleStartCinematic,0,,
MexpInMineDestructionFormula,1.5,,
almostWonPercentagesMessages,,50:Great going!|60:Almost There!|70:Victory!,
rateOfSendingUnsynchronizedClients,3,,
timeoutForFindOpponent,15,,
timeoutForBattleAcceptanceInviteFromHost,15,,
defenseAIDragonPresentationTime,6,,
dragonBoostsPopupShowTime,1,,
defenseAIDragonStartOffset,3,,
pveDefenderPreviewDelay,4,,
postBattleResultsRetryCount,10,,
threeHeadedDragonPerpendicularArcFactor,0.33,,
defaultProjectileSceneFile,prj_fireball.lvl,,
percentHitDragonTarget,0.85,,
percentHitBuildingTarget,0.85,,
nonTappingTimeForDefendingTooltip,10,,
defendingTooltipFilename,RapidFire,,
defendingTooltipNumFrames,10,,
defendingTooltipOffsets,0|-40|0|20,,
defendingTooltipText,,Tap on Buildings!,
cameraHeightToShowRewards,290,,
percentageHitTargetForHurricaneSpell,0.6,,
timeDelayInDestructionOfProjectileAfterHurricaneSpell,2,,
filterOverlayScale,1.5,,
tacticalOverlayScale,0.775,,
defendersAbilityDelayScale,1.0|1.0|1.3|1.7,,
defenderAbilitiesLowNumber,1,,
maxDefenderAIBuildingSelectionRange,160,,
minDefenderAIBuildingSelectionRange,27,,
clientLagToPauseAttacker,4,,
attackerLagToPauseAttacker,3,,
attackerMessagesLagToPauseAttacker,4,,
attackerMessagesLagToSlowAttacker,1.2,,
maxTimeToPauseAttacker,10,,
buildingExplosionCameraShakeDuration,0.35,,
buildingExplosionCameraShakeFuzziness,0.4,,
buildingExplosionEffectDelay,0.5,,
buildingExplosionEffectScaleOffset,0.5,,
opponentPrefetchNumber,15,,
opponentPrefetchPeriod,150,,
opponentPrefetchExpiration,300,,
ackMessageResendPeriod,4,,
ackMessageTTL,10,,
heightAboveGroundToFire,2,,
storageStealPercentLimit,55,,
harvestStealPercentLimit,65,,
harvestProtectedPercent,15,,
consumablePopupHeight,0.85,,
currencyPopupHeight,0.75,,
outOfAreaDragonAttackDamage,0,,
allyAttackerDragonXPMultiplier,0.75,,
mainAttackerPayoutMultiplier,0.55,,
mainAttackerWithAllyPayoutMultiplier,0.6,,
allyAttackerPayoutMultiplier,0.2,,
thresholdLevelForNewbiePlayer,11,,
foodThresholdForBadTarget,1,,
woodThresholdForBadTarget,1,,
dodgeBattleTextIdentifier,onDodgeProjectileText,,
attackTypesThatProducePoison,ballista,,
redSpellTypeIdentifier,red,,
maxGameStepDelayToLaunchLockOnAttackProjectiles,6,,
minGameStepDelayToLaunchLockOnAttackProjectiles,8,,
maxGameStepsToProcessPerTick,1,,
maxUserInputsToSend,20,,
ignoreAttackCollisionsFromDragonPerspective,1,,
enableAutomaticKamikazeInsteadOfFizzle,0,,
synchronousBattleTag,204,,
battleHashKey,4994c651537f0e60a6fd905656af1aea,,
dropRateModifierAttackerMultipler,3,,
currencyDropsToBeCentered,chest0|chest1|chest2|key,,
frequentlyLoadedBattleSceneFiles,explosion_particle.lvl|bld_gib_generic.lvl|icon_food.lvl|icon_lumber.lvl,,
attackPowerForAllyShip,0,,
minDamagePercentageForDragonToGainXP,5,,
crystallineShieldProtectedAttackTypes,archer|cannon|ballista|trebuchet|fire|pure|flak|fireFlak|iceFlak|windFlak|earthFlak,,
noAvailableDragonsDialogTitle,,No Available Dragons,
noAvailableDragonsMessage,,"You don't have any available dragons ready for battle. Activate dragons from 'Dragons Den', get new dragons or wait for them to finish upgrading.",
hidingCurrencyNodeBattleEntryPrefixes,WorldMap,,
npcDragonSceneIdentifier,dragonKillShipScene,,
npcDragonAnimationKey,shipdestruction,,
npcDragonShadowParticleIdentifier,ptl_shadow,,
npcDragonShadowDuration,15,,
npcDragonFireBallParticleIdentifier,ptl_drg_ice_proj_01,,
npcDragonFireBallDuration,0.5,,
npcDragonFireShotAtGameStepDelay,14,,
maxValueForPoison,100000000,,
hideCurrencyTypeForAttackPreview,gold,,
defendBoostRingTexture,fx_ring_02.png,,
defaultBuildingToBuildingAttackRange,30,,
defenseBoostOrder,armorBoost|hpBoost|attackBoost,,!@#ledgiejhcopofdam
