identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusProjectileIdentifier,heightAttackBonusPercentage,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,String,Integer,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
ArcherTowerUpgrades_1,1,sceneFile,bld_attackShip_archer.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,5500,1.2,0.9,70,prj_archer,hpReduction:hpReduction21,289,1040,0,prj_archer_height,25,,,experience:1,,prj_archer_special,dragonSpellDependent:archerSuperShot_level01|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,0,,,8,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_2,2,0,bld_attackShip_archer.lvl,stru_tower_lobLocators.lvl,piercing:9,450,,1,6534,1.2,0.9,70,prj_Arrow_level02,hpReduction:hpReduction21,343,1234,0,prj_Archer_height_level02,25,,,experience:13,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,0,,,12,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_3,3,0,bld_attackShip_archer.lvl,stru_tower_lobLocators.lvl,piercing:46,1920,,1,7854,1.2,0.9,70,prj_Arrow_level02,hpReduction:hpReduction21,436,1571,0,prj_Archer_height_level02,25,,,experience:60,,prj_archer_special_level02,dragonSpellDependent:archerSuperShot_level02|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,0,,,18,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_4,4,0,bld_attackShip_archer_level02.lvl,stru_tower_lobLocators.lvl,piercing:187,3952,,1,9419,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,604,2176,0,prj_Archer_height_level03,25,,,experience:140,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,1,,,32,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_5,5,0,bld_attackShip_archer_level02.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,10979,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,836,3011,0,prj_Archer_height_level03,25,,,experience:240,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,1,,,50,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_6,6,0,bld_attackShip_archer_level02.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,13072,1.2,0.9,70,prj_Arrow_level03,hpReduction:hpReduction21,1137,4093,0,prj_Archer_height_level03,25,,,experience:405,,prj_archer_special_level03,dragonSpellDependent:archerSuperShot_level03|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,1,,,84,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_7,7,0,bld_attackShip_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,15525,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,1544,5559,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,2,,,140,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_8,8,0,bld_attackShip_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,18339,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,2089,7521,0,prj_Archer_height_level04,25,,,experience:600,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,2,,,224,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_9,9,0,bld_attackShip_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,21549,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,2816,10136,0,prj_Archer_height_level04,25,,,experience:750,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,2,,,342,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
ArcherTowerUpgrades_10,10,0,bld_attackShip_archer_level03.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,25191,1.2,0.9,70,prj_Arrow_level04,hpReduction:hpReduction21,3639,13099,0,prj_Archer_height_level04,25,,,experience:912,,prj_archer_special_level04,dragonSpellDependent:archerSuperShot_level04|showBattleText:archerShotText,1.5,0.7,1,90,bld_attackShip_death.lvl,Bone_turret,Flaming Arrow,Double Damage on Short Circuit,0,attack:attackAugmentArcher_01|health:healthAugmentArcher_01|specialAttack:specialAttackAugmentArcher_01,0,experience:0,3,,,520,bld_attackShipFriendly_archer.lvl,bld_attackShipFriendly_death.lvl,
