identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Integer,Integer,String,String,LocalizedString,String,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
BallistaTowerUpgrades_1,1,0,bld_attackShip_ballista.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison01,101,152,0,0,,,,,experience:28,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison1,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,0,,,15,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_2,2,0,bld_attackShip_ballista.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison02,140,211,0,0,,,,,experience:98,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison2,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,0,,,28,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_3,3,0,bld_attackShip_ballista.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,0.5,1.2,70,ballista_arrow1,hpReduction:hpReduction24|poison:poison03,198,297,0,0,,,,,experience:225,ballista_arrow_special,hpReduction:hpReduction24|poison:supershot_poison3,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,1,,,45,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_4,4,0,bld_attackShip_ballista_level02.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison04,269,404,0,0,,,,,experience:383,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison4,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,1,,,66,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_5,5,0,bld_attackShip_ballista_level02.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison05,366,549,0,0,,,,,experience:428,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison5,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,1,,,104,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_6,6,0,bld_attackShip_ballista_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,16884,0.5,1.2,70,prj_ballista_level03,hpReduction:hpReduction24|poison:poison06,496,744,0,0,,,,,experience:600,prj_ballista_special_level03,hpReduction:hpReduction24|poison:supershot_poison6,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,2,,,165,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_7,7,0,bld_attackShip_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,19892,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison07,670,1005,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison7,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,2,,,272,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_8,8,0,bld_attackShip_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,23314,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison08,901,1351,0,0,,,,,experience:750,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison8,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,3,,,437,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_9,9,0,bld_attackShip_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,27185,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison09,1066,1599,0,0,,,,,experience:924,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison9,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,3,,,588,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
BallistaTowerUpgrades_10,10,0,bld_attackShip_ballista_level03.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,30537,0.5,1.2,70,prj_ballista_level04,hpReduction:hpReduction24|poison:poison10,1197,1796,0,0,,,,,experience:1264,prj_ballista_special_level04,hpReduction:hpReduction24|poison:supershot_poison10,showBattleText:ballistaShotText,1.5,1.2,1,90,bld_attackShip_death.lvl,Bone_Bow,Poison Arrow,,0,attack:attackAugmentBallista_01|health:healthAugmentBallista_01|specialAttack:specialAttackAugmentBallista_01,0,experience:0,3,,,759,bld_attackShipFriendly_ballista.lvl,bld_attackShipFriendly_death.lvl,
