identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
CannonTowerUpgrades_1,1,sceneFile,bld_attackShip_cannon.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,5500,0.67,1,70,prj_cannon,hpReduction:hpReduction22,517,520,0,0,0,,,,experience:1,,prj_cannon_special,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_01,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,0,,,8,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_2,2,0,bld_attackShip_cannon.lvl,stru_tower_lobLocators.lvl,piercing:9,450,,1,6534,0.67,1,70,prj_Cannon_level02,hpReduction:hpReduction22,614,617,0,0,0,,,,experience:13,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,0,,,12,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_3,3,0,bld_attackShip_cannon.lvl,stru_tower_lobLocators.lvl,piercing:46,1920,,1,7854,0.67,1,70,prj_Cannon_level02,hpReduction:hpReduction22,782,786,0,0,0,,,,experience:60,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,0,,,18,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_4,4,0,bld_attackShip_cannon_level02.lvl,stru_tower_lobLocators.lvl,piercing:187,3952,,1,9419,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,1082,1088,0,0,0,,,,experience:140,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,1,,,32,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_5,5,0,bld_attackShip_cannon_level02.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,10979,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,1498,1505,0,0,0,,,,experience:240,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,1,,,50,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_6,6,0,bld_attackShip_cannon_level02.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,13072,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,2036,2047,0,0,0,,,,experience:405,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,1,,,84,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_7,7,0,bld_attackShip_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,15525,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,2766,2779,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,2,,,140,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_8,8,0,bld_attackShip_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,18339,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,3742,3761,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,2,,,224,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_9,9,0,bld_attackShip_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,21549,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,5043,5068,0,0,0,,,,experience:750,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,2,,,342,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
CannonTowerUpgrades_10,10,0,bld_attackShip_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,25191,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,6517,6550,0,0,0,,,,experience:912,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_attackShip_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,attack:attackAugmentCannon_01|health:healthAugmentCannon_01|specialAttack:specialAttackAugmentCannon_01,0,experience:0,3,,,520,bld_attackShipFriendly_cannon.lvl,bld_attackShipFriendly_death.lvl,
