identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,h
String,Integer,String,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,Integer,String
EarthTotemUpgrades_1,1,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:100,990,,6991,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,1,
EarthTotemUpgrades_2,2,0,bld_attackShip_brazier_earth.lvl,,piercing:145,3510,,8643,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,1,
EarthTotemUpgrades_3,3,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:200,7200,,10261,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,2,
EarthTotemUpgrades_4,4,0,bld_attackShip_brazier_earth.lvl,,piercing:861,10800,,11982,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,2,
EarthTotemUpgrades_5,5,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:300,16200,,14255,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,3,
EarthTotemUpgrades_6,6,0,bld_attackShip_brazier_earth.lvl,,piercing:1894,21600,,16884,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,3,
EarthTotemUpgrades_7,7,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:400,28800,,19892,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,4,
EarthTotemUpgrades_8,8,0,bld_attackShip_brazier_earth.lvl,,piercing:3714,36000,,23314,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,4,
EarthTotemUpgrades_9,9,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:500,43200,,27185,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,5,
EarthTotemUpgrades_10,10,0,bld_attackShip_brazier_earth.lvl,,piercing:8712,57600,,30537,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,5,
EarthTotemUpgrades_11,11,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:600,72000,,34165,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,6,
EarthTotemUpgrades_12,12,0,bld_attackShip_brazier_earth.lvl,,piercing:17819,86400,,38072,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,6,
EarthTotemUpgrades_13,13,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:700,129600,,42382,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,7,
EarthTotemUpgrades_14,14,0,bld_attackShip_brazier_earth.lvl,,piercing:38115,172800,,47181,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,7,
EarthTotemUpgrades_15,15,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:800,216000,,52525,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,8,
EarthTotemUpgrades_16,16,0,bld_attackShip_brazier_earth.lvl,,piercing:57617,259200,,58473,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,8,
EarthTotemUpgrades_17,17,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:900,302400,,65095,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,9,
EarthTotemUpgrades_18,18,0,bld_attackShip_brazier_earth.lvl,,piercing:86400,345600,,72467,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,9,
EarthTotemUpgrades_19,19,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1000,388800,,85121,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,10,
EarthTotemUpgrades_20,20,0,bld_attackShip_brazier_earth.lvl,,piercing:154799,432000,,99983,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,10,
EarthTotemUpgrades_21,21,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1100,518400,,117442,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,11,
EarthTotemUpgrades_22,22,0,bld_attackShip_brazier_earth.lvl,,piercing:219599,604800,,137949,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,11,
EarthTotemUpgrades_23,23,0,bld_attackShip_brazier_earth.lvl,,elementalEmber:1200,691200,,162037,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,12,
