identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
DarkFlakTowerUpgrades_1,1,sceneFile,bld_attackShip_flakDark.lvl,stru_tower_lobLocators.lvl,elementalEmber:100,60,,1,8389,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,3521,4049,0,0,0,,,,experience:1,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_01,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,0,,,15,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_2,2,0,bld_attackShip_flakDark.lvl,stru_tower_lobLocators.lvl,piercing:208,450,,1,10372,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,4887,5620,0,0,0,,,,experience:13,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,0,,,28,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_3,3,0,bld_attackShip_flakDark.lvl,stru_tower_lobLocators.lvl,elementalEmber:200,1920,,1,12313,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,6888,7921,0,0,0,,,,experience:60,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,0,,,45,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_4,4,0,bld_attackShip_flakDark.lvl,stru_tower_lobLocators.lvl,piercing:861,3952,,1,14378,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,9361,10765,0,0,0,,,,experience:140,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_03,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,1,,,66,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_5,5,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:300,9094,,1,17106,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,12727,14636,0,0,0,,,,experience:240,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_03,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,1,,,104,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_6,6,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,14580,,1,20261,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,17251,19839,0,0,0,,,,experience:405,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_03,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,1,,,165,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_7,7,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:400,23040,,1,23870,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,23295,26789,0,0,0,,,,experience:600,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,2,,,272,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_8,8,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:3714,28800,,1,27977,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,31335,36035,0,0,0,,,,experience:600,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,2,,,437,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_9,9,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,elementalEmber:600,35100,,1,32622,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,37075,42636,0,0,0,,,,experience:750,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,2,,,588,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
DarkFlakTowerUpgrades_10,10,0,bld_attackShip_flakDark_level02.lvl,stru_tower_lobLocators.lvl,piercing:8712,41559,,1,36644,0.555,1,50,prj_elementalFlakDark,hpReduction:hpReductionFlak,41642,47888,0,0,0,,,,experience:912,,prj_elementalFlakDark_special,stun:stun01|hpReduction:hpReductionFlak,0,showBattleText:trebuchetShotText,2,1,1,55,bld_attackShip_death.lvl,release_001_02,Dragon's Breath,Stun Enemy Dragon,0,attack:attackAugmentTrebuchet_01|health:healthAugmentTrebuchet_01|specialAttack:specialAttackAugmentTrebuchet_01,0,experience:0,3,,,759,bld_attackShipFriendly_flak.lvl,bld_attackShipFriendly_death.lvl,
