identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,damageReductionPercentage,h
String,Integer,String,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,Integer,String
FireTotemUpgrades_1,1,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:100,990,,6991,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,1,
FireTotemUpgrades_2,2,0,bld_attackShip_brazier_fire.lvl,,piercing:145,3510,,8643,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,1,
FireTotemUpgrades_3,3,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:200,7200,,10261,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,2,
FireTotemUpgrades_4,4,0,bld_attackShip_brazier_fire.lvl,,piercing:861,10800,,11982,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,2,
FireTotemUpgrades_5,5,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:300,16200,,14255,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,3,
FireTotemUpgrades_6,6,0,bld_attackShip_brazier_fire.lvl,,piercing:1894,21600,,16884,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,3,
FireTotemUpgrades_7,7,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:400,28800,,19892,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,4,
FireTotemUpgrades_8,8,0,bld_attackShip_brazier_fire.lvl,,piercing:3714,36000,,23314,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,4,
FireTotemUpgrades_9,9,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:500,43200,,27185,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,5,
FireTotemUpgrades_10,10,0,bld_attackShip_brazier_fire.lvl,,piercing:8712,57600,,30537,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,5,
FireTotemUpgrades_11,11,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:600,72000,,34165,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,6,
FireTotemUpgrades_12,12,0,bld_attackShip_brazier_fire.lvl,,piercing:17819,86400,,38072,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,6,
FireTotemUpgrades_13,13,0,bld_attackShip_brazier_fire.lvl,,elementalEmber:700,129600,,42382,,,,,,,,,,,bld_attackShip_death.lvl,,,,,,,,7,
