identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,shotsPerAttack,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityEffects,activeAbilityProjectileEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,activeAbilityBusyDuration,shotsPerActiveProjectile,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Integer,Float,Integer,String,String,Float,Float,Integer,String,String,String,String,String,String,String,String,Float,Integer,Integer,Float,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String,String,String
FireTurretUpgrades_1,1,0,bld_attackShip_fireTurret.lvl,stru_tower_lobLocators.lvl,fireShard:100,990,,,6991,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,4001,88,0,,,,,experience:28,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,15,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_2,2,0,bld_attackShip_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,2,8643,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,5553,122,0,,,,,experience:98,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,28,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_3,3,0,bld_attackShip_fireTurret_level02.lvl,stru_tower_lobLocators.lvl,fireShard:200,7200,,3,10261,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,7827,172,0,,,,,experience:225,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,45,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_4,4,0,bld_attackShip_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,4,11982,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,10637,234,0,,,,,experience:383,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,66,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_5,5,0,bld_attackShip_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,fireShard:300,16200,,5,14255,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,14463,318,0,,,,,experience:428,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,104,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_6,6,0,bld_attackShip_fireTurret_level03.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,6,16884,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,19603,431,0,,,,,experience:600,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,165,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_7,7,0,bld_attackShip_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:400,28800,,7,19892,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,26472,582,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,272,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_8,8,0,bld_attackShip_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,8,23314,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,35608,783,0,,,,,experience:750,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,437,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_9,9,0,bld_attackShip_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,fireShard:500,43200,,9,27185,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,42131,927,0,,,,,experience:924,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,588,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
FireTurretUpgrades_10,10,0,bld_attackShip_fireTurret_level04.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,10,30537,0.33,1,4,70,fireTurret,hpReduction:hpReduction28,47321,1041,0,,,,,experience:1264,fireTurretSpecial,showBattleText:fireEffectText|fire:fire01,hpReduction:hpReductionFireSpecial,1.5,1,90,3,15,bld_attackShip_death.lvl,Bone_turret,Flamethrower,Multiplies Damage,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,,759,bld_attackShipFriendly_fireTurret.lvl,bld_attackShipFriendly_death.lvl,
