identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,harvestTimeInSeconds,harvestAmount,experienceThreshold,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,Array<String>,String,Integer,String,Integer,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,LocalizedString,String,Integer,String,Integer,String,String,Integer,String
HogFarmUpgrades_1,1,sceneFile|explosionSceneFile,bld_attackShip_food.lvl,,,piercing:28,60,,1,21600,food:180,,6482,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,1,,,0,
HogFarmUpgrades_2,2,0,bld_attackShip_food.lvl,,,piercing:144,900,level03,2,21600,food:360,,8986,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,1,,,0,
HogFarmUpgrades_3,3,0,bld_attackShip_food.lvl,,,piercing:966,5832,,2,32400,food:945,,14919,,,experience:9,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,1,,,0,
HogFarmUpgrades_4,4,0,bld_attackShip_food.lvl,,,piercing:2304,11108,,2,43200,food:1800,,21620,,,experience:16,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,2,,,0,
HogFarmUpgrades_5,5,0,bld_attackShip_food.lvl,,,piercing:5376,17280,,2,54000,food:3150,,27062,,,experience:24,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,3,,,0,
HogFarmUpgrades_6,6,0,bld_attackShip_food.lvl,,,piercing:8295,18514,,2,64800,food:4860,,33538,,,experience:26,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,4,,,0,
HogFarmUpgrades_7,7,0,bld_attackShip_food.lvl,,,piercing:12365,24000,,2,75600,food:7245,,41564,,,experience:34,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,5,,,0,
HogFarmUpgrades_8,8,0,bld_attackShip_food.lvl,,,piercing:21504,30052,,2,75600,food:8820,,51511,,,experience:42,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,6,,,0,
HogFarmUpgrades_9,9,0,bld_attackShip_food.lvl,,,piercing:26112,48137,,2,75600,food:10710,,60506,,,experience:67,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,7,,,0,
HogFarmUpgrades_10,10,0,bld_attackShip_food.lvl,,,piercing:30720,47265,,2,75600,food:12600,,71070,,,experience:66,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,8,,,0,
HogFarmUpgrades_11,11,0,bld_attackShip_food.lvl,,,piercing:35328,58320,,2,75600,food:14490,,79120,,,experience:81,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,9,,,0,
HogFarmUpgrades_12,12,0,bld_attackShip_food.lvl,,,piercing:39936,56347,,2,75600,food:16380,,88081,,,experience:79,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,10,,,0,
HogFarmUpgrades_13,13,0,bld_attackShip_food.lvl,,,piercing:44544,54830,,2,75600,food:18270,,98057,,,experience:77,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,11,,,0,
HogFarmUpgrades_14,14,0,bld_attackShip_food.lvl,,,piercing:49152,53627,,2,75600,food:20160,,109163,,,experience:75,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,12,,,0,
HogFarmUpgrades_15,15,0,bld_attackShip_food.lvl,,,piercing:53760,52650,,2,75600,food:22050,,121527,,,experience:74,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,13,,,0,
HogFarmUpgrades_16,16,0,bld_attackShip_food.lvl,,,piercing:58368,51840,,2,75600,food:23940,,135293,,,experience:72,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,14,,,0,
HogFarmUpgrades_17,17,0,bld_attackShip_food.lvl,,,piercing:62976,51157,,2,75600,food:25830,,150616,,,experience:72,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,15,,,0,
HogFarmUpgrades_18,18,0,bld_attackShip_food.lvl,,,piercing:67584,50575,,2,75600,food:27720,,167676,,,experience:71,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,16,,,0,
HogFarmUpgrades_19,19,0,bld_attackShip_food.lvl,,,piercing:72192,50072,,2,75600,food:29610,,186669,,,experience:70,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,17,,,0,
HogFarmUpgrades_20,20,0,bld_attackShip_food.lvl,,,piercing:79104,74451,,2,75600,food:32445,,219265,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,18,,,0,
HogFarmUpgrades_21,21,0,bld_attackShip_food.lvl,,,piercing:86016,71720,,2,75600,food:35280,,257553,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,19,,,0,
HogFarmUpgrades_22,22,0,bld_attackShip_food.lvl,,,piercing:92928,69428,,2,75600,food:38115,,293894,,,experience:97,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,20,,,0,
HogFarmUpgrades_23,23,0,bld_attackShip_food.lvl,,,piercing:99840,67477,,2,75600,food:40950,,316490,,,experience:94,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,20,,,0,
HogFarmUpgrades_24,24,0,bld_attackShip_food.lvl,,,piercing:109056,87729,,2,52969,food:44730,,349343,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,21,,,0,
HogFarmUpgrades_25,25,0,bld_attackShip_food.lvl,,,piercing:118272,83966,,2,47455,food:48510,,385607,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,22,,,0,
HogFarmUpgrades_26,26,0,bld_attackShip_food.lvl,,,piercing:127488,80789,,2,42782,food:52290,,425637,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,22,,,0,
HogFarmUpgrades_27,27,0,bld_attackShip_food.lvl,,,piercing:136704,78072,,2,42765,food:56070,,469822,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,22,,,0,
HogFarmUpgrades_28,28,0,bld_attackShip_food.lvl,,,piercing:145920,75721,,2,42834,food:59850,,518593,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,22,,,0,
HogFarmUpgrades_29,29,0,bld_attackShip_food.lvl,,,piercing:148224,73561,,2,42816,food:63630,,572428,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,22,,,0,
HogFarmUpgrades_30,30,0,bld_attackShip_food.lvl,,,piercing:150528,71401,,2,42800,food:67410,,631852,,,experience:100,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,23,,,0,
HogFarmUpgrades_31,31,0,bld_attackShip_food.lvl,,,piercing:152832,69241,,2,42785,food:71190,,697446,,,experience:97,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_32,32,0,bld_attackShip_food.lvl,,,piercing:155136,67081,,2,42772,food:74970,,769848,,,experience:94,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_33,33,0,bld_attackShip_food.lvl,,,piercing:192000,64921,,2,42824,food:78750,,849766,,,experience:91,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_34,34,0,bld_attackShip_food.lvl,,,piercing:201216,62761,,2,42810,food:82530,,937980,,,experience:88,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_35,35,0,bld_attackShip_food.lvl,,,piercing:210432,60601,,2,42798,food:86310,,1035354,,,experience:85,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_36,36,0,bld_attackShip_food.lvl,,,piercing:260832,64327,,2,42786,food:90090,,1142835,,,experience:90,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_37,37,0,bld_attackShip_food.lvl,,,piercing:271776,63440,,2,42830,food:93870,,1261474,,,experience:89,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_38,38,0,bld_attackShip_food.lvl,,,piercing:282720,62625,,2,42818,food:97650,,1392429,,,experience:87,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_39,39,0,bld_attackShip_food.lvl,,,piercing:293664,61873,,2,42807,food:101430,,1536979,,,experience:86,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
HogFarmUpgrades_40,40,0,bld_attackShip_food.lvl,,,piercing:336672,61177,,2,42797,food:105210,,1696534,,,experience:85,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentFarm_01|harvestCap:harvestCapAugmentFarm_01,24,,,0,
