identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,explosionSceneFile,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,perNeighborPercentageActivatedAttackIncrease,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,LocalizedString,String,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
LightningTowerUpgrades_1,1,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:12,990,,1,6991,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,863,1078,0,0,,,,,experience:28,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,0,,,15,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_2,2,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:208,3510,,1,8643,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1197,1497,0,0,,,,,experience:98,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,0,,,28,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_3,3,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:463,7200,,1,10261,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,1687,2109,0,0,,,,,experience:225,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,1,,,45,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_4,4,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:861,10800,,1,11982,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,2293,2867,0,0,,,,,experience:383,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,1,,,66,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_5,5,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:1463,16200,,1,14255,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,3118,3898,0,0,,,,,experience:428,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,1,,,104,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_6,6,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:1894,21600,,1,16884,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,4226,5283,0,0,,,,,experience:600,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,2,,,165,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_7,7,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:2698,28800,,1,19892,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,5707,7134,0,0,,,,,experience:750,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,2,,,272,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_8,8,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:3714,36000,,1,23314,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,7677,9596,0,0,,,,,experience:750,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,3,,,437,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_9,9,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:5703,43200,,1,27185,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,9083,11354,0,0,,,,,experience:924,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,3,,,588,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
LightningTowerUpgrades_10,10,0,bld_attackShip_lightning.lvl,stru_tower_lobLocators.lvl,bld_attackShip_death.lvl,piercing:8712,57600,,1,30537,0.5,1.25,70,lightning_bolt,hpReduction:hpReduction26,10202,12753,0,0,,,,,experience:1264,lightning_bolt_special,dragonSpellDependent:dragonSpellDependentLightningSpecial,30,showBattleText:lightningShotText,1.5,1.25,1,90,cmp_ptl_lightningTowerIdle,Adjacent Tower Bonus,,0,attack:attackAugmentLightning_01|health:healthAugmentLightning_01|specialAttack:specialAttackAugmentLightning_01,0,experience:0,3,,,759,bld_attackShipFriendly_lightning.lvl,bld_attackShipFriendly_death.lvl,
