identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,harvestTimeInSeconds,harvestAmount,experienceThreshold,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,Array<String>,String,Integer,String,Integer,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,LocalizedString,String,Integer,String,Integer,String,String,Integer,String
LumberMillUpgrades_1,1,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:28,3,,1,21600,piercing:180,,6482,,,experience:17,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,1,,,0,
LumberMillUpgrades_2,2,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:144,900,,1,21600,piercing:360,,8986,,,experience:2,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,1,,,0,
LumberMillUpgrades_3,3,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:966,5832,,1,32400,piercing:945,,14919,,,experience:9,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,1,,,0,
LumberMillUpgrades_4,4,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:2304,11108,,1,43200,piercing:1800,,21620,,,experience:16,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,2,,,0,
LumberMillUpgrades_5,5,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:5376,17280,,1,54000,piercing:3150,,27062,,,experience:24,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,3,,,0,
LumberMillUpgrades_6,6,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:8295,18514,,1,64800,piercing:4860,,33538,,,experience:26,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,4,,,0,
LumberMillUpgrades_7,7,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:12365,24000,,1,75600,piercing:7245,,41564,,,experience:34,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,5,,,0,
LumberMillUpgrades_8,8,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:21504,30052,,1,75600,piercing:8820,,51511,,,experience:42,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,6,,,0,
LumberMillUpgrades_9,9,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:26112,48137,,1,75600,piercing:10710,,60506,,,experience:67,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,7,,,0,
LumberMillUpgrades_10,10,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:30720,47265,,1,75600,piercing:12600,,71070,,,experience:66,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,8,,,0,
LumberMillUpgrades_11,11,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:35328,58320,,1,75600,piercing:14490,,79120,,,experience:81,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,9,,,0,
LumberMillUpgrades_12,12,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:39936,56347,,1,75600,piercing:16380,,88081,,,experience:79,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,10,,,0,
LumberMillUpgrades_13,13,0,bld_attackShip_wood.lvl,,stru_resource_lumberMill_active01.lvl|stru_resource_lumberMill_active02.lvl|stru_resource_lumberMill_active03.lvl,food:44544,54830,,1,75600,piercing:18270,,98057,,,experience:77,,,heal:heal|showBattleText:repairShotText,1.5,1,90,bld_attackShip_death.lvl,Heal Neighboring Towers,,0,harvestRate:harvestHourlyLimitAugmentLumber_01|harvestCap:harvestCapAugmentLumber_01,11,,,0,
