identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,auraRange,auraAffectsSelf,auraIdentifier,enemyAuraEffects,friendlyAuraEffects,finalDestructionDamage,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,activeAbilityBusyDuration,explosionSceneFile,bonusLabel1,bonusLabel2,specialAttackPower,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Integer,Integer,String,String,String,Integer,String,String,String,String,String,String,Float,Integer,Integer,Float,String,LocalizedString,String,Float,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
MageTowerUpgrades_1,1,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:28,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,440,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,0,,,15,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_2,2,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:208,3510,,1,8643,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:98,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,611,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,0,,,28,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_3,3,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:225,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,861,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,1,,,45,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_4,4,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:383,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,1170,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,1,,,66,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_5,5,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:428,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,1591,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,1,,,104,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_6,6,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,16884,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:600,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,2156,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,2,,,165,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_7,7,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,19892,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:750,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,2912,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,2,,,272,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_8,8,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,23314,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:750,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,3917,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,3,,,437,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_9,9,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,27185,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:924,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,4634,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,3,,,588,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
MageTowerUpgrades_10,10,0,bld_attackShip_magetowerRed.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,30537,25,1,red_mage_aura,,spellProtection:spellProtection1,0,,,experience:1264,red_mage_special,dragonSpellDependent:dragonSpellDependentMageSpecial1|disableRageGeneration:disableRageGeneration1|hpReduction:hpReduction1|killTarget:killSummon,,1.5,1,75,1.5,bld_attackShip_death.lvl,Steal Enemy Dragon Rage,,5205,0,health:healthAugmentMageTowerRed_01|specialAttack:specialAttackAugmentMageTowerRed_01,0,experience:0,3,,,759,bld_attackShipFriendly_magetowerRed.lvl,bld_attackShipFriendly_death.lvl,
