identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,showcaseIsTrackingTarget,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,augmentTotalToUpgrade,augmentInfoIdentifiers,augmentTimeInSeconds,augmentReward,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,friendlySceneFile,friendlyExplosionSceneFile,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Float,Integer,Integer,String,Integer,String,LocalizedString,String,Integer,String,Integer,String,Integer,String,String,Integer,String,String,String
StormTowerUpgrades_1,1,0,bld_attackShip_storm.lvl,stru_tower_lobLocators.lvl,piercing:12,990,,1,6991,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,50,25,0,0,,,,,experience:28,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,0,,,15,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_2,2,0,bld_attackShip_storm.lvl,stru_tower_lobLocators.lvl,piercing:145,3510,,1,8643,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,69,35,0,0,,,,,experience:98,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,0,,,28,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_3,3,0,bld_attackShip_storm.lvl,stru_tower_lobLocators.lvl,piercing:463,7200,,1,10261,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,98,49,0,0,,,,,experience:225,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,45,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_4,4,0,bld_attackShip_storm_level02.lvl,stru_tower_lobLocators.lvl,piercing:861,10800,,1,11982,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,133,66,0,0,,,,,experience:383,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,66,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_5,5,0,bld_attackShip_storm_level02.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,180,90,0,0,,,,,experience:428,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,1,,,104,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_6,6,0,bld_attackShip_storm_level02.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,1,16884,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,244,122,0,0,,,,,experience:600,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,2,,,165,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_7,7,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,1,19892,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,330,165,0,0,,,,,experience:750,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,2,,,272,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_8,8,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,1,23314,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,444,222,0,0,,,,,experience:750,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,437,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_9,9,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,1,27185,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,525,263,0,0,,,,,experience:924,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,588,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_10,10,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,1,30537,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,590,295,0,0,,,,,experience:1264,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,3,,,759,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_11,11,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,1,34165,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,660,330,0,0,,,,,experience:1298,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,4,,,925,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_12,12,0,bld_attackShip_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,1,38072,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,735,368,0,0,,,,,experience:1667,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,4,,,1161,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_13,13,0,bld_attackShip_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,1,42382,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,818,409,0,0,,,,,experience:2058,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,5,,,1450,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_14,14,0,bld_attackShip_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,1,47181,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,911,455,0,0,,,,,experience:2118,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,5,,,1798,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_15,15,0,bld_attackShip_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:51677,216000,,1,52525,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1014,507,0,0,,,,,experience:2546,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,6,,,2211,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_16,16,0,bld_attackShip_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,1,58473,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1129,564,0,0,,,,,experience:3000,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,6,,,2730,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
StormTowerUpgrades_17,17,0,bld_attackShip_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:77039,302400,,1,65095,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1257,628,0,0,,,,,experience:3097,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_attackShip_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,attack:attackAugmentStorm_01|health:healthAugmentStorm_01|specialAttack:specialAttackAugmentStorm_01,0,experience:0,7,,,3404,bld_attackShipFriendly_storm.lvl,bld_attackShipFriendly_death.lvl,
