identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
BoneDefenseUpgrades_1,1,,0,,1920,5,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,20,food:10,2,rage1,1,100,1,experience:100,100,
BoneDefenseUpgrades_2,2,food:40,900,level03,14310,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,150,1,experience:100,200,
BoneDefenseUpgrades_3,3,food:230,3600,level04,18510,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,200,1,experience:100,300,
BoneDefenseUpgrades_4,4,food:660,7200,level05,21620,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,250,1,experience:100,400,
BoneDefenseUpgrades_5,5,food:1430,10800,level06,21370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,300,1,experience:100,500,
BoneDefenseUpgrades_6,6,food:2920,16200,level07,27830,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,350,1,experience:100,600,
BoneDefenseUpgrades_7,7,food:9560,28800,level09,50320,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,400,1,experience:100,700,
BoneDefenseUpgrades_8,8,food:38370,54000,level12,79880,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,450,1,experience:100,800,
BoneDefenseUpgrades_9,9,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,500,1,experience:100,900,
BoneDefenseUpgrades_10,10,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,550,1,experience:100,1000,
BoneDefenseUpgrades_11,11,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,600,1,experience:100,1100,
BoneDefenseUpgrades_12,12,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,650,1,experience:100,1200,
BoneDefenseUpgrades_13,13,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,700,1,experience:100,1300,
BoneDefenseUpgrades_14,14,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,750,1,experience:100,1400,
BoneDefenseUpgrades_15,15,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,800,1,experience:100,1500,
BoneDefenseUpgrades_16,16,food:173910,108000,level16,124370,300,flamethrower:bone_autoAttackTut,aoeSpell:aoe1|archerResist01:archerResist01,30,food:10,3,rage1,2,850,1,experience:100,1600,!@#ifmccnbaknmeclgf
