identifier,breederIdentifier,requirementClass,category,subCategory,unlockAchievement,turnOffAchievement,probability,minAmount,maxAmount,breederAchievementStepDescription,descriptionPlural,shouldUseFormattedLabel,h
String,String,String,String,String,String,String,Integer,Float,Float,LocalizedString,LocalizedString,Integer,String
BreederAchievementV3Pve01,breederMaster,BattleFinishedRequirement,pve,pve09,v3TutorialPve02Finish,v3TutorialPve03Finish,20,1,1,Defeat 1 enemy,Defeat 1 enemy,,
BreederAchievementPve02,breederMaster,BattleFinishedRequirement,pve,pve05|pve06,altTutorialPve03Finish,altTutorialBuildModeAfterPve05,20,2,2,Defeat 2 enemies,Defeat 2 enemies,,
BreederAchievementPve04,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,bothTutorialBreederMission02Start,bothTutorialBreederMission02Finish,10,2,2,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievementSet03,breederMaster,BuildingDestroyedRequirement,anyTower,level03,bothTutorialBreederMission02Finish,finishBreederMasterQuest3,10,0.75,0.75,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievementSet04,breederMaster,BattleFinishedRequirement,pvp,,finishBreederMasterQuest3,finishBreederMasterQuest4,10,2,2,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAchievementSet05,breederMaster,BuildingDestroyedRequirement,anyTower,level03,finishBreederMasterQuest4,finishBreederMasterQuest5,10,0.75,0.75,Destroy {AMOUNT} building on a rival base,Destroy {AMOUNT} buildings on {SUBCATEGORY} base,,
BreederAchievementSet06,breederMaster,BattleFinishedRequirement,pvp,,finishBreederMasterQuest5,finishBreederMasterQuest6,10,3,3,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
BreederAchievementSet07,breederMaster,BuildingDestroyedRequirement,randomOwnedAttackTower,,finishBreederMasterQuest6,finishBreederMasterQuest7,10,3,3,Destroy {AMOUNT} {SUBCATEGORY},Destroy {AMOUNT} {SUBCATEGORY}s,,
BreederAchievementSet08,breederMaster,BattleFinishedRequirement,pvp,,finishBreederMasterQuest7,finishBreederMasterQuest8,10,3,3,Successfully {CATEGORY} {AMOUNT} base,Successfully {CATEGORY} {AMOUNT} bases,,
