identifier,level,inBundle,sceneFile,upgradeCost,rewardMultiplier,tier,achievementRequirements,h
String,Integer,Integer,String,Map<String:Integer>,Float,Integer,String,String
BreederBlimp_1,1,1,bld_balloon_red.lvl,,1,1,,
BreederBlimp_2,2,0,bld_balloon_purple.lvl,purpleEggCurrency:1,1.05,2,,
BreederBlimp_3,3,0,bld_balloon_blue.lvl,blueEggCurrency:1,1.1,3,,
BreederBlimp_4,4,0,bld_balloon_orange.lvl,orangeEggCurrency:1,1.15,4,,
BreederBlimp_5,5,0,bld_balloon_green.lvl,greenEggCurrency:1,1.2,5,,
BreederBlimp_6,6,0,bld_balloon_gold.lvl,goldEggCurrency:1,1.25,6,,
BreederBlimp_7,7,0,bld_balloon_platinum.lvl,platinumEggCurrency:1,1.3,7,,
BreederBlimp_8,8,0,bld_balloon_sapphire.lvl,sapphireEggCurrency:1,1.35,8,,
BreederBlimp_9,9,0,bld_balloon_garnet.lvl,garnetEggCurrency:1,1.4,9,,
BreederBlimp_10,10,0,bld_balloon_emerald.lvl,emeraldEggCurrency:1,1.45,10,,
BreederBlimp_11,11,0,bld_balloon_obsidian.lvl,obsidianEggCurrency:1,1.5,11,,
BreederBlimp_12,12,0,bld_balloon_harbinger.lvl,atlasEggCurrency:1,1.55,12,,
BreederBlimp_13,13,0,bld_balloon_vanguard.lvl,vanguardEggCurrency:1,1.6,13,,!@#fabohooabdcccekd
