identifier,text,h
String,String,String
masterTitle1,Dragon Guard Mission,
assistant1Title,Dragon Guard Mission,
assistant2Title,Dragon Guard Mission,
header1,Complete my mission to earn egg tokens.,
header2,Mission complete - collect your egg tokens.,
header3,I have no mission for now.,
description1,Egg tokens may be used at the breeding castle.,
description2,I have already helped you. Come back after some time.,
description3,You have many egg tokens. The Dragon Guards will return when you require more.,!@#kakgjgacleefbimb
