identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,Integer,String,String,Integer,String
BreedingUpgrades_0,0,sceneFile|constructionSceneFile|explosionSceneFile|customUpgradeSceneFile,bld_expansionSlot_castle.lvl,,piercing:1,2,,,100,,,experience:1,,,,,1.5,1,90,bld_expansionSlot_castle_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_breedingCave_level1.lvl,,piercing:3,2,,,100,,,experience:1,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_2,2,0,stru_resource_breedingCave_level2.lvl,,piercing:1848,43200,,5,100,,,experience:60,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_3,3,0,stru_resource_breedingCave_level3.lvl,,piercing:9792,92160,,14,100,,,experience:128,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_4,4,0,stru_resource_breedingCave_level3.lvl,,piercing:41904,219429,,28,100,,,experience:305,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_5,5,0,stru_resource_breedingCave_level3.lvl,,piercing:105840,628364,,40,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_6,6,0,stru_resource_breedingCave_level3.lvl,,piercing:231168,1728000,,63,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_7,7,0,stru_resource_breedingCave_level3.lvl,,piercing:305472,1958400,,90,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_8,8,0,stru_resource_breedingCave_level3.lvl,,piercing:305472,1958400,,108,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_9,9,0,stru_resource_breedingCave_level3.lvl,,piercing:305472,1958400,,108,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_10,10,0,stru_resource_breedingCave_level3.lvl,,piercing:305472,2671033,,130,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_11,11,0,stru_resource_breedingCave_level3.lvl,,piercing:974208,5000000,,182,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_12,12,0,stru_resource_breedingCave_level3.lvl,,piercing:1636752,5000000,,280,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_13,13,0,stru_resource_breedingCave_level3.lvl,,piercing:1933968,5000000,,360,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_14,14,0,stru_resource_breedingCave_level3.lvl,,piercing:2280720,5000000,,400,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,
BreedingUpgrades_15,15,0,stru_resource_breedingCave_level3.lvl,,piercing:2577936,5000000,,435,100,,,experience:400,,,,,1.5,1,90,stru_resource_breedingCave_destruction.lvl,,,0,stru_resource_breedingCave_construction.lvl,vfx_building_breedingCave_upgrade_01.lvl,1,!@#nbddoolpaehboidh
