identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,String,String,Integer,String
BuilderUpgrades_0,0,sceneFile|explosionSceneFile,stru_resource_builderHut_level00.lvl,,piercing:3,3,,4,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level00_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_1,1,0,stru_resource_builderHut_level01.lvl,,piercing:3,3,,4,100,,,experience:0,,,,1.5,1,90,stru_resource_builderHut_level01_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_2,2,0,stru_resource_builderHut_level02.lvl,,piercing:1980|redEggCurrency:1,21600,,7,100,,,experience:30,,,,1.5,1,90,stru_resource_builderHut_level02_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_3,3,0,stru_resource_builderHut_level03.lvl,,piercing:3600|redEggCurrency:2,27000,,12,100,,,experience:37,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_4,4,0,stru_resource_builderHut_level03.lvl,,piercing:8640|redEggCurrency:2,46080,,18,100,,,experience:64,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_5,5,0,stru_resource_builderHut_level03.lvl,,piercing:14400|purpleEggCurrency:2,60845,,23,100,,,experience:84,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_6,6,0,stru_resource_builderHut_level03.lvl,,piercing:25830|purpleEggCurrency:4,90268,,28,100,,,experience:125,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_7,7,0,stru_resource_builderHut_level03.lvl,,piercing:34920|purpleEggCurrency:4,109714,,33,100,,,experience:152,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_8,8,0,stru_resource_builderHut_level03.lvl,,piercing:50400|blueEggCurrency:2,144000,,38,100,,,experience:200,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_9,9,0,stru_resource_builderHut_level03.lvl,,piercing:61200|blueEggCurrency:4,192000,,41,100,,,experience:266,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_10,10,0,stru_resource_builderHut_level03.lvl,,piercing:72000|orangeEggCurrency:2,252000,,45,100,,,experience:350,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_11,11,0,stru_resource_builderHut_level03.lvl,,piercing:88200|orangeEggCurrency:2,314181,,48,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_12,12,0,stru_resource_builderHut_level03.lvl,,piercing:99000|orangeEggCurrency:4,345600,,51,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_13,13,0,stru_resource_builderHut_level03.lvl,,piercing:109800|greenEggCurrency:2,432000,,53,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
BuilderUpgrades_14,14,0,stru_resource_builderHut_level03.lvl,,piercing:120600|greenEggCurrency:4,540000,,56,100,,,experience:400,,,,1.5,1,90,stru_resource_builderHut_level03_death.lvl,,,prop_constructionKit_builderHut.lvl,,1,
