identifier,inBundle,displayName,displayBlurb,displayDescriptionIdentifier,displayUpgradeDescriptionIdentifier,unlockAchievement,researchRequirements,shouldLimitPerIsland,maxTowersPerIsland,achievementsMaxAmountIncrease,defaultMaxLevel,researchMaxLevelIncrease,buildingAttribute,contextMenuPower,upgradeCSVFileName,attackType,attackTypeSprite,tacticalTypeSprite,buildingClass,buildingType,gridWidth,gridHeight,overlayAnimationScene,canMove,canDelete,canBuy,canUpgrade,shouldFaceDragon,showInEncyclopedia,battleBuildingGroup,targetPriority,dontShowHPBar,thumbnailIconFileName,tallIconFilename,lockedIconFileName,powerupIconFileName,minToNextIdle,maxToNextIdle,numIdleLoops,attackStartVal,hpStartVal,rangeStartVal,baseDestroyedMultiplier,viewControllerClassName,customButtonText,dragonsStrongAgainst,isAttackable,isAutoTargetable,canBeOneShotKilled,buildingTooltipTypeIdentifiers,extraAttackRadius,projectileHeightOffset,videoTutorial,explosionSoundEvent,attackSoundEvent,isScaffoldingHidden,buildingCategory,enableSupershotLayerForInfoView,meaningfulDestroy,compatibleReskins,vfxsOnDragon,vfxPriority,restrictedBuildingCombo,h
String,Integer,LocalizedString,LocalizedString,String,String,String,String,Integer,Integer,String,Integer,String,String,LocalizedString,String,String,String,String,String,String,Integer,Integer,String,Integer,Integer,Integer,Integer,Integer,Integer,String,Integer,Integer,String,String,String,String,Float,Float,Integer,Integer,Integer,Integer,Float,String,LocalizedString,String,Integer,Integer,Integer,Array<String>,Float,Float,String,String,String,Integer,String,Integer,Integer,Array<String>,String,Integer,String,String
archerTower,1,Archer Tower,Bonus damage when placed on heights!,buildingDescription_archerTower,buildingDescription_archerTower,,,,,bothTutorialUnlockArcherTower:1|level03:2|level04:12,95,,archerAttribute,Height bonus!,ArcherTowerUpgrades.csv,archer,icon_tower_archer.png,icon_tower_archer.png,archer,TOWER,3,3,,1,1,1,1,1,1,,0,,image_archer_01.png,image_archer_02.png,image_archer_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,archerTower,tower_exploded,,,archerTower,1,1,,,,,
cannonTower,0,Cannon Tower,Increasing damage with every shot!,buildingDescription_cannonTower,buildingDescription_cannonTower,level03,,,,level03:3|level04:12,95,,,Accelerated damage,CannonTowerUpgrades.csv,cannon,icon_tower_cannon.png,icon_tower_cannon.png,cannon,TOWER,3,3,,1,1,1,1,1,1,,0,,image_cannon_01.png,image_cannon_02.png,image_cannon_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,cannonTower,tower_exploded,,,cannonTower,1,1,,,,,
stormTower,0,Storm Tower,Vortex that sucks life out of dragons!,buildingDescription_stormTower,buildingDescription_stormTower,level05,,,,level05:15,95,,,Sucks out life,StormTowerUpgrades.csv,storm,icon_tower_wind.png,icon_tower_wind.png,storm,TOWER,3,3,,1,1,1,1,0,1,,0,,image_thief_01.png,image_thief_02.png,image_thief_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,1,attack|health|specialAttack,,,stormTower,tower_exploded,,,stormTower,1,1,,,,elementalFlakEarth,
ballista,0,Ballista,Deadly arrows poison dragons!,buildingDescription_ballista,buildingDescription_ballista,level09,,,,level09:10,95,,,Poisons your dragon,BallistaTowerUpgrades.csv,ballista,icon_tower_ballista.png,icon_tower_ballista.png,ballista,TOWER,3,3,,1,1,1,1,1,1,,0,,image_ballista_01.png,image_ballista_02.png,image_ballista_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,15,200,30,1,,,,1,1,1,attack|health|specialAttack,,,ballista,tower_exploded,,,ballista,1,1,,,,,
mageTower,0,Red Mage Tower,Prevents dragon from using spells!,buildingDescription_mageTower,buildingDescription_mageTower,level13,,,,level13:5,95,,,Blocks spells,MageTowerUpgrades.csv,,icon_tower_mageRed.png,icon_tower_mageRed.png,aura,AURA,3,3,,1,1,1,1,0,1,,0,,image_mage_red_01.png,image_mage_red_02.png,image_mage_red_locked_01.png,icon_powerup_HP_01.png,0.2,2,1,30,200,40,1,,,,1,1,1,health|specialAttack,,,mageTower,tower_exploded,,,mageTower,1,1,,,,,
mageBlueTower,0,Blue Mage Tower,Prevents dragon from using spells!,buildingDescription_mageBlueTower,buildingDescription_mageBlueTower,level16,,,,level16:5,95,,,Blocks spells,MageTowerBlueUpgrades.csv,,icon_tower_mageBlue.png,icon_tower_mageBlue.png,aura,AURA,3,3,,1,1,1,1,0,1,,0,,image_mage_blue_01.png,image_mage_blue_02.png,image_mage_blue_locked_01.png,icon_powerup_HP_01.png,0.2,2,1,30,200,40,1,,,,1,1,1,health|specialAttack,,,mageBlueTower,tower_exploded,,,mageBlueTower,1,1,,,,,
trebuchet,0,Trebuchet,Heavy projectiles stun dragons!,buildingDescription_trebuchet,buildingDescription_trebuchet,level22,,,,level22:10,95,,,Stuns dragon,TrebuchetUpgrades.csv,trebuchet,icon_tower_trebuchet.png,icon_tower_trebuchet.png,trebuchet,TOWER,3,3,,1,1,1,1,1,1,,0,,image_trebuchet_01.png,image_trebuchet_02.png,image_trebuchet_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,70,200,30,1,,,,1,1,1,attack|health|specialAttack,,,trebuchet,tower_exploded,,,trebuchet,1,1,,,,,
smokeTower,0,Prism Tower,Turns surrounding towers invisible!,buildingDescription_smokeTower,buildingDescription_smokeTower,level999,,,,level999:2,30,,,Invisibility!,SmokeAuraUpgrades.csv,,,icon_aura_01.png,aura,AURA,3,3,,1,1,0,0,0,0,,0,,image_prism_01.png,image_prism_02.png,image_prism_locked_01.png,icon_powerup_HP_01.png,0.2,2,1,30,200,15,1,,,,1,1,1,health|specialAttack,,,,tower_exploded,,,smokeTower,1,1,,,,,
lightningTower,0,Lightning Tower,Combine to deal extra damage!,buildingDescription_lightningTower,buildingDescription_lightningTower,level32,,,,level32:10,95,,,Adjacency bonus!,LightningTowerUpgrades.csv,lightning,icon_tower_lightning.png,icon_tower_lightning.png,lightning,TOWER,3,3,,1,1,1,1,0,0,,0,,image_lightning_01.png,image_lightning_02.png,image_lightning_locked_01.png,icon_powerup_ammo_01.png,5,7,1,30,200,30,1,LightningTowerViewController,,,1,1,1,attack|health|specialAttack,,,lightningTower,tower_exploded,,,lightningTower,1,1,,,,,
hogFarm,1,Sheep Farm,Produces food.,buildingDescription_hogFarm,buildingUpgradeDescription_hogFarm,,,,,bothTutorialUnlockHogFarm:1|level05:1,95,,,Produces Food,HogFarmUpgrades.csv,,,icon_tower_farm.png,harvest,HARVEST,3,3,icon_food.lvl,1,0,1,1,0,0,,0,,image_hog_farm_01.png,image_hog_farm_02.png,image_hog_farm_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,5,30,200,30,1,,,,1,1,1,harvestRateFarm|harvestCapFarm,,,hogFarm,tower_exploded,,,hogFarm,0,1,,,,,
woodFarm,1,Lumber Mill,Produces wood.,buildingDescription_woodFarm,buildingUpgradeDescription_woodFarm,level02,,,,level02:1|level05:1,95,,,Produces Wood,LumberMillUpgrades.csv,,,icon_tower_lumberMill.png,harvest,HARVEST,3,3,icon_lumber.lvl,1,0,1,1,0,0,,0,,image_lumber_01.png,image_lumber_02.png,image_lumber_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,harvestRateLumber|harvestCapLumber,,,woodFarm,tower_exploded,,,woodFarm,0,1,,,,,
incubator,1,Egg Incubator,Where dragons are hatched.,buildingDescription_incubator,buildingUpgradeDescription_incubator,,,,,level01:1,15,,,Hatch Eggs,IncubatorUpgrades.csv,,,,economy,INCUBATOR,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_incubator_01.png,image_incubator_02.png,image_incubator_locked_01.png,icon_powerup_ammo_01.png,0,0,1,30,200,30,1,,Incubate Eggs,,1,1,1,,,,,base_tower_exploded,,,incubator,0,0,,,,,
breedingGround,1,Breeding Castle,Where dragons are created.,buildingDescription_breedingGround,buildingUpgradeDescription_breedingGround,bothTutorialEnableBreedingGround,,,,level01:1,15,,,Hatch Eggs,BreedingUpgrades.csv,,,,economy,BREEDING,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,icon_powerup_ammo_01.png,0,0,1,30,200,30,1,,Breed Dragons,,1,1,1,,,,,base_tower_exploded,,,breedingGround,0,0,,,,,
stable,1,Dragons Den,Where dragons are trained.,buildingDescription_stable,buildingUpgradeDescription_stable,,,,,level01:1,109,,,Train Dragons,StableUpgrades.csv,,,,economy,STABLE,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_stable_01.png,image_stable_02.png,image_stable_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,View Dragons,,1,1,1,,15,,,base_tower_exploded,,,stable,0,0,stable_gold|stable_silver|stable_bronze|stable_japan|stable_tiki,,,,
builder,0,Builder Hut,Where builders live.,buildingDescription_builder,buildingUpgradeDescription_builder,level04,,,,level04:1,48,,,Build Buildings,BuilderUpgrades.csv,,,,economy,BUILDER,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_builder_01.png,image_builder_02.png,image_builder_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,Info,,1,1,1,,,,,base_tower_exploded,,,builder,0,0,builder_japan|builder_tiki,,,,
guild,0,Team Meeting Hall,Where guilds gather.,buildingDescription_guild,buildingDescription_guild,level06,,,,level06:1,1,,,Teams meet,GuildUpgrades.csv,,,,economy,GUILD,3,3,,0,0,0,0,0,0,storeHouse,10,1,image_guildHall_01.png,image_guildHall_02.png,image_guildHall_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,Manage Team,,1,1,1,,,,,base_tower_exploded,,,guild,0,0,guild_japan|guild_tiki,,,,
storage,1,Storage Hut,Where resources are kept.,buildingDescription_storage,buildingUpgradeDescription_storage,level01,,,,level01:1,100,,,Build Buildings,StorageUpgrades.csv,,,,economy,STORAGE,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_vault_01.png,image_vault_02.png,image_vault_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,food|piercing|gold,,,,base_tower_exploded,,,storage,0,0,,,,,
research,0,Hall of Research,Research knowledge to benefit your dragons and kingdom.,buildingDescription_research,buildingUpgradeDescription_research,haveDuplicateEgg,,,,haveDuplicateEgg:1,7,,,University,ResearchUpgrades.csv,,,,economy,RESEARCH,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_research_01.png,image_research_02.png,image_research_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,Research,,1,1,1,,,,,base_tower_exploded,,,research,0,0,research_japan|research_tiki,,,,
archerTowerTutorial,1,Archer,Bonus damage when placed on heights!,buildingDescription_archerTowerTutorial,buildingDescription_archerTowerTutorial,,,,,,60,,archerAttribute,Height bonus!,ArcherTowerTutorialUpgrades.csv,archer,icon_tower_archer.png,icon_tower_archer.png,archer,TOWER,3,3,,1,1,0,1,1,1,,0,,image_archer_01.png,image_archer_02.png,image_archer_locked_01.png,icon_powerup_ammo_01.png,0.2,2,1,40,200,30,1,,,,1,1,1,,,,,tower_exploded,,,archerTower,1,1,,,,,
cannonTowerTutorial,1,Cannon,Increasing damage with every shot!,buildingDescription_cannonTowerTutorial,buildingDescription_cannonTowerTutorial,,,,,,60,,,Accelerated damage,CannonTowerTutorialUpgrades.csv,cannon,icon_tower_cannon.png,icon_tower_cannon.png,cannon,TOWER,3,3,,1,1,0,1,1,1,,0,,image_cannon_01.png,image_cannon_02.png,image_cannon_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,,,,,tower_exploded,,,cannonTower,1,1,,,,,
lightningTowerTutorial,1,Lightning Tower,Combine to deal extra damage!,buildingDescription_lightningTowerTutorial,buildingDescription_lightningTowerTutorial,,,,,,55,,,Adjacency bonus!,LightningTowerTutorialUpgrades.csv,lightning,icon_tower_lightning.png,icon_tower_lightning.png,lightning,TOWER,3,3,,1,1,0,1,0,0,,0,,image_lightning_01.png,image_lightning_02.png,image_lightning_locked_01.png,icon_powerup_ammo_01.png,5,7,1,30,200,30,1,LightningTowerViewController,,,1,1,1,,,,,tower_exploded,,,lightningTower,1,1,,,,,
decoy,0,Decoy,,,,,,,,,35,,,,DecoyUpgrades.csv,,,,decoy,DECOY,3,3,,,,,,,,,0,,image_prism_01.png,image_prism_02.png,image_prism_locked_01.png,,,,,,,,1,,,,1,1,1,,,,,tower_exploded,,,decoy,0,,,,,,
statues,1,Statues,The dragon statues have watched over our land for centuries.,buildingDescription_statues,buildingDescription_statues,,,,,level01:1,35,,,,StatueUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Statue,,1,0,1,,,,,tower_exploded,,1,statues,0,0,statue_gold|statue_silver|statue_bronze,,,,
lighthouse,1,Lighthouse,"A beacon to visiting guild members, and a warning to foes.",buildingDescription_lighthouse,buildingDescription_lighthouse,,,,,level01:1,35,,,,LighthouseUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Lighthouse,,1,0,1,,,,,tower_exploded,,1,lighthouse,0,0,,,,,
waterGate,1,Guardian Statues,Watches over your kingdom and dragons.,buildingDescription_waterGate,buildingDescription_waterGate,,,,,level01:1,35,,,,WaterGateUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Statues,,1,0,1,,,,,tower_exploded,,1,waterGate,0,0,,,,,
library,1,Tower of Learning,Serves as a monument to knowledge and research.,buildingDescription_library,buildingDescription_library,,,,,level01:1,35,,,,LibraryUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Tower,,1,0,1,,,,,tower_exploded,,1,library,0,0,,,,,
temple,1,Temple,Serves as a meeting place for civilian farmers and laborers.,buildingDescription_temple,buildingDescription_temple,,,,,level01:1,35,,,Prayer Tower!,TempleUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Temple,,1,0,1,,30,-40,,tower_exploded,,1,temple,0,0,,,,,
mountDragon,1,Mount Dragon,A sacred lookout where only dragons may go.,buildingDescription_mountDragon,buildingDescription_mountDragon,,,,,level01:1,35,,,,MountDragonUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Monument,,1,0,1,,,-240,,tower_exploded,,1,mountDragon,0,0,,,,,
tripleTowers,1,Triple Towers,Provides a strategic vantage point for sighting enemy attackers.,buildingDescription_tripleTowers,buildingDescription_tripleTowers,,,,,level01:1,35,,,,TripleTowersUpgrades.csv,,,,economy,MONUMENT,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_02.png,image_breeding_ground_locked_01.png,,0,0,1,30,200,30,0,,Explore Towers,,1,0,1,,,,,tower_exploded,,1,tripleTowers,0,0,,,,,
forge,1,Forge,Make boosts here.,buildingDescription_forge,buildingUpgradeDescription_forge,level08,,,,level08:1,7,,,Build boosts,ForgeUpgrades.csv,,,,economy,FORGE,3,3,,0,0,0,1,0,0,storeHouse,10,1,image_alchemist_01.png,image_alchemist_02.png,image_alchemist_locked_01.png,icon_powerup_HP_01.png,0.2,0.3,1,30,200,30,1,,Forge Boosts,,1,0,1,,,,,tower_exploded,,,forge,0,0,forge_japan|forge_tiki,,,,
shrine,1,Shrine,Releases the Water Dragon in reward for strong defense.,buildingDescription_shrine,buildingDescription_shrine,,,,,level01:1,1,,,,ShrineUpgrades.csv,,,,economy,SHRINE,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_01.png,image_breeding_ground_01.png,,0,0,1,30,200,30,0,,Explore Dragon Shrine,,1,0,1,,,,,tower_exploded,,1,shrine,0,0,,,,,
rubyMine,0,Ruby Mine,Where rubies are mined.,buildingDescription_rubymine,buildingDescription_rubymine,,,,,level01:1,1,,,,RubyMineUpgrades.csv,,,,economy,RUBYMINE,3,3,,0,0,0,0,0,0,,10,1,image_breeding_ground_01.png,image_breeding_ground_01.png,image_breeding_ground_01.png,,0,0,1,30,200,30,0,,Explore Mine,,1,0,1,,,,,tower_exploded,,1,rubyMine,0,0,,,,,
runeBuilding,0,Rune Vault,Where runes are discovered.,buildingDescription_runeBuilding,buildingDescription_runeBuilding,equipFirstMonumentRune,,,,level01:1,1,,,,RuneBuildingUpgrades.csv,,,,economy,RUNEBUILDING,3,3,,0,0,0,0,0,0,storeHouse,10,1,image_breeding_ground_01.png,image_breeding_ground_01.png,image_breeding_ground_01.png,,0.2,0.3,1,30,200,30,1,,Explore Runes,,1,1,1,,,,,base_tower_exploded,,,runeBuilding,1,0,,,,,
iceTurret,0,Ice Turret,Slows hunter ammo generation and shields other towers with supershot!,buildingDescription_iceTurret,buildingDescription_iceTurret,level38,,,,level38:6,95,,,Slows hunter ammo generation,IceTurretUpgrades.csv,ice,icon_tower_ice.png,icon_tower_ice.png,ice,TOWER,3,3,,1,1,1,1,0,1,,0,,image_iceTurret_01.png,image_iceTurret_02.png,image_iceTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,1,attack|health|specialAttack,,,iceTurret,tower_exploded,,,iceTurret,1,1,,,,,
fireTurret,0,Fire Turret,Set enemies on fire!,buildingDescription_fireTurret,buildingDescription_fireTurret,level43,,,,level43:6,95,,,Burns Dragons,FireTurretUpgrades.csv,fire,icon_tower_fire.png,icon_tower_fire.png,fire,TOWER,3,3,,1,1,1,1,0,1,,0,,image_fireTurret_01.png,image_fireTurret_02.png,image_fireTurret_locked_01.png,icon_powerup_ammo_01.png,0.2,0.3,1,50,120,30,1,,,,1,1,1,attack|health|specialAttack,,,fireTurret,tower_exploded,,,fireTurret,0,1,,,,,
windTotem,0,Wind Totem,Damage Reduction against Wind Dragon attacks,buildingDescription_totem,buildingDescription_totem,level31,,,,level31:1,50,,,Damage Reduction against Wind Dragon attacks,WindTotemUpgrades.csv,,icon_tower_element_wind.png,icon_tower_element_wind.png,totem,TOTEM,3,3,,1,1,1,1,1,1,,0,,image_brazier_lightning.png,image_brazier_lightning.png,image_brazier_lightning_locked.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,damageReduction|health,,,,tower_exploded,,,windTotem,1,1,,,,,
earthTotem,0,Earth Totem,Damage Reduction against Earth Dragon attacks,buildingDescription_totem,buildingDescription_totem,level31,,,,level31:1,50,,,Damage Reduction against Earth Dragon attacks,EarthTotemUpgrades.csv,,icon_tower_element_earth.png,icon_tower_element_earth.png,totem,TOTEM,3,3,,1,1,1,1,1,1,,0,,image_brazier_earth.png,image_brazier_earth.png,image_brazier_earth_locked.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,damageReduction|health,,,,tower_exploded,,,earthTotem,1,1,,,,,
darkTotem,0,Dark Totem,Damage Reduction against Dark Dragon attacks,buildingDescription_totem,buildingDescription_totem,level31,,,,level31:1,50,,,Damage Reduction against Dark Dragon attacks,DarkTotemUpgrades.csv,,icon_tower_element_dark.png,icon_tower_element_dark.png,totem,TOTEM,3,3,,1,1,1,1,1,1,,0,,image_brazier_dark.png,image_brazier_dark.png,image_brazier_dark_locked.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,damageReduction|health,,,,tower_exploded,,,darkTotem,1,1,,,,,
fireTotem,0,Fire Totem,Damage Reduction against Fire Dragon attacks,buildingDescription_totem,buildingDescription_totem,level31,,,,level31:1,50,,,Damage Reduction against Fire Dragon attacks,FireTotemUpgrades.csv,,icon_tower_element_fire.png,icon_tower_element_fire.png,totem,TOTEM,3,3,,1,1,1,1,1,1,,0,,image_brazier_fire.png,image_brazier_fire.png,image_brazier_fire_locked.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,damageReduction|health,,,,tower_exploded,,,fireTotem,1,1,,,,,
iceTotem,0,Ice Totem,Damage Reduction against Ice Dragon attacks,buildingDescription_totem,buildingDescription_totem,level31,,,,level31:1,50,,,Damage Reduction against Ice Dragon attacks,IceTotemUpgrades.csv,,icon_tower_element_ice.png,icon_tower_element_ice.png,totem,TOTEM,3,3,,1,1,1,1,1,1,,0,,image_brazier_ice.png,image_brazier_ice.png,image_brazier_ice_locked.png,icon_powerup_ammo_01.png,0.2,0.3,1,30,200,30,1,,,,1,1,1,damageReduction|health,,,,tower_exploded,,,iceTotem,1,1,,,,,
salvageDepot,0,Bounty Harbor,The Bounty Harbor collects lost treasures buried beneath the waves. Come back frequently to claim your rewards.,buildingDescription_salvageDepot,buildingDescription_salvageDepot,level04,,,,level01:1,1,,,,SalvageDepotBuildingUpgrades.csv,,,,economy,COLLECTABLE,3,3,,0,0,0,0,0,0,,10,,image_salvageDepot_02.png,image_salvageDepot_02.png,image_salvageDepot_02.png,,0.2,0.3,1,30,200,30,0,,Info,,1,0,1,,,,,base_tower_exploded,,1,salvageDepot,0,0,,,,,
perchIsland03,0,Seagazer Perch,Perch,buildingDescription_dragonPerch,buildingDescription_dragonPerch,clearIsland03,,,,level01:1,94,,,,DragonPerch03BuildingUpgrades.csv,,icon_perch.png,icon_perch.png,dragonPerch,DRAGONPERCH,3,3,,0,0,0,1,1,0,,0,,image_salvageDepot_02.png,image_salvageDepot_02.png,image_salvageDepot_02.png,,0.2,0.3,1,30,200,30,1,,Dragon,,1,1,1,,,,,tower_exploded,,,dragonPerch,0,1,,,,,
perchIsland06,0,Riverwatch Perch,Perch,buildingDescription_dragonPerch,buildingDescription_dragonPerch,clearIsland06,,,,level01:1,94,,,,DragonPerch06BuildingUpgrades.csv,,icon_perch.png,icon_perch.png,dragonPerch,DRAGONPERCH,3,3,,0,0,0,1,1,0,,0,,image_salvageDepot_02.png,image_salvageDepot_02.png,image_salvageDepot_02.png,,0.2,0.3,1,30,200,30,1,,Dragon,,1,1,1,,,,,tower_exploded,,,dragonPerch,0,1,,,,,
perchIsland08,0,Stonespear Perch,Perch,buildingDescription_dragonPerch,buildingDescription_dragonPerch,clearIsland08,,,,level01:1,94,,,,DragonPerch08BuildingUpgrades.csv,,icon_perch.png,icon_perch.png,dragonPerch,DRAGONPERCH,3,3,,0,0,0,1,1,0,,0,,image_salvageDepot_02.png,image_salvageDepot_02.png,image_salvageDepot_02.png,,0.2,0.3,1,30,200,30,1,,Dragon,,1,1,1,,,,,tower_exploded,,,dragonPerch,0,1,,,,,
elementalFlakDark,0,Dark Flak Tower,High damage and stun with short attack range!,buildingDescription_darkFlakTower,buildingDescription_darkFlakTower,level45,,1,1,level45:1|level50:2|level70:2|level80:3,95,,,Damage bonus and stuns dragon,ElementalFlakUpgradesDark.csv,flak,icon_flak_tower_dark.png,icon_flak_tower_dark.png,flak,TOWER,3,3,,1,1,1,1,1,1,,0,,image_flakDark_01.png,image_flakDark_02.png,image_flakDark_locked_01.png,icon_powerup_ammo_01.png,0.2,5,1,40,200,30,1,,,,1,1,1,attack|health|specialAttack,,,darkFlakTower,tower_exploded,,,elementalFlakDark,1,1,,,,,
