identifier,defaultEffects,heightBonusedEffects,h
String,String,String,String
archerSuperShotNoSpell_level01,fireProjectile:archerSuperShotRegular_level01,fireProjectile:archerSuperShotHeightBonused_level01,
archerSuperShotNoSpell_level02,fireProjectile:archerSuperShotRegular_level02,fireProjectile:archerSuperShotHeightBonused_level02,
archerSuperShotNoSpell_level03,fireProjectile:archerSuperShotRegular_level03,fireProjectile:archerSuperShotHeightBonused_level03,
archerSuperShotNoSpell_level04,fireProjectile:archerSuperShotRegular_level04,fireProjectile:archerSuperShotHeightBonused_level04,
archerSuperShotNoSpell_level05,fireProjectile:archerSuperShotRegular_level05,fireProjectile:archerSuperShotHeightBonused_level05,
archerSuperShotShortCircuited_level01,fireProjectile:archerSuperShotShortCircuited_level01,fireProjectile:archerSuperShotShortCircuitedHeightBonused_level01,
archerSuperShotShortCircuited_level02,fireProjectile:archerSuperShotShortCircuited_level02,fireProjectile:archerSuperShotShortCircuitedHeightBonused_level02,
archerSuperShotShortCircuited_level03,fireProjectile:archerSuperShotShortCircuited_level03,fireProjectile:archerSuperShotShortCircuitedHeightBonused_level03,
archerSuperShotShortCircuited_level04,fireProjectile:archerSuperShotShortCircuited_level04,fireProjectile:archerSuperShotShortCircuitedHeightBonused_level04,
archerSuperShotShortCircuited_level05,fireProjectile:archerSuperShotShortCircuited_level05,fireProjectile:archerSuperShotShortCircuitedHeightBonused_level05,!@#bfklfojgmnlnchdo
