identifier,inBundle,activateDelay,shieldHPAmountPercentage,radius,sceneFile,initiateParticleEffectIdentifier,h
String,Integer,Float,Float,Float,String,String,String
buildingsIceShield1,0,0.5,0.0738,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield2,0,0.5,0.0829,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield3,0,0.5,0.0985,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield4,0,0.5,0.1146,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield5,0,0.5,0.1311,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield6,0,0.5,0.1499,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield7,0,0.5,0.1718,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield8,0,0.5,0.1972,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield9,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield10,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield11,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield12,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield13,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield14,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield15,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield16,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield17,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield18,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield19,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield20,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield21,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield22,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield23,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield24,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield25,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield26,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
buildingsIceShield27,0,0.5,0.2,30,eff_iceTurretSuperAttack_iceShield.lvl,cmp_ptl_iceShield_initiate,
