identifier,possibleTransformations,h
String,Array<String>,String
archerTower,cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
cannonTower,archerTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
ballista,archerTower|cannonTower|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
stormTower,archerTower|cannonTower|ballista|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
mageTower,archerTower|cannonTower|ballista|stormTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
mageBlueTower,archerTower|cannonTower|ballista|stormTower|mageTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
trebuchet,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
lightningTower,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
iceTurret,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
fireTurret,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
windTotem,earthTotem|darkTotem|fireTotem|iceTotem,
earthTotem,windTotem|darkTotem|fireTotem|iceTotem,
darkTotem,windTotem|earthTotem|fireTotem|iceTotem,
fireTotem,windTotem|earthTotem|darkTotem|iceTotem,
iceTotem,windTotem|earthTotem|darkTotem|fireTotem,
elementalFlakDark,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakFire|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
elementalFlakFire,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakIce|elementalFlakWind|elementalFlakEarth,
elementalFlakIce,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakWind|elementalFlakEarth,
elementalFlakWind,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakEarth,
elementalFlakEarth,archerTower|cannonTower|ballista|stormTower|mageTower|mageBlueTower|trebuchet|lightningTower|fireTurret|iceTurret|elementalFlakDark|elementalFlakFire|elementalFlakIce|elementalFlakWind,!@#fapockmnohjlgjho
