identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
CannonTowerBossUpgrades_1,1,sceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,10650,1.5,0.5,1000,prj_cannon,hpReduction:hpReduction22,517,520,0,0,0,,,,experience:1,,prj_cannon_special,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_01,Heavy Explosives,Break All Shield Spells,0,,,8,
CannonTowerBossUpgrades_2,2,0,bld_cannon_level02.lvl,stru_tower_lobLocators.lvl,piercing:9,60,,1,12608,1.5,0.5,1000,prj_Cannon_level02,hpReduction:hpReduction22,614,617,0,0,0,,,,experience:13,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level02_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,12,
CannonTowerBossUpgrades_3,3,0,bld_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,15101,1.5,0.5,1000,prj_Cannon_level02,hpReduction:hpReduction22,782,786,0,0,0,,,,experience:60,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,18,
CannonTowerBossUpgrades_4,4,0,bld_cannon_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,18046,1.5,0.5,1000,prj_Cannon_level03,hpReduction:hpReduction22,1082,1088,0,0,0,,,,experience:140,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,32,
CannonTowerBossUpgrades_5,5,0,bld_cannon_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,20960,1.5,0.5,1000,prj_Cannon_level03,hpReduction:hpReduction22,1498,1505,0,0,0,,,,experience:240,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,50,
CannonTowerBossUpgrades_6,6,0,bld_cannon_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,24867,1.5,0.5,1000,prj_Cannon_level03,hpReduction:hpReduction22,2036,2047,0,0,0,,,,experience:405,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,84,
CannonTowerBossUpgrades_7,7,0,bld_cannon_level04.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,1,29427,1.5,0.5,1000,prj_Cannon_level04,hpReduction:hpReduction22,2766,2779,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,140,
CannonTowerBossUpgrades_8,8,0,bld_cannon_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,1,34636,1.5,0.5,1000,prj_Cannon_level04,hpReduction:hpReduction22,3742,3761,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,224,
CannonTowerBossUpgrades_9,9,0,bld_cannon_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,1,40551,1.5,0.5,1000,prj_Cannon_level04,hpReduction:hpReduction22,5043,5068,0,0,0,,,,experience:750,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,342,
CannonTowerBossUpgrades_10,10,0,bld_cannon_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,1,47233,1.5,0.5,1000,prj_Cannon_level04,hpReduction:hpReduction22,6517,6550,0,0,0,,,,experience:912,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,3,,,520,
