identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
CannonTowerUpgrades_1,1,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,,3000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,100,200,0,0,0,,,,experience:20,,prj_cannon_special,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_01,Heavy Explosives,Break All Shield Spells,0,,,100,
CannonTowerUpgrades_2,2,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,2,2000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,80,250,0,0,0,,,,experience:240,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,200,
CannonTowerUpgrades_3,3,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,3,2670,0.7,1,60,prj_cannon,hpReduction:hpReduction22,80,300,0,0,0,,,,experience:600,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,300,
CannonTowerUpgrades_4,4,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,4,3000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,500,500,0,0,0,,,,experience:1200,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,,,400,
CannonTowerUpgrades_5,5,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,5,6000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,400,0,0,0,,,,experience:1400,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,,,500,
CannonTowerUpgrades_6,6,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,6,3000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,350,450,0,0,0,,,,experience:1600,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,0,,,600,
CannonTowerUpgrades_7,7,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,7,4500,0.7,1,60,prj_cannon,hpReduction:hpReduction22,150,300,0,0,0,,,,experience:2000,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,700,
CannonTowerUpgrades_8,8,0,bld_cannon_level05-5.lvl,stru_tower_lobLocators.lvl,food:0,3,,8,3000,0.7,1,60,prj_cannon,hpReduction:hpReduction22,500,500,0,0,0,,,,experience:2400,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level05_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,800,
CannonTowerUpgrades_9,9,sceneFile|explosionSceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,food:0,3,,9,2400,0.7,1,60,prj_cannon,hpReduction:hpReduction22,400,600,0,0,0,,,,experience:3200,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,900,
