identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String
CannonTowerUpgrades_1,1,sceneFile,bld_cannon_level01.lvl,stru_tower_lobLocators.lvl,piercing:5,60,,1,5500,0.67,1,70,prj_cannon,hpReduction:hpReduction22,517,520,0,0,0,,,,experience:1,,prj_cannon_special,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level01_death.lvl,release_001_01,Heavy Explosives,Break All Shield Spells,0,,,8,
CannonTowerUpgrades_2,2,0,bld_cannon_level02.lvl,stru_tower_lobLocators.lvl,piercing:9,60,,1,6534,0.67,1,70,prj_Cannon_level02,hpReduction:hpReduction22,614,617,0,0,0,,,,experience:13,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level02_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,12,
CannonTowerUpgrades_3,3,0,bld_cannon_level03.lvl,stru_tower_lobLocators.lvl,piercing:46,600,,1,7854,0.67,1,70,prj_Cannon_level02,hpReduction:hpReduction22,782,786,0,0,0,,,,experience:60,,prj_cannon_special_level02,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,0,,,18,
CannonTowerUpgrades_4,4,0,bld_cannon_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:187,2400,,1,9419,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,1082,1088,0,0,0,,,,experience:140,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,32,
CannonTowerUpgrades_5,5,0,bld_cannon_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:543,9094,,1,10979,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,1498,1505,0,0,0,,,,experience:240,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,50,
CannonTowerUpgrades_6,6,0,bld_cannon_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1008,14580,,1,13072,0.67,1,70,prj_Cannon_level03,hpReduction:hpReduction22,2036,2047,0,0,0,,,,experience:405,,prj_cannon_special_level03,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level03_death.lvl,release_001_03,Heavy Explosives,Break All Shield Spells,1,,,84,
CannonTowerUpgrades_7,7,0,bld_cannon_level04.lvl,stru_tower_lobLocators.lvl,piercing:1637,23040,,7,15525,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,2766,2779,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,140,
CannonTowerUpgrades_8,8,0,bld_cannon_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:2396,28800,,7,18339,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,3742,3761,0,0,0,,,,experience:600,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,224,
CannonTowerUpgrades_9,9,0,bld_cannon_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:3938,35100,,12,21549,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,5043,5068,0,0,0,,,,experience:750,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,2,,,342,
CannonTowerUpgrades_10,10,0,bld_cannon_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:5356,41559,,17,25191,0.67,1,70,prj_Cannon_level04,hpReduction:hpReduction22,6517,6550,0,0,0,,,,experience:912,,prj_cannon_special_level04,hpReduction:hpReductionCannonSpecial|removeInvincibility:removeInvincibility|disruptSpell:disruptShields,0,showBattleText:cannonShotText,1.5,1,1,90,bld_cannon_level04_death.lvl,release_001_02,Heavy Explosives,Break All Shield Spells,3,,,520,
