identifier,particleEffectIdentifier,scaleStr,rotationDegreesPerSecondStr,rotationAxisStr,initialRotationStr,timeScaleStr,boundingMinimumStr,boundingMaximumStr,positionOffsetStr,diffuseColorStr,delay,h
String,String,String,String,String,String,String,String,String,String,String,Float,String
cpxptl_redPentagram,ptl_redPentagram,30,,,,,,,,,,
cpxptl_bluePentagram,ptl_bluePentagram,30,,,,,,,,,,
cpxptl_blueMageBeam,ptl_blueMageBeam,10,,,,,-5~-5~0,5~5~90.974,,,,
cpx_ptl_ballistaSuper,ptl_ballistaSuper,4.5,,,-90~0~0,,,,,,,
cpx_ptl_cannonSuper,ptl_cannonSuper,1,,,,,,,0~0~20,,,
cpx_ptl_archerSuper,ptl_archerSuper,1,,,,,,,,,,
cpx_ptl_stormTower_beam,ptl_stormTower_beam,2.4~10~2.4,360,0~0~1,90~0~0,,-5~-5~0,5~5~90.974,,,,
cpx_ptl_stormSpiral,ptl_stormSpiral,5,,,90~0~0,,,,0~0~-27,,,
cpx_ptl_onHit_lifeSteal,ptl_onHit_lifeSteal,1,,,,,,,,,,
cpx_ptl_trebuchetSuper,ptl_trebuchetSuper,2,,,,,,,,,,
cpx_ptl_lightningTowerIdle,ptl_lightningTowerIdle,10,,,,,,,,,,
cpx_ptl_dragonAI_shout,ptl_dragonAI_shout,15,,,,,,,,,,
cpx_ptl_dragonAI_portal,ptl_dragonAI_portal,10,,,90~0~0,,,,,,1.25,
cpx_ptl_flameTurret_beam,ptl_flameTurret,1,,,,,-5~-5~0,5~5~120,,,,
cpx_ptl_iceTurret_beam,ptl_iceTurret,1,,,,,-5~-5~0,5~5~120,,,,
cpx_ptl_stormSuper_initiate,ptl_stormSuper_initiate,5,,,,,,,,,,
cpx_ptl_iceShield_initiate,ptl_iceShield_initiate,5,,,,,,,,,,
cpx_ptl_archerSuper_shortCircuited,ptl_archerSuper_shortCircuited,1,,,,,,,,,,
cpx_guild_flames,ptl_torch_01,3,,,,,,,,,,
cpx_rubyGlow,rubyGlow,1,,,,,,,,,,
cpx_ptl_cannonSuperNDEBoss,ptl_cannonSuperNDEBoss,1,,,,,,,,,,
cpx_ptl_archerNDEBossSuper,ptl_archerSuperNDEBoss,1,,,,,,,,,,!@#lfebeeinfgcncofl
