key,value,localizedValue,h
String,String,LocalizedString,String
maxArmorBoost,30,,
maxAttackBoost,30,,
maxHPBoost,30,,
expediteForFreeTime,60,,
boostRegionConsumables,increaseBuildingAttack1|increaseBuildingHP1,,
purchaseConsumablesAmount,10|20|50,,
purchaseConsumablesDiscountAmount,0.0|0.1|0.2,,
maxBoostRegionDuration,1209600,,
boostAttackConsumableIdentifier,increaseBuildingAttack1,,
boostHPConsumableIdentifier,increaseBuildingHP1,,
boostDragonConsumables,increaseAttack1|increaseHP1,,
activateDragonBoostInfoText,,Activating dragon boosts makes your dragon stronger for the next attack,
shouldConsumeNegativeConsumable,1,,
shouldForceConsumeConsumable,0,,
eventPassiveHealIdentifier,innerFire01,,
maxNumberOfEndTimesForProductionBoost,3,,
consumableUnitName,,Boosts,
purchaseConsumablesTitle,,BUY ADDITIONAL BOOSTS!,
numberOfConsumableCraftingSlots,5,,
needMoreSlotMessage,,Unlock more slots to increase capacity,
freeMoreSlotMessage,,Collect completed forge jobs to free up slots.,
completeForgeJobToFreeSlotMessage,,Complete forge jobs to free up slots.,
notEnoughSlotTitle,,UNLOCK ADDITIONAL SLOT,
notEnoughSlotMessage,,This slot is currently locked. Unlock this slot for %@ %@ to make an additional item in the Forge?,!@#aecmpiijbbalpgli
