identifier,inBundle,craftingDuration,craftingCost,iconFilename,requiredLevel,achievementRequirement,rewards,rewardDistribution,displayName,descriptionText,craftingCategories,sortPriority,packBackgroundFilename,packLine1,packLine2,canOnlyBeBought,visible,h
String,Integer,Integer,Map<String:Integer>,String,Integer,String,Map<String:Integer>,Map<String:Integer>,LocalizedString,LocalizedString,String,Integer,String,LocalizedString,LocalizedString,Integer,Integer,String
increaseAttackConsumable1,0,21600,,,1,,increaseAttackConsumable1:1,,+30% Dragon Atk,Attacking dragon does 30% more damage per shot,dragon,77,,,,,1,
increaseHPConsumable1,0,21600,,,1,,increaseHPConsumable1:1,,+30% Dragon HP,Attacking dragons has 30% more health,dragon,76,,,,,1,
increaseBuildingAttackConsumable1,0,18000,,,1,,increaseBuildingAttackConsumable1:1,,+30% Tower Atk,Towers do 30% more damage per shot,tower,75,,,,,1,
increaseBuildingHPConsumable1,0,18000,,,1,,increaseBuildingHPConsumable1:1,,+30% Tower HP,Towers have 30% more health,tower,74,,,,,1,
healDragonConsumable,0,18000,,,2,,healDragonConsumable:1,,Heal Potion,Heal a dragon instantly and bring him into battle!,special,73,,,,,1,
spell,0,,ruby:1450,icon_pack_spell_01.png,2,,,spellPackDistribution:25,Spell Pack,NA,spell|pack,72,bg_boostDragon_magicPack.png,Spell,Boost Pack,1,1,
heal1,0,,ruby:500,icon_pack_healing_01.png,1,,healDragonConsumable:20,,Healing Pack,NA,special|pack,71,bg_boostDragon_healPack.png,Heal,Boost Pack,1,1,
attack2,0,,ruby:1450,icon_pack_dragon_boost_01.png,1,,,increaseAttackDistribution:25|increaseHPDistribution:25,Battle Pack,NA,dragon|pack,70,bg_boostDragon_smallAttack.png,Attack,Boost Pack,1,1,
expediteConsumable1,0,3600,,,2,,expediteConsumable1:1,,15 Min Speedup,Expedite timers by 15 min!,special,69,,,,,1,
expediteConsumable2,0,18000,,,2,,expediteConsumable2:1,,1 Hr Speedup,Expedite timers by 1 hour!,special,68,,,,,1,
expediteConsumable3,0,36000,,,2,,expediteConsumable3:1,,3 Hr Speedup,Expedite timers by 3 hours!,special,67,,,,,1,
expediteConsumable4,0,108000,,,4,,expediteConsumable4:1,,12 Hr Speedup,Expedite timers by 12 hours!,special,66,,,,,1,
expediteConsumable5,0,194400,,,6,,expediteConsumable5:1,,24 Hr Speedup,Expedite timers by 24 hours!,special,65,,,,,1,
expediteConsumable6,0,349200,,,7,,expediteConsumable6:1,,48 Hr Speedup,Expedite timers by 48 hours!,special,64,,,,,1,
expedite1,0,,ruby:1750,icon_pack_speed_01.png,2,,expediteConsumable4:10,,Speed Up Pack,NA,special|pack,63,bg_boostDragon_speed.png,Expedite,Boost Pack,1,1,
war1,0,,ruby:6450,icon_pack_war_01.png,2,,,increaseAttackDistribution:60|increaseHPDistribution:60|increaseBuildingAttackDistribution:60|increaseBuildingHPDistribution:60|spellPackDistribution:40,War Pack,150 Dragon Boosts +  600 Tower Boosts + 40 Spells. Go Conquer!,dragon|tower|spell|special|pack,62,bg_boostDragon_superAttack.png,War,Boost Pack,1,1,
armorConsumable,0,10800,,,2,,armorConsumable:1,,Defense Armor,Armor your towers!,special,61,,,,,1,
attackConsumable,0,10800,,,2,,attackConsumable:1,,Defense Gunpowder,Increases attack of your towers!,special,60,,,,,1,
repairConsumable,0,10800,,,2,,repairConsumable:1,,Defense Hammer,Repair your towers!,special,59,,,,,1,
attack1,0,,ruby:2750,icon_pack_dragon_boost_02.png,1,,,increaseAttackDistribution:60|increaseHPDistribution:60,Conquest Pack,NA,dragon|pack,58,bg_boostDragon_largeAttack.png,Super Attack,Boost Pack,1,1,
defense2,0,,ruby:1450,icon_pack_tower_01.png,1,,,increaseBuildingAttackDistribution:25|increaseBuildingHPDistribution:25|repairConsumableDistribution:10|attackConsumableDistribution:10|armorConsumableDistribution:10,Defense Pack,NA,special|pack,57,bg_boostDragon_smallDefense.png,Defense,Boost Pack,1,1,
defense1,0,,ruby:2750,icon_pack_tower_02.png,1,,,increaseBuildingAttackDistribution:60|increaseBuildingHPDistribution:60|repairConsumableDistribution:20|attackConsumableDistribution:20|armorConsumableDistribution:20,Stronghold Pack,NA,special|pack,56,bg_boostDragon_largeDefense.png,Super Defense,Boost Pack,1,1,
chainLightningSpellConsumable01,0,28800,,,1,,chainLightningSpellConsumable01:1,,Chain Lightning,Strikes buildings with lightning that chains randomly,spell,55,,,,,1,
