identifier,buildingType,buildingLevel,lastsOneRound,modelOffsetDescription,h
String,String,Integer,Integer,String,String
createBuilding1,decoy,1,1,,
createBuilding2,decoy,2,1,,
createBuilding3,decoy,3,1,,
createBuilding4,decoy,4,1,,
createBuilding5,decoy,5,1,,
createBuilding6,decoy,6,1,,
createBuilding7,decoy,7,1,,
createBuilding8,decoy,8,1,,
createBuilding9,decoy,9,1,,
createBuilding10,decoy,10,1,,
createBuilding11,decoy,11,1,,
createBuilding12,decoy,12,1,,
createBuilding13,decoy,13,1,,
createBuilding14,decoy,14,1,,
createBuilding15,decoy,15,1,,
createBuilding16,decoy,16,1,,
createBuilding17,decoy,17,1,,
createBuilding18,decoy,18,1,,
createBuilding19,decoy,19,1,,
createBuilding20,decoy,20,1,,
createBuilding21,decoy,21,1,,
createBuilding22,decoy,22,1,,
createBuilding23,decoy,23,1,,
createBuilding24,decoy,24,1,,
createBuilding25,decoy,25,1,,!@#bpocccddoodblknm
