identifier,values,h
String,String,String
E18Q1GoofyDragon,T3C3SUdragon+T3C1HEdragon,
T10C3HEdragon,T11C3WEdragon+T11C3HFdragon|T10C4SEdragon+T10C3HFdragon|T10C4WDdragon+T10C4SEdragon|T11C3WFdragon+T11C3WEdragon|T11C3WEdragon+T11C3HWdragon|T11C3HWdragon+T11C3HFdragon|T11C3SDdragon+T11C3HFdragon|T9C4SEdragon+T9C3WDdragon|T10C4HEdragon+T10C3WFdragon|T10C4SEdragon+T10C3SIdragon|T10C4WDdragon+T10C3WFdragon,
T10C3HFdragon,T10C4SEdragon+T10C3WWdragon|T11C3SIdragon+T11C3SDdragon|T10C4SEdragon+T10C3HEdragon|T9C4HIdragon+T9C3SFdragon|T10C4HEdragon+T10C3WFdragon,
T10C3SIdragon,T10C4SEdragon+T10C4HEdragon|T11C3WFdragon+T11C3SIdragon|T11C3WEdragon+T11C3SDdragon|T10C4WDdragon+T10C3WFdragon|T11C3WEdragon+T11C3SIdragon|T9C4WWdragon+T9C3HIdragon,
T10C3SWdragon,T10C4WDdragon+T10C4HEdragon|T11C3SDdragon+T11C3HWdragon|T10C4HEdragon+T10C3WFdragon|T10C4WDdragon+T10C3HFdragon|T10C4SEdragon+T10C3SIdragon|T9C4SEdragon+T9C3HEdragon|T10C4HEdragon+T10C3HEdragon|T10C4WDdragon+T10C3WFdragon,
T10C3WFdragon,T10C4SEdragon+T10C3SWdragon|T10C4HEdragon+T10C3WWdragon|T10C4HEdragon+T10C3HEdragon|T11C3WEdragon+T11C3SIdragon|T11C3HWdragon+T11C3HFdragon|T9C4WWdragon+T9C3WIdragon,
T10C3WWdragon,T11C3WFdragon+T11C3HFdragon|T10C4HEdragon+T10C3SWdragon|T11C3WFdragon+T11C3SDdragon|T11C3SDdragon+T11C3HFdragon|T11C3SIdragon+T11C3HFdragon|T10C4SEdragon+T10C3SIdragon|T9C4HIdragon+T9C3SDdragon,
T10C4HEdragon,T11C3WFdragon+T11C3HWdragon|T11C4SFdragon+T11C3HFdragon|T11C4SFdragon+T11C3HWdragon|T10C3HFdragon+T10C3HEdragon|T10C4WDdragon+T10C3HFdragon,
T10C4SEdragon,T11C3SIdragon+T11C3HWdragon|T11C4WWdragon+T11C3HWdragon|T10C3SWdragon+T10C3SIdragon,
T10C4WDdragon,T11C4HDdragon+T11C3SDdragon|T10C3WWdragon+T10C3WFdragon|T11C3SIdragon+T11C3HFdragon|T11C3WEdragon+T11C3SDdragon,
