identifier,ruby,targetType,h
String,Integer,String,String
foodConsumable0a,15,food,
foodConsumable0b,25,food,
foodConsumable0c,60,food,
foodConsumable1,100,food,
foodConsumable2,500,food,
foodConsumable3,1500,food,
lumberConsumable0a,15,piercing,
lumberConsumable0b,25,piercing,
lumberConsumable0c,60,piercing,
lumberConsumable1,100,piercing,
lumberConsumable2,500,piercing,
lumberConsumable3,1500,piercing,
xpPotionConsumable0a,20,xpPotion,
xpPotionConsumable0b,40,xpPotion,
xpPotionConsumable0c,90,xpPotion,
xpPotionConsumable1,50,xpPotion,
xpPotionConsumable2,100,xpPotion,
xpPotionConsumable3,250,xpPotion,
xpPotionConsumable4,500,xpPotion,
xpPotionConsumable5,1500,xpPotion,!@#jbhghodleehgjdjn
