identifier,possibleOutcomeDistribution,h
String,String,String
deck0001,T1C1SEdragon:2|T1C1WFdragon:2,
deck0002,T1C1HIdragon:1|T1C1WFdragon:1|T1C2HEdragon:1|T1C2WIdragon:1,
deck0003,T1C1WFdragon:17|T1C2SFdragon:6|T1C2WIdragon:17,
deck0004,T1C1WFdragon:32|T1C2HEdragon:8,
deck0005,T1C1WFdragon:3|T1C2SFdragon:1,
deck0006,T1C1WFdragon:32|T1C3WEdragon:4|T2C1WEdragon:4,
deck0007,T1C1WFdragon:34|T1C3HFdragon:6,
deck0008,T1C1WFdragon:12|T1C2SFdragon:5|T1C2WIdragon:12|T1C3SIdragon:8|T2C1SFdragon:4,
deck0009,T1C1HIdragon:10|T1C1WFdragon:10|T1C2WIdragon:10|T1C3HFdragon:6|T2C1HIdragon:4,
deck0010,T1C1WFdragon:32|T1C3WEdragon:4|T2C1WEdragon:4,
deck0011,T1C1WFdragon:26|T1C2SFdragon:10|T2C1SFdragon:4,
deck0012,T1C1WFdragon:30|T1C3HFdragon:6|T2C1HUdragon:4,
deck0013,T1C2WIdragon:36|T2C2WIdragon:4,
deck0014,T1C2SFdragon:32|T2C1SFdragon:4|T2C2SUdragon:4,
deck0015,T1C3HFdragon:20|T1C2HEdragon:8|T1C3WEdragon:4|T2C1WEdragon:4|T2C2HEdragon:4,
deck0016,T1C2SFdragon:28|T1C3WEdragon:4|T2C1SFdragon:4|T2C1WEdragon:4,
deck0017,T1C3HFdragon:4,
deck0018,T1C2SFdragon:36|T2C1SFdragon:4,
deck0019,T1C2WIdragon:26|T1C3HFdragon:6|T2C1HIdragon:4|T2C2WIdragon:4,
deck0020,T1C3WEdragon:36|T2C1WEdragon:4,
deck0021,T1C3WEdragon:32|T2C1WEdragon:4|T2C3WEdragon:4,
deck0022,T2C1SFdragon:36|T2C3SFdragon:4,
deck0023,T1C3HFdragon:24|T2C1HIdragon:4|T2C3HFdragon:4|T2C2WIdragon:4|T2C3HIdragon:4,
deck0024,T2C3WUdragon:4,
deck0025,T1C3SIdragon:28|T2C1SFdragon:4|T2C2WIdragon:4|T2C3SFdragon:4,
deck0026,T1C3HFdragon:20|T1C3WEdragon:4|T2C1WEdragon:4|T2C3HFdragon:4|T2C2HEdragon:4|T2C3WEdragon:4,
deck0027,T1C3WEdragon:20|T2C1SFdragon:4|T2C1WEdragon:4|T2C3SEdragon:4|T2C3SFdragon:4|T2C3WEdragon:4,
deck0028,T1C3HFdragon:28|T2C3HFdragon:4|T2C1HUdragon:4|T2C3WUdragon:4,
deck0029,T2C1SFdragon:21|T2C2SUdragon:4|T2C3SFdragon:4|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3,
deck0030,T2C3HFdragon:4,
deck0031,T2C2WIdragon:4,
deck0032,T2C1HIdragon:24|T2C3HFdragon:4|T2C2WIdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck0033,T2C1SFdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0034,T2C1HIdragon:24|T2C3HFdragon:4|T2C2WIdragon:4|T2C3HIdragon:4|T3C1HIdragon:4,
deck0035,T2C3WUdragon:37|T3C1WUdragon:3,
deck0036,T2C1SFdragon:32|T2C3SFdragon:4|T3C1SFdragon:4,
deck0037,T2C1WEdragon:24|T2C3HFdragon:4|T2C2HEdragon:4|T2C3WEdragon:4|T3C1WEdragon:2|T3C1HEdragon:2,
deck0038,T2C3HFdragon:4,
deck0039,T2C2WIdragon:38|T3C2WFdragon:2,
deck0040,T2C3SEdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C2SEdragon:3|T3C1WEdragon:2|T3C2WFdragon:2,
deck0041,T2C3HFdragon:29|T2C3WUdragon:4|T3C1WUdragon:3|T3C2HUdragon:2|T3C2WFdragon:2,
deck0042,T3C2WFdragon:4,
deck0043,T2C2WIdragon:28|T2C3SFdragon:4|T3C1SFdragon:4|T3C1SIdragon:2|T3C2WFdragon:2,
deck0044,T3C2WFdragon:4,
deck0045,T2C3HFdragon:38|T3C2WFdragon:2,
deck0046,T2C2SUdragon:23|T2C3SFdragon:4|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3|T3C2WFdragon:2,
deck0047,T2C3WEdragon:36|T3C1WEdragon:2|T3C2WFdragon:2,
deck0048,T2C3WUdragon:35|T3C1WUdragon:3|T3C2WFdragon:2,
deck0049,T2C3HFdragon:27|T2C3WEdragon:4|T3C3HFdragon:3|T3C1WEdragon:2|T3C1HEdragon:2|T3C2WFdragon:2,
deck0050,T3C2WFdragon:4,
deck0051,T2C3SFdragon:34|T3C1SFdragon:4|T3C2WFdragon:2,
deck0052,T2C3HIdragon:27|T3C1HIdragon:4|T3C3HFdragon:3|T3C3WIdragon:3|T3C3HIdragon:2|T3C2WFdragon:2,
deck0053,T2C3SEdragon:25|T2C3SFdragon:4|T3C1SFdragon:4|T3C2SEdragon:3|T3C1WEdragon:2|T3C2WFdragon:2,
deck0054,T2C3HFdragon:35|T3C3HFdragon:3|T3C2WFdragon:2,
deck0055,T3C3WIdragon:38|T3C2WFdragon:2,
deck0056,T2C3SFdragon:26|T2C3WUdragon:4|T3C1SFdragon:4|T3C1WUdragon:3|T3C2WFdragon:2|T3C3SUdragon:2,
deck0057,T3C3HFdragon:34|T3C2WFdragon:2|T4C1HFdragon:4,
deck0058,T3C2WFdragon:4,
deck0059,T3C1SFdragon:32|T3C2WFdragon:2|T4C1SDdragon:3|T4C1SFdragon:4,
deck0060,T3C1WUdragon:25|T3C3HFdragon:3|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C1WUdragon:5,
deck0061,T3C1WEdragon:38|T3C2WFdragon:2,
deck0062,T3C1SFdragon:29|T3C3WIdragon:3|T3C1SIdragon:2|T3C2WFdragon:2|T4C1SFdragon:4,
deck0063,T3C1SFdragon:29|T3C3WIdragon:3|T3C1SIdragon:2|T3C2WFdragon:2|T4C1SFdragon:4,
deck0064,T3C2WFdragon:4,
deck0065,T3C3HFdragon:26|T3C1WEdragon:2|T3C1HEdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C1HEdragon:4,
deck0066,T3C2WFdragon:4,
deck0067,T3C3WIdragon:38|T3C2WFdragon:2,
deck0068,T3C1SFdragon:34|T3C2WFdragon:2|T4C1SFdragon:4,
deck0069,T3C3HFdragon:24|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C2HUdragon:4|T4C1WUdragon:5,
deck0070,T3C3HFdragon:28|T3C3WIdragon:3|T3C3HIdragon:2|T4C1HFdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck0071,T3C3HFdragon:24|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C2HUdragon:4|T4C1WUdragon:5,
deck0072,T3C2WFdragon:4,
