identifier,inBundle,nodePrefix,baseFileNames,destructedFileNames,isBatched,isTargetable,targetPriority,attackBattleRewardDistributionIdentifier,isIndestructible,isShadowMapped,destroySound,isShownOnLowEnd,isDestructibleOnLowEnd,colonyIdentifier,h
String,Integer,String,Array<String>,Array<String>,Integer,Integer,Integer,String,Integer,Integer,String,Integer,Integer,String,String
hut,0,loc_hut_,prop_deco_hut.lvl,prop_deco_hut_anim_death.lvl,1,0,20,,,1,hut_destroyed,1,0,level03,
woodenBridge,0,loc_woodenBridge_,woodenBridge_01.lvl,destructibleWoodenBridge_01.lvl,0,0,20,bridgeDistribution,,0,bridge_destroyed,1,0,level03,
stoneBridgeA,0,loc_stoneBridgeA_,stoneBridgeA_01.lvl,destructibleStoneBridgeA_01.lvl,0,1,20,bridgeDistribution,,0,bridge_destroyed,1,0,level03,
stairs,0,loc_stairs_,stairs_01.lvl,destructibleStairs_01.lvl,0,0,20,bridgeDistribution,,0,,1,0,level03,
archedGate,0,loc_archedGate_,archedGate_01.lvl,destructible_ArchedGate_01.lvl,0,1,20,hutDistribution,,0,,0,0,level03,
loc_tallBridge,0,loc_largeBridge_,largeBridge_01.lvl,destructibleLargeBridge_01.lvl,0,1,20,bridgeDistribution,,0,bridge_destroyed,0,0,level03,
docks,0,loc_dock_,ter_level03_dock.lvl,destructibleDock_01.lvl,1,0,20,hutDistribution,,0,,0,0,level03,
DITM_island04_broken,1,loc_DITM_island04_broken_,DITM_island04_broken_01.lvl,destructibleDITM_island04_broken_01.lvl,0,1,20,monumentDistribution,,0,,0,0,level03,
shipsLarge,0,loc_boat_large,boat01.lvl,boat_death_01.lvl,1,1,20,shipDistribution,,0,boat_destroyed,0,1,level03,
ships,0,loc_boat_small,boat02.lvl,boat_death_02.lvl,1,1,20,shipDistribution,,0,boat_destroyed,0,1,level03,
hut_rubble,0,loc_hut_,prop_deco_hut_rubble.lvl,,1,,,,1,1,hut_destroyed,0,0,level03,
tallBridge,1,loc_tallBridge,bridge_01.lvl,bridge_death_01.lvl,0,1,20,bridgeDistribution,,0,bridge_destroyed,1,0,level03,
largeHut,0,loc_hutLarge_,prop_deco_hutLarge.lvl,prop_deco_hut_anim_death.lvl,1,0,20,,,1,hut_destroyed,1,0,level03,
raisedHut,0,loc_hutRaised_,prop_deco_hutRaised.lvl,prop_deco_hut_anim_death.lvl,1,0,20,,,1,hut_destroyed,1,0,level03,
smallHut,0,loc_hutSmall_,prop_deco_hutSmall.lvl,prop_deco_hut_anim_death.lvl,1,0,20,,,1,hut_destroyed,1,0,level03,
windmill,0,loc_windmill_,prop_deco_windMill.lvl,prop_deco_windMill_anim_death.lvl,1,0,20,hutDistribution,,0,hut_destroyed,0,1,level03,
flag01,0,loc_flag01_,flag_01.lvl,,1,0,,,1,0,,0,0,level03,
flag02,0,loc_flag02_,flag_02.lvl,,1,0,,,1,0,,0,0,level03,
shipsWorldMap,0,loc_ship_ambient,prop_oceanLevelBoat.lvl,prop_oceanLevelBoat_death.lvl,1,1,20,shipDistribution,,0,boat_destroyed,0,1,level09,
shipsWorldMap_friendly,0,loc_ship_ambient_friendly,prop_oceanLevelBoat_friendly.lvl,prop_oceanLevelBoat_death.lvl,1,0,20,shipDistribution,1,0,boat_destroyed,0,0,level09,
wm_bridge,0,loc_wm_bridge,prop_wm_bridge.lvl,prop_wm_bridge_death.lvl,0,1,20,monumentDistribution,,1,bridge_destroyed,1,1,level09,
