identifier,priority,deviceDescription,maptype,data,type,defines,useAndroidSystemTextRenderer,useSameProcessWebView,h
String,Integer,String,String,String,String,Array<String>,Integer,Integer,String
PowerVR,0,PowerVR,gpu,.*PowerVR.*,poor,NO_DERIVATIVES,1,1,
2008,1,Class of 2008,year,2008,poor,,1,1,
2009,1,Class of 2009,year,2009,poor,,1,1,
2010,1,Class of 2010,year,2010,poor,,1,1,
2011,1,Class of 2011,year,2011,poor,,1,1,
2012,1,Class of 2012,year,2012,low,,1,1,
2013,1,Class of 2013,year,2013,medium,,1,1,
2014,1,Class of 2014,year,2014,high,,1,1,
2015,1,Class of 2015,year,2015,high,,1,1,
Adreno320,2,Adreno 320,gpu,Adreno.*320,low,,1,1,
Adreno330,2,Adreno 330,gpu,Adreno.*330,medium,,1,1,
Adreno420,2,Adreno 420,gpu,Adreno.*420,medium,,1,1,
nexus5,3,Nexus 5,device,LGE NEXUS 5; hammerhead,low,,1,1,
nexus9,3,Nexus 9,device,HTC NEXUS 9; flounder,low,,1,1,
nexus5X,3,Nexus 5X,device,LGE NEXUS 5X; bullhead,low,,1,1,
nexus6P,3,Nexus 6P,device,HUAWEI NEXUS 6P; angler,high,,1,1,
sonyD6603,3,SONY D6603; D6603,device,SONY D6603; D6603,low,,1,1,
sonyD6653,3,SONY D6653; D6653,device,SONY D6653; D6653,low,,1,1,
LG-VS985,3,LSE VS985 4G; g3,device,LSE VS985 4G; g3,medium,,1,1,
LG-H815,3,LGE LG-H815; p1,device,LGE LG-H815; p1,high,,1,1,
nexus10,3,Nexus 10,device,SAMSUNG NEXUS 10; manta,low,,1,1,
LGE AS985,3,LG G3,device,LGE AS985; g3,medium,,1,1,
LGE LG-AS990,3,LG G3,device,LGE LG-AS990; g3,medium,,1,1,
LGE LG-D850,3,LG G3,device,LGE LG-D850; g3,medium,,1,1,
LGE LG-D851,3,LG G3,device,LGE LG-D851; g3,medium,,1,1,
LGE LG-D852,3,LG G3,device,LGE LG-D852; g3,medium,,1,1,
LGE LG-D852G,3,LG G3,device,LGE LG-D852G; g3,medium,,1,1,
LGE LG-D855,3,LG G3,device,LGE LG-D855; g3,low,,1,1,
LGE LG-D856,3,LG G3,device,LGE LG-D856; g3,medium,,1,1,
LGE LG-D858HK,3,LG G3,device,LGE LG-D858HK; g3,medium,,1,1,
LGE LG-F400K,3,LG G3,device,LGE LG-F400K; g3,medium,,1,1,
Samsung Galaxy S4 I9500,3,Samsung Galaxy S4,device,SAMSUNG GT-I9500; ja3g,poor,,1,1,
Samsung Galaxy S4 I9505,3,Samsung Galaxy S4,device,SAMSUNG GT-I9505; jflte,poor,,1,1,
Samsung Galaxy Note 3,3,Samsung Galaxy Note 3,device,Samsung SM-N9005; hlte,low,,1,1,
Samsung Galaxy Note Edge,3,Samsung Galaxy Note Edge,device,SAMSUNG SM-N915FY; tblte,poor,,1,1,
Docomo F-02G,3,Docomo F-02G,device,FUJITSU F-02G; F-02G,low,,1,1,
HTC One M9,3,HTC One M9,device,HTC HTC ONE M9; htc_himauhl,low,,1,1,
Samsung Galaxy Tab 4,3,Samsung Galaxy Tab 4,device,SAMSUNG SM-T533; matissevewifi,poor,,1,1,
Samsung Galaxy S V,3,Samsung Galaxy S V,device,SAMSUNG SM-G900F;klte,poor,,1,1,
Docomo SH-05G,3,Docomo SH-05G,device,SHARP SH-05G;SH-05G,low,,1,1,
Docomo SH-03G,3,Docomo SH-03G,device,SHARP SH-03G;SH-03G,low,,1,1,
Sony Xperia Z5,3,Sony Xperia Z5,device,SONY E6653; E6653,medium,,1,1,!@#ehnlohnkfhffcdak
