identifier,priority,deviceDescription,maptype,data,type,defines,useAndroidSystemTextRenderer,useSameProcessWebView,h
String,Integer,String,String,String,String,Array<String>,Integer,Integer,String
"iPhone1,1",1,iPhone 2G,device,"iPhone1,1",poor,,0,0,
"iPhone1,2",1,iPhone 3G,device,"iPhone1,2",poor,,0,0,
"iPhone2,1",1,iPhone 3GS,device,"iPhone2,1",poor,,0,0,
"iPhone3,1",1,iPhone 4 (GSM),device,"iPhone3,1",poor,,0,0,
"iPhone3,2",1,iPhone 4 (GSM Rev A),device,"iPhone3,2",poor,,0,0,
"iPhone3,3",1,iPhone 4 (CDMA),device,"iPhone3,3",poor,,0,0,
"iPhone4,1",1,iPhone 4S,device,"iPhone4,1",low,,0,0,
"iPhone5,1",1,iPhone 5 (GSM),device,"iPhone5,1",low,,0,0,
"iPhone5,2",1,iPhone 5 (GSM + CDMA),device,"iPhone5,2",low,,0,0,
"iPhone5,3",1,iPhone 5c (GSM),device,"iPhone5,3",poor,,0,0,
"iPhone5,4",1,iPhone 5c (Global),device,"iPhone5,4",poor,,0,0,
"iPhone6,1",1,iPhone 5s (GSM),device,"iPhone6,1",low,,0,0,
"iPhone6,2",1,iPhone 5s (Global),device,"iPhone6,2",low,,0,0,
"iPhone7,1",1,iPhone 6 Plus,device,"iPhone7,1",medium,,0,0,
"iPhone7,2",1,iPhone 6,device,"iPhone7,2",high,,0,0,
"iPhone8,1",1,iPhone 6S,device,"iPhone8,1",high,,0,0,
"iPhone8,2",1,iPhone 6S Plus,device,"iPhone8,2",high,,0,0,
"iPhone8,4",1,iPhone SE,device,"iPhone8,4",high,,0,0,
"iPhone9,1",1,iPhone 7,device,"iPhone9,1",high,,0,0,
"iPhone9,2",1,iPhone 7 Plus,device,"iPhone9,2",high,,0,0,
"iPhone9,3",1,iPhone 7,device,"iPhone9,3",high,,0,0,
"iPhone9,4",1,iPhone 7 Plus,device,"iPhone9,4",high,,0,0,
"iPhone10,4",1,iPhone 8,device,"iPhone10,4",high,,0,0,
"iPhone10,5",1,iPhone 8 Plus,device,"iPhone10,5",high,,0,0,
