identifier,priority,gameProperty,glRendererRegex,hardwareModelRegex,min_memScore1,max_memScore1,min_isIpad,max_isIpad,min_deviceQuality,max_deviceQuality,value,h
String,Integer,String,String,String,String,String,String,String,String,String,Float,String
01_low,1,levelOfDetail,*,*,*,*,*,*,2,2,2,
01_med,2,levelOfDetail,*,*,*,*,*,*,3,3,1,
01_hig,3,levelOfDetail,*,*,*,*,*,*,4,4,1,
01_xxx,4,levelOfDetail,*,*,*,*,*,*,*,*,2,
02_low,1,maxDragonsFlyingAroundStable,*,*,*,*,*,*,2,2,1,
02_med,2,maxDragonsFlyingAroundStable,*,*,*,*,*,*,3,3,1,
02_hig,3,maxDragonsFlyingAroundStable,*,*,*,*,*,*,4,4,1,
02_xxx,4,maxDragonsFlyingAroundStable,*,*,*,*,*,*,*,*,1,
03_hig,3,shadowMappingLevel,*,*,*,*,*,*,4,4,0,
03_xxx,4,shadowMappingLevel,*,*,*,*,*,*,*,*,0,
04_low,1,textureLoadingLevel,*,*,*,*,*,*,2,2,100,
04_med,2,textureLoadingLevel,*,*,*,*,*,*,3,3,100,
04_hig,3,textureLoadingLevel,*,*,*,*,*,*,4,4,100,
04_xxx,4,textureLoadingLevel,*,*,*,*,*,*,*,*,50,
05_low,1,use16bppForAllTextures,*,*,*,*,*,*,2,2,0,
05_med,2,use16bppForAllTextures,*,*,*,*,*,*,3,3,0,
05_hig,3,use16bppForAllTextures,*,*,*,*,*,*,4,4,0,
05_xxx,4,use16bppForAllTextures,*,*,*,*,*,*,*,*,1,
06_low,1,use16bppForCC3Textures,*,*,*,*,*,*,2,2,1,
06_med,2,use16bppForCC3Textures,*,*,*,*,*,*,3,3,0,
06_hig,3,use16bppForCC3Textures,*,*,*,*,*,*,4,4,0,
06_xxx,4,use16bppForCC3Textures,*,*,*,*,*,*,*,*,0,
08_low,1,useBuildingDirtPatch,*,*,*,*,*,*,2,2,0,
08_med,2,useBuildingDirtPatch,*,*,*,*,*,*,3,3,1,
08_hig,3,useBuildingDirtPatch,*,*,*,*,*,*,4,4,1,
08_xxx,4,useBuildingDirtPatch,*,*,*,*,*,*,*,*,0,
09_low,1,maxAnimatingBuildings,*,*,*,*,*,*,2,2,3,
09_med,2,maxAnimatingBuildings,*,*,*,*,*,*,3,3,7,
09_hig,3,maxAnimatingBuildings,*,*,*,*,*,*,4,4,10,
09_xxx,4,maxAnimatingBuildings,*,*,*,*,*,*,*,*,3,
11_low,1,buildingsUseStaticAnimation,*,*,*,*,*,*,2,2,0,
11_med,2,buildingsUseStaticAnimation,*,*,*,*,*,*,3,3,1,
11_hig,3,buildingsUseStaticAnimation,*,*,*,*,*,*,4,4,1,
11_xxx,4,buildingsUseStaticAnimation,*,*,*,*,*,*,*,*,0,
