identifier,inBundle,displayName,defaultSceneFile,dragonClass,dragonType,defaultRarity,elementIdentifier,displayDescription,stableHint,defaultDiscoveredImage,undiscoveredImage,defaultIconFilename,iconFilenameLocked,upgradeCSVFileName,fidgets,unlockAchievement,attackStartVal,sellBasePrice,unavailableSpellTypes,showcaseNodeLocation,isAttainable,sortPriority,minDragonLevelForBreeding,minBreedingCaveBuildingLevelToBreed,incubatingTime,incubationAchievementRequirement,incubationBuildingLevelRequirement,defaultMaxLevel,researchMaxLevelIncrease,eggCurrencyType,eggDisplaySceneFile,defaultAttackBoostRange,defaultHPBoostRange,canSell,canUpgrade,canBeSummoned,deathPenaltyPercentage,defaultTierNumber,priorityWithinTier,showInStable,numberOfFragmentsNeeded,isShrineDragon,isGoldDragon,limitedTimeOfferDragonActiveEvent,limitedTimeOfferDragonParentsInfoFile,isEvolveDragon,canPlaceIntoPerch,isUnbreedableDragon,buffEndTime,h
String,String,LocalizedString,String,String,LocalizedString,Integer,String,LocalizedString,String,String,String,String,String,String,String,String,Integer,String,String,String,Integer,Integer,Integer,Integer,Integer,String,Integer,Integer,String,String,String,String,String,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,Integer,String,String,Integer,Integer,Integer,Integer,String
chineseDragon02,0,Ryuu,drg_chinese_level02.lvl,sorcerer,Water Dragon,0,iceElement,This dragon is untouchable.,Look for the dragon at the breeding grounds,,,dragonThumbnail_chineseSuper.png,dragonThumbnail_chineseSuper_undiscovered.png,chineseDragon02Upgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,12,5,734400,,1,30,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,0,15,0,0,0,,1,0,,,,1,,0,
redTutorialDragon,1,Draco,drg_fire_v1.lvl,warrior,Fire Dragon,0,fireElement,This dragon is untouchable.,Look for the dragon at the breeding grounds,dragon_fireV1_discovered_thumbnail.png,dragon_fire_undiscovered_thumbnail.png,dragonThumbnail_fireV1.png,dragonThumbnail_fire_undiscovered.png,RedTutorialUpgrades.csv,,level01,1000,food:100,,0~20~40,0,1,1,1,1019,,1,6,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,0,15,1,1,0,,0,0,,,,0,,0,
chineseTutorialDragon,0,Leviathan,drg_chinese_level01.lvl,sorcerer,Sky Spirit,0,windElement,This dragon causes huge destruction wherever it goes.,Look for the dragon at the breeding grounds,dragon_chinese_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chinese.png,dragonThumbnail_chinese_undiscovered.png,ChineseTutorialUpgrades.csv,,level01,1000,food:100,,0~20~40,0,1,1,1,1020,,1,16,,redEggCurrency,egg_red_V2.lvl,0-0,0-0,0,0,0,15,1,2,0,,0,0,,,,0,,0,
stoneTutorialDragon,sceneFile,Frigg,drg_drake.lvl,hunter,Sparking Wyvern,0,windElement,Faster than lightning!,Look for the dragon at the breeding grounds,dragon_drake_discovered_thumbnail.png,dragon_drake_undiscovered_thumbnail.png,dragonThumbnail_drake.png,dragonThumbnail_drake_undiscovered.png,StoneTutorialUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,1,1,1,600,,1,6,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,0,100,1,3,0,,0,0,,,,0,,0,
boneDefenseDragon,sceneFile,Bone Dragon,drg_drake.lvl,warrior,Bone Dragon,0,fireElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_skeletalInfernal_discovered_thumbnail.png,dragon_skeletal_undiscovered_thumbnail.png,dragonThumbnail_skeletalInfernal.png,dragonThumbnail_skeletal_undiscovered.png,BoneDefenseUpgrades.csv,,level01,1000,food:100,,0~20~40,0,1,1,1,1021,,1,16,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,0,15,0,0,0,,0,0,,,,0,,0,
serpentDefenseDragon,0,Ankor,drg_chineseGold_level01.lvl,sorcerer,Golden Spirit,3,fireElement,Mane like a lion. Breath like a dragon.,Look for the dragon at the breeding grounds,dragon_chineseGold_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chineseGold.png,dragonThumbnail_chinese_undiscovered.png,SerpentDefenseUpgrades.csv,,level01,1000,food:100,,0~20~70,0,1,1,1,1022,,1,16,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,0,0,15,0,0,0,,0,0,,,,0,,0,
T1C1WFdragon,1,Draco,drg_fire_v1.lvl,warrior,Fire Dragon,0,fireElement,This dragon is untouchable.,Look for the dragon at the breeding grounds,dragon_fireV1_discovered_thumbnail.png,dragon_fire_undiscovered_thumbnail.png,dragonThumbnail_fireV1.png,dragonThumbnail_fire_undiscovered.png,T1C1WFdragonUpgrades.csv,,level01,1000,food:100,,0~20~40,1,1,1,1,60,,1,10,,redEggCurrency,egg_red_V1.lvl,0-0,0-0,0,1,0,15,1,1,1,,0,0,,,,1,,0,
T1C1SEdragon,0,Leviathan,drg_chinese_level01.lvl,sorcerer,Sky Spirit,0,windElement,This dragon causes huge destruction wherever it goes.,Look for the dragon at the breeding grounds,dragon_chinese_discovered_thumbnail.png,dragon_chinese_undiscovered_thumbnail.png,dragonThumbnail_chinese.png,dragonThumbnail_chinese_undiscovered.png,T1C1SEdragonUpgrades.csv,,level01,1000,food:100,,0~20~40,1,5,4,1,2700,,1,10,,redEggCurrency,egg_red_V2.lvl,0-0,0-0,0,1,0,15,1,3,1,,0,0,,,,1,,0,
T1C1HIdragon,1,Frigg,drg_drake.lvl,hunter,Sparking Wyvern,0,windElement,Faster than lightning!,Look for the dragon at the breeding grounds,dragon_drake_discovered_thumbnail.png,dragon_drake_undiscovered_thumbnail.png,dragonThumbnail_drake.png,dragonThumbnail_drake_undiscovered.png,T1C1HIdragonUpgrades.csv,,level01,1000,food:100,,0~20~40,1,2,1,1,60,,1,10,,redEggCurrency,egg_red_V3.lvl,0-0,0-0,0,1,0,15,1,2,1,,0,0,,,,1,,0,
