identifier,displayName,location,fragments,defaultMaxAmountOwned,priority,compatibleDragons,sceneFile,iconFile,undiscoveredIconFile,flavorText,canBeObtained,h
String,LocalizedString,LocalizedString,Integer,Integer,Integer,String,String,String,String,LocalizedString,Integer,String
ebony_mask_H_armor,Hunter's Ebony Mask,helm,1,,9,T5C3HUdragon|T4C2HUdragon|T6C3HIdragon|T6C3HUdragon|OrmarrLTODragon,ar_ebony_classB_neckSet.lvl,icon_ar_ebony_classB_helm.png,icon_ar_ebony_classB_helm_locked.png,"Ebony mask with a golden trim, fitted for certain Hunter dragons.",1,
ebony_body_H_armor,Hunter's Ebony Plate,body,1,,10,T5C3HUdragon|T4C2HUdragon|T6C3HUdragon|OrmarrLTODragon,ar_ebony_classB_legSet.lvl,icon_ar_ebony_classB_body.png,icon_ar_ebony_classB_body_locked.png,"Ebony armor with a golden trim, fitted for select Hunter dragons.",1,
ebony_tail_H_armor,Hunter's Ebony Harness,tail,1,,11,T5C3HUdragon|T4C2HUdragon,ar_ebony_classB_tailSet.lvl,icon_ar_ebony_classB_tail.png,icon_ar_ebony_classB_tail_locked.png,"Exclusive ebony harness with a golden trim, fitted for Ettin and Lucius.",1,
ebony_mask_W_armor,Warrior's Ebony Mask,helm,1,,12,T5C3WEdragon|T6C1WIdragon|kothDragon|yaziDragon,ar_ebony_classC_neckSet.lvl,icon_ar_ebony_classC_helm.png,icon_ar_ebony_classC_helm_locked.png,"Ebony mask with a golden trim, fitted for select Warrior dragons.",1,
ebony_body_W_armor,Warrior's Ebony Plate,body,1,,13,T5C3WEdragon|T6C1WIdragon|kothDragon|yaziDragon,ar_ebony_classC_legSet.lvl,icon_ar_ebony_classC_body.png,icon_ar_ebony_classC_body_locked.png,"Ebony armor with a golden trim, fitted for select Warrior dragons.",1,
ebony_tail_W_armor,Warrior's Ebony Harness,tail,1,,14,T5C3WEdragon|T6C1WIdragon,ar_ebony_classC_tailSet.lvl,icon_ar_ebony_classC_tail.png,icon_ar_ebony_classC_tail_locked.png,"Exclusive ebony harness with a golden trim, fitted for Hugin and Lumen.",1,
iron_mask_B_armor,Brute's Iron Mask,helm,1,,23,T6C3WFdragon,ar_iron_classA_neckSet.lvl,icon_ar_iron_generic_helm.png,icon_ar_iron_generic_helm_locked.png,"Classic iron helmet, fitted specifically for Khrysos.",1,
iron_body_B_armor,Brute's Iron Plate,body,1,,24,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_legSet.lvl,icon_ar_iron_generic_body.png,icon_ar_iron_generic_body_locked.png,"Classic iron battle armor, fitted for a select few brutish Warriors.",1,
iron_tail_B_armor,Brute's Iron Harness,tail,1,,25,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_tailSet.lvl,icon_ar_iron_generic_tail.png,icon_ar_iron_generic_tail_locked.png,"Classic iron battle harness, fitted for a select few brutish Warriors.",1,
iron_pauldron_B_armor,Brute's Iron Pauldron,wing,1,,26,T6C3WFdragon|T6C1WFdragon|bixiDragon,ar_iron_classA_wingSet.lvl,icon_ar_iron_generic_wing.png,icon_ar_iron_generic_wing_locked.png,"Classic iron wing pauldron, fitted for a select few brutish Warriors.",1,
iron_mask_H_armor,Hunter's Iron Mask,helm,1,,19,T5C1HIdragon|T6C3HIdragon,ar_iron_classB_neckSet.lvl,icon_ar_iron_classB_helm.png,icon_ar_iron_classB_helm_locked.png,"Classic iron helmet, fitted specifically for Whalegnawer and Garzev.",1,
iron_body_H_armor,Hunter's Iron Plate,body,1,,20,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_legSet.lvl,icon_ar_iron_classB_body.png,icon_ar_iron_classB_body_locked.png,"Classic iron battle armor, fitted for certain Hunters.",1,
iron_tail_H_armor,Hunter's Iron Harness,tail,1,,21,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_tailSet.lvl,icon_ar_iron_classB_tail.png,icon_ar_iron_classB_tail_locked.png,"Classic iron battle harness, fitted for certain Hunters.",1,
iron_pauldron_H_armor,Hunter's Iron Pauldron,wing,1,,22,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_wingSet.lvl,icon_ar_iron_classB_wing.png,icon_ar_iron_classB_wing_locked.png,"Classic iron wing pauldron, fitted for certain Hunters.",1,
iron_mask_W_armor,Warrior's Iron Mask,helm,1,,15,T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_neckSet.lvl,icon_ar_iron_generic_helm.png,icon_ar_iron_generic_helm_locked.png,"Classic iron helmet, fitted for a certain set of cunning Warriors.",1,
iron_body_W_armor,Warrior's Iron Plate,body,1,,16,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_legSet.lvl,icon_ar_iron_generic_body.png,icon_ar_iron_generic_body_locked.png,"Classic iron battle armor, fitted for a certain set of cunning Warriors.",1,
iron_tail_W_armor,Warrior's Iron Harness,tail,1,,17,T1C1WFdragon|T4C3WFdragon|T1C2WIdragon|T1GGWFdragon|aprilGoldDragon,ar_iron_classC_tailSet.lvl,icon_ar_iron_generic_tail.png,icon_ar_iron_generic_tail_locked.png,"Classic iron battle harness, fitted for a certain set of cunning Warriors.",1,
iron_pauldron_W_armor,Warrior's Iron Pauldron,wing,1,,18,T1C1WFdragon|T4C3WFdragon,ar_iron_classC_wingSet.lvl,icon_ar_iron_generic_wing.png,icon_ar_iron_generic_wing_locked.png,"Classic iron wing pauldron, fitted specifically for Draco and Ruma.",1,
iron_mask_S_armor,Sorcerer's Iron Mask,helm,1,,27,seaDragon|T7C2SEdragon,ar_iron_classD_neckSet.lvl,icon_ar_iron_generic_helm.png,icon_ar_iron_generic_helm_locked.png,"Classic iron helmet, fitted specifically for Jaculus and Cryzan.",1,
iron_body_S_armor,Sorcerer's Iron Plate,body,1,,28,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_legSet.lvl,icon_ar_iron_generic_body.png,icon_ar_iron_generic_body_locked.png,"Classic iron battle armor, fitted for a chosen few Sorcerers.",1,
iron_tail_S_armor,Sorcerer's Iron Harness,tail,1,,29,seaDragon|T7C2SEdragon|mayPlatinumDragon,ar_iron_classD_tailSet.lvl,icon_ar_iron_generic_tail.png,icon_ar_iron_generic_tail_locked.png,"Classic iron battle harness, fitted for a chosen few Sorcerers.",1,
iron_pauldron_S_armor,Sorcerer's Iron Pauldron,wing,1,,30,seaDragon|T7C2SEdragon,ar_iron_classD_wingSet.lvl,icon_ar_iron_generic_wing.png,icon_ar_iron_generic_wing_locked.png,"Classic iron wing pauldron, fitted specifically for Jaculus and Cryzan.",1,
iron_mask_B_red_armor,Brute's Red Iron Mask,helm,1,,31,T6C3WFdragon,ar_iron_classA_red_neckSet.lvl,icon_ar_iron_generic_helm_red.png,icon_ar_iron_generic_helm_locked.png,"Red iron helmet, fitted specifically for Khrysos.",1,
iron_body_B_red_armor,Brute's Red Iron Plate,body,1,,32,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_red_legSet.lvl,icon_ar_iron_generic_body_red.png,icon_ar_iron_generic_body_locked.png,"Red iron battle armor, fitted for a select few brutish Warriors.",1,
iron_tail_B_red_armor,Brute's Red Iron Harness,tail,1,,33,T6C3WFdragon|T6C1WFdragon|bixiDragon|T4C3WEdragon,ar_iron_classA_red_tailSet.lvl,icon_ar_iron_generic_tail_red.png,icon_ar_iron_generic_tail_locked.png,"Red iron battle harness, fitted for a select few brutish Warriors.",1,
iron_pauldron_B_red_armor,Brute's Red Iron Pauldron,wing,1,,34,T6C3WFdragon|T6C1WFdragon|bixiDragon,ar_iron_classA_red_wingSet.lvl,icon_ar_iron_generic_wing_red.png,icon_ar_iron_generic_wing_locked.png,"Red iron wing pauldron, fitted for a select few brutish Warriors.",1,
iron_mask_H_red_armor,Hunter's Red Iron Mask,helm,1,,35,T5C1HIdragon|T6C3HIdragon,ar_iron_classB_red_neckSet.lvl,icon_ar_iron_classB_helm_red.png,icon_ar_iron_classB_helm_locked.png,"Red iron helmet, fitted specifically for Whalegnawer and Garzev.",1,
iron_body_H_red_armor,Hunter's Red Iron Plate,body,1,,36,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_red_legSet.lvl,icon_ar_iron_classB_body_red.png,icon_ar_iron_classB_body_locked.png,"Red iron battle armor, fitted for certain Hunters.",1,
iron_tail_H_red_armor,Hunter's Red Iron Harness,tail,1,,37,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_red_tailSet.lvl,icon_ar_iron_classB_tail_red.png,icon_ar_iron_classB_tail_locked.png,"Red iron battle harness, fitted for certain Hunters.",1,
iron_pauldron_H_red_armor,Hunter's Red Iron Pauldron,wing,1,,38,T4C1HFdragon|T5C1HIdragon|T6C3HIdragon|T2C1HIdragon|T3GGHEdragon,ar_iron_classB_red_wingSet.lvl,icon_ar_iron_classB_wing_red.png,icon_ar_iron_classB_wing_locked.png,"Red iron wing pauldron, fitted for certain Hunters.",1,
