key,value,h
String,String,String
upgradeExpediteCostPerHour,10,
percentageHpStartPulsating,30,
percentageAmmoTurnRed,30,
minEmptyDistanceAtWhichStartAccelerating,75,
minEmptyDistanceBeforeAreaToStartAccelerating,15,
defaultAcceleration,6.3,
teleportAcceleration,1500,
emptyPathSpeedChange,10,
flamethrowerAmmoPowerupDuration,3,
flamethrowerAmmoPowerupPercentage,60,
swipeAmmoPowerupNumberOfAttacks,1,
swipeAmmoPowerupSpeedMultiplier,3,
percentageMaxHpPoisonIndicatorSolid,5,
stableCinematics,dragonFlightPathSmall,
stableCinematicsProbabilities,1,
percentageHpShowUseSpells,15,
dragonsSalePercent,5,
incubatorHoverCinematic,dragonIncubatorHover,
dragonShowcaseScale,3.2,
statsViewOffsetForFreeCamera,80|-20,
statsViewOffsetForAttackCamera,100|125,
maxSpellRagePoints,500,
startSpellRagePoints,100,
autoAttackOffsetOnDragonPathForClosestBuildingToAttack,5,
maxDefaultSpellOnADragon,3,
minDistanceBeforeFirstBuildingToStartDragonRun,100,
invertSpellProjectileParticleEffect,invert_projectile_effect,
radialDistanceForWingFlapSoundInner,300,
radialDistanceForWingFlapSoundOuter,500,
dragonEggCost,breedingToken:20,
dragonEggGoldCost,goldBreedingToken:20,
dragonEggDistributionForUndefinedDistribution,parent:40|self:60,
dragonEggPremiumPurchaseAmount,20,
dragonEggPremiumPurchaseCost,1500,
dragonEggShowcaseLocation,0~12~25,
eggSlotIncrementAmount,2,
dragonSlotIncrementAmount,2,
healSpellGlowDuration,0.4,
eggSellExchangeCurrency,breedingToken,
eggSellExchangeAmount,2,
maxEggDecksInStorage,10,
dragonCirclingCinematicHeightOffset,-55,
showcaseTouchDelay,0.5,
defaultDragonCirclingNode,FX_attachpoint_monument00,
questMenuTitles,Limited Time Missions|Advised Mission|Dragon Guard Missions|Auxiliary Missions,
dragonHealExpediteCostMultiplier,0.75,
initialBreedingCombination,T1C1WFdragon|T1C1SEdragon,
shrineDragonColor,252~232~79,
upgradeLockedLabelText,Finish Requirements First,
seasonalBuffPercentages,50|95,!@#ccbpagiecdjkgopf
