identifier,inBundle,tierNumber,priorityWithinTier,eggCost,prerequisiteAchievements,dragonEggIdentifier,limitedTimeOfferDragonStarburstFile,h
String,Integer,Integer,Integer,String,String,String,String,String
T1C1WFdragon,0,1,1,breedingToken:15,,,,
T1C1HIdragon,0,1,2,breedingToken:10,haveT1C1WFdragon,,,
T1C2HEdragon,0,1,3,breedingToken:20,bothTutorialEnableT1C2HEdragon,,,
T1C2WIdragon,0,1,4,,bothTutorialEnableT1C2WIdragon,,,
T1C1SEdragon,0,1,5,,haveT1C2WIdragon,,,
T1C2SFdragon,0,1,6,,haveT1C2WIdragon,,,
T1C3HFdragon,0,1,7,,haveT1C2WIdragon,28,,
T1C3WEdragon,0,1,8,,haveT1C2WIdragon,26,,
T1GGWFdragon,0,1,9,ruby:450,haveT1C2WIdragon,28,,
T1C3SIdragon,0,1,10,,haveT1C2WIdragon,94,,
T2C1HIdragon,0,2,1,,haveT1C2WIdragon,97,,
T2C1SFdragon,0,2,2,,haveT1C2WIdragon,37,,
T2C1WEdragon,0,2,3,,haveT1C2WIdragon,102,,
T2C2SUdragon,0,2,4,,haveT1C2WIdragon,99,,
T2C3HFdragon,0,2,5,,haveT1C2WIdragon,506,,
T2C1HUdragon,0,2,6,,haveT1C2WIdragon,31,,
T2C3SEdragon,0,2,7,,haveT1C2WIdragon,96,,
T2C2HEdragon,0,2,8,,haveT1C2WIdragon,52,,
T2C2WIdragon,0,2,9,,haveT1C2WIdragon,55,,
T2GGSIdragon,0,2,10,ruby:2450,unlockT2GoldDragon,566,,
T2C3HIdragon,0,2,11,,haveT1C2WIdragon,123,,
T2C3SFdragon,0,2,12,,haveT1C2WIdragon,54,,
T2C3WUdragon,0,2,13,,haveT1C2WIdragon,51,,
T2C3WEdragon,0,2,14,,haveT1C2WIdragon,432,,
T3C1HIdragon,0,3,1,,haveT1C2WIdragon,60,,
T3C1SFdragon,0,3,2,,haveT1C2WIdragon,56,,
T3C1WUdragon,0,3,3,,haveT1C2WIdragon,63,,
T3C2SEdragon,0,3,4,,haveT1C2WIdragon,124,,
T3C3HFdragon,0,3,5,,haveT1C2WIdragon,518,,
T3C3WIdragon,0,3,6,,haveT1C2WIdragon,256,,
T3C1SIdragon,0,3,7,,haveT1C2WIdragon,126,,
T3C1WEdragon,0,3,8,,haveT1C2WIdragon,132,,
T3GGHEdragon,0,3,9,ruby:7450,unlockT3GoldDragon,462,,
T3C2HUdragon,0,3,10,,haveT1C2WIdragon,524,,
T3C3HIdragon,0,3,11,,haveT1C2WIdragon,1381,,
T3C1HEdragon,0,3,12,,haveT1C2WIdragon,125,,
T3C2WFdragon,0,3,13,,haveT1C2WIdragon,53,,
T3C3SUdragon,0,3,14,,haveT1C2WIdragon,585,,
T4C1HFdragon,0,4,1,,haveT1C2WIdragon,1565,,
T4C1SDdragon,0,4,2,,haveT1C2WIdragon,1201,,
T4C1HEdragon,0,4,3,,haveT1C2WIdragon,1522,,
T4C1SFdragon,0,4,4,,haveT1C2WIdragon,1334,,
T4C2HUdragon,0,4,5,,haveT1C2WIdragon,1802,,
T4C2WDdragon,0,4,6,,haveT1C2WIdragon,1834,,
T4C3WEdragon,0,4,7,,haveT1C2WIdragon,1526,,
T4C3WFdragon,0,4,8,,haveT1C2WIdragon,1842,,
T4GGSDdragon,0,4,14,ruby:17950,unlockT4GoldDragon,2356,,
T4C1HIdragon,0,4,9,,haveT1C2WIdragon,1562,,
T4C1WUdragon,0,4,10,,haveT1C2WIdragon,1607,,
T4C2SEdragon,0,4,11,,haveT1C2WIdragon,1521,,
T4C3HDdragon,0,4,12,,haveT1C2WIdragon,2305,,
T4C3SIdragon,0,4,13,,haveT1C2WIdragon,1690,,
T4C2WIdragon,0,4,15,,haveT1C2WIdragon,1523,,
T4C3SUdragon,0,4,16,,haveT1C2WIdragon,1875,,
T5C1HIdragon,0,5,1,,haveT1C2WIdragon,2380,,
T5C1SFdragon,0,5,2,,haveT1C2WIdragon,2410,,
T5C1WUdragon,0,5,3,,haveT1C2WIdragon,2371,,
T5C2SEdragon,0,5,4,,haveT1C2WIdragon,2431,,
T5C1WDdragon,0,5,5,,haveT1C2WIdragon,2377,,
T5C2SUdragon,0,5,6,,haveT1C2WIdragon,2455,,
T5C2WIdragon,0,5,7,,haveT1C2WIdragon,2448,,
T5C3HFdragon,0,5,8,,haveT1C2WIdragon,2426,,
T5GGWUdragon,0,5,9,ruby:49950,unlockT5GoldDragon,2475,,
T5C1HEdragon,0,5,10,,haveT1C2WIdragon,2385,,
T5C2HDdragon,0,5,11,,haveT1C2WIdragon,2440,,
T5C3HUdragon,0,5,12,,haveT1C2WIdragon,2473,,
T5C3SDdragon,0,5,13,,haveT1C2WIdragon,2470,,
T5C3WFdragon,0,5,14,,haveT1C2WIdragon,2466,,
T5C3WEdragon,0,5,15,,haveT1C2WIdragon,2467,,
T5C3SIdragon,0,5,16,,haveT1C2WIdragon,2468,,
dodoDragon,0,3,20,,haveT1C2WIdragon,126,bg_godraysGold.png,
pumpkinDragon,0,4,20,,haveT1C2WIdragon,127,bg_godraysGold.png,
penguin,0,6,20,,haveT1C2WIdragon,128,bg_godraysGold.png,
LythLTODragon,0,1,19,,haveT1C2WIdragon,1,bg_godraysGold.png,
ZalonLTODragon,0,3,18,,haveT1C2WIdragon,2,bg_godraysGold.png,
OrmarrLTODragon,0,4,17,,haveT1C2WIdragon,3,bg_godraysGold.png,
LadonLTODragon,0,2,16,,haveT1C2WIdragon,4,bg_godraysGold.png,
T6C1WFdragon,0,6,1,,haveT1C2WIdragon,2473,,
T6C1SIdragon,0,6,2,,haveT1C2WIdragon,2474,,
T6C1HEdragon,0,6,3,,haveT1C2WIdragon,2475,,
T6C1WDdragon,0,6,4,,haveT1C2WIdragon,2476,,
T6C1WIdragon,0,6,5,,haveT1C2WIdragon,2477,,
T6C1SFdragon,0,6,6,,haveT1C2WIdragon,2478,,
T6C2HUdragon,0,6,7,,haveT1C2WIdragon,2479,,
T6C3HIdragon,0,6,8,,haveT1C2WIdragon,2480,,
T6C3HUdragon,0,6,9,,haveT1C2WIdragon,2481,,
T6C3WFdragon,0,6,10,,haveT1C2WIdragon,2482,,
T6C3SDdragon,0,6,11,,haveT1C2WIdragon,2483,,
T6C3SEdragon,0,6,12,,haveT1C2WIdragon,2484,,
seaDragon,0,3,15,,haveT1C2WIdragon,2485,bg_godraysGold.png,
kothDragon,0,5,17,,haveT1C2WIdragon,2486,bg_godraysGold.png,
skothDragon,0,6,13,,haveT1C2WIdragon,2487,bg_godraysGold.png,
yaziDragon,0,3,18,,haveT1C2WIdragon,2488,bg_godraysGold.png,
bixiDragon,0,5,19,,haveT1C2WIdragon,2489,bg_godraysGold.png,
newYearDragon,0,6,20,,haveT1C2WIdragon,2490,bg_godraysGold.png,
marchBlueDragon,0,3,15,,haveT1C2WIdragon,2491,bg_godraysGold.png,
marchGoldDragon,0,6,21,,haveT1C2WIdragon,2492,bg_godraysGold.png,
marchGreenDragon,0,5,17,,haveT1C2WIdragon,2493,bg_godraysGold.png,
T7C1WDdragon,0,7,1,,haveT1C2WIdragon,2494,,
T7C1SIdragon,0,7,2,,haveT1C2WIdragon,2495,,
T7C1HFdragon,0,7,3,,haveT1C2WIdragon,2496,,
T7C2WIdragon,0,7,4,,haveT1C2WIdragon,2497,,
T7C2SEdragon,0,7,5,,haveT1C2WIdragon,2498,,
T7C2HFdragon,0,7,6,,haveT1C2WIdragon,2499,,
T7C2HDdragon,0,7,7,,haveT1C2WIdragon,2500,,
T7C3WEdragon,0,7,8,,haveT1C2WIdragon,2501,,
T7C3SFdragon,0,7,9,,haveT1C2WIdragon,2502,,
T7C3SIdragon,0,7,10,,haveT1C2WIdragon,2503,,
T7C3WIdragon,0,7,11,,haveT1C2WIdragon,2504,,
T7C3HDdragon,0,7,12,,haveT1C2WIdragon,2505,,
aprilBlueDragon,0,3,16,,haveT1C2WIdragon,2506,bg_godraysGold.png,
aprilGoldDragon,0,6,22,,haveT1C2WIdragon,2507,bg_godraysGold.png,
mayBlueDragon,0,3,17,,haveT1C2WIdragon,2508,,
mayPlatinumDragon,0,7,13,,haveT1C2WIdragon,2509,bg_godraysGold.png,
juneTwitchDragon,0,1,100,,haveT1C2WIdragon,2510,bg_godraysGold.png,
pbogDragon,0,7,15,,haveT1C2WIdragon,2511,bg_godraysGold.png,
julyBlueDragon,0,3,18,,haveT1C2WIdragon,2511,,
julyPlatinumDragon,0,7,13,,haveT1C2WIdragon,2512,bg_godraysGold.png,
augustPlatinumDragon,0,3,101,,haveT1C2WIdragon,2513,bg_godraysGold.png,
T8C3WEdragon,0,8,1,,haveT1C2WIdragon,2514,,
T8C3SAdragon,0,8,2,,haveT1C2WIdragon,2515,,
T8C3HIdragon,0,8,3,,haveT1C2WIdragon,2516,,
T8C3WDdragon,0,8,4,,haveT1C2WIdragon,2517,,
T8C3SIdragon,0,8,5,,haveT1C2WIdragon,2518,,
T8C3HFdragon,0,8,6,,haveT1C2WIdragon,2519,,
T8C4WFdragon,0,8,7,,haveT1C2WIdragon,2520,,
T8C4SDdragon,0,8,8,,haveT1C2WIdragon,2521,,
T8C4HEdragon,0,8,9,,haveT1C2WIdragon,2522,,
skarrSapphireDragon,0,4,102,,haveT1C2WIdragon,2523,bg_godraysGold.png,
nightshadeSapphireDragon,0,4,103,,haveT1C2WIdragon,2524,bg_godraysGold.png,
ebonSapphireDragon,0,4,104,,haveT1C2WIdragon,2525,bg_godraysGold.png,
T1GGSFdragon,0,1,16,,haveT1C2WIdragon,29,bg_godraysGold.png,
phasmosSapphireDragon,0,4,105,,haveT1C2WIdragon,2526,bg_godraysGold.png,
T9C3WDdragon,0,9,1,,haveT1C2WIdragon,2525,,
T9C3SFdragon,0,9,2,,haveT1C2WIdragon,2526,,
T9C3HIdragon,0,9,3,,haveT1C2WIdragon,2527,,
T9C3HEdragon,0,9,4,,haveT1C2WIdragon,2528,,
T9C3SDdragon,0,9,5,,haveT1C2WIdragon,2529,,
T9C3WIdragon,0,9,6,,haveT1C2WIdragon,2530,,
T9C4SEdragon,0,9,7,,haveT1C2WIdragon,2531,,
T9C4WWdragon,0,9,8,,haveT1C2WIdragon,2532,,
T9C4HIdragon,0,9,9,,haveT1C2WIdragon,2533,,
tenguDragon,0,4,106,,haveT1C2WIdragon,2532,bg_godraysGold.png,
tarandDragon,0,4,107,,haveT1C2WIdragon,2533,bg_godraysGold.png,
snowdropDragon,0,4,108,,haveT1C2WIdragon,2534,bg_godraysGold.png,
algorDragon,0,4,109,,haveT1C2WIdragon,2535,bg_godraysGold.png,
springWarriorDragon,0,4,110,,haveT1C2WIdragon,2536,bg_godraysGold.png,
springSorcererDragon,0,4,111,,haveT1C2WIdragon,2537,bg_godraysGold.png,
demonDragon,0,4,112,,haveT1C2WIdragon,2538,bg_godraysGold.png,
T10C3WFdragon,0,10,1,,haveT1C2WIdragon,2536,,
T10C3WWdragon,0,10,2,,haveT1C2WIdragon,2537,,
T10C3HEdragon,0,10,3,,haveT1C2WIdragon,2538,,
T10C3HFdragon,0,10,4,,haveT1C2WIdragon,2539,,
T10C3SWdragon,0,10,5,,haveT1C2WIdragon,2540,,
T10C3SIdragon,0,10,6,,haveT1C2WIdragon,2541,,
springHunterDragon,0,4,113,,haveT1C2WIdragon,2542,bg_godraysGold.png,
springMythicDragon,0,4,114,,haveT1C2WIdragon,2543,bg_godraysGold.png,
T10C4WDdragon,0,10,7,,haveT1C2WIdragon,2542,,
T10C4HEdragon,0,10,8,,haveT1C2WIdragon,2543,,
T10C4SEdragon,0,10,9,,haveT1C2WIdragon,2544,,
T11C3WFdragon,0,11,1,,haveT1C2WIdragon,2545,,
T11C3WEdragon,0,11,2,,haveT1C2WIdragon,2546,,
T11C3HWdragon,0,11,3,,haveT1C2WIdragon,2547,,
T11C3HFdragon,0,11,4,,haveT1C2WIdragon,2548,,
T11C3SIdragon,0,11,5,,haveT1C2WIdragon,2549,,
T11C3SDdragon,0,11,6,,haveT1C2WIdragon,2550,,
T11C4WWdragon,0,11,7,,haveT1C2WIdragon,2551,,
T11C4HDdragon,0,11,8,,haveT1C2WIdragon,2552,,
T11C4SFdragon,0,11,9,,haveT1C2WIdragon,2553,,
summerHunterDragon,0,4,115,,haveT1C2WIdragon,2545,bg_godraysGold.png,
summerSorcererDragon,0,4,116,,haveT1C2WIdragon,2546,bg_godraysGold.png,
summerDiscountDragon,0,4,117,,haveT1C2WIdragon,2547,bg_godraysGold.png,
summerWarriorDragon,0,4,118,,haveT1C2WIdragon,2548,bg_godraysGold.png,
summerMythicDragon,0,4,119,,haveT1C2WIdragon,2549,bg_godraysGold.png,
emberDragon,0,1,9,,haveT1C2WIdragon,2550,,
twitchFanDragon,0,1,120,,haveT1C2WIdragon,2551,bg_godraysGold.png,
fallDiscountDragon,0,4,121,,haveT1C2WIdragon,2552,bg_godraysGold.png,
fallSorcererDragon,0,4,122,,haveT1C2WIdragon,2553,bg_godraysGold.png,
fallWarriorDragon,0,4,123,,haveT1C2WIdragon,2554,bg_godraysGold.png,
fallHunterDragon,0,4,124,,haveT1C2WIdragon,2555,bg_godraysGold.png,
fallMythicDragon,0,4,125,,haveT1C2WIdragon,2556,bg_godraysGold.png,
fallEventDragon,0,1,126,,haveT1C2WIdragon,2557,bg_godraysGold.png,
E17Q4DiscountDragon,0,4,127,,haveT1C2WIdragon,2558,,
earthEvolvingWarrior,0,4,126,,haveT1C2WIdragon,2557,bg_godraysGold.png,
E17Q4SorcererDragon,0,4,129,,haveT1C2WIdragon,2560,bg_godraysGold.png,
E17Q4HunterDragon,0,4,128,,haveT1C2WIdragon,2559,bg_godraysGold.png,
E17Q4WarriorDragon,0,4,130,,haveT1C2WIdragon,2561,bg_godraysGold.png,
E17Q4FinalDragon,0,4,131,,haveT1C2WIdragon,2562,bg_godraysGold.png,
T12C3WIdragon,0,12,1,,haveT1C2WIdragon,2563,,
T12C3WFdragon,0,12,2,,haveT1C2WIdragon,2564,,
T12C3HEdragon,0,12,3,,haveT1C2WIdragon,2565,,
T12C3SWdragon,0,12,4,,haveT1C2WIdragon,2566,,
T12C4WIdragon,0,12,10,,haveT1C2WIdragon,2567,,
E17Q4NewYearDragon,0,1,132,,haveT1C2WIdragon,2568,bg_godraysGold.png,
E18Q1DiscountDragon,0,4,132,,haveT1C2WIdragon,2569,bg_godraysGold.png,
E18Q1WarriorDragon,0,4,135,,haveT1C2WIdragon,2572,bg_godraysGold.png,
E18Q1FinalDragon,0,4,136,,haveT1C2WIdragon,2573,bg_godraysGold.png,
E18Q1SorcererDragon,0,4,133,,haveT1C2WIdragon,2575,bg_godraysGold.png,
E18Q1HunterDragon,0,4,134,,haveT1C2WIdragon,2576,bg_godraysGold.png,
E18Q1GoofyDragon,0,3,15,,haveT1C2WIdragon,2574,,
T12C3HDdragon,0,12,5,,haveT1C2WIdragon,2577,,
T12C3SFdragon,0,12,6,,haveT1C2WIdragon,2578,,
T12C4HDdragon,0,12,7,,haveT1C2WIdragon,2579,,
T12C4SWdragon,0,12,8,,haveT1C2WIdragon,2590,,
E18Q2DiscountDragon,0,4,137,,haveT1C2WIdragon,2577,bg_godraysGold.png,
E18Q2FinalDragon,0,4,139,,haveT1C2WIdragon,2579,bg_godraysGold.png,
E18Q2HunterDragon,0,4,141,,haveT1C2WIdragon,2581,bg_godraysGold.png,
T13C3WIdragon,0,13,1,,haveT1C2WIdragon,2600,,
T13C3WDdragon,0,13,2,,haveT1C2WIdragon,2601,,
T13C3HWdragon,0,13,3,,haveT1C2WIdragon,2602,,
T13C3HFdragon,0,13,4,,haveT1C2WIdragon,2603,,
