identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityIgnoresUntargetable,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,projectileHitNodeName,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,attackPowerModifier,cameraNode,maxTierCanPlace,worldMapSceneFile,h
String,Integer,String,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Integer,String,Float,Float,Integer,Integer,String,String,LocalizedString,LocalizedString,Integer,String,String,Integer,String,String,Integer,String,String
DragonPerch08BuildingUpgrades_0,0,0,perchVolcanic_construction.lvl,,,3,,,1000,0.7,1,60,1,,,,,,,,,,,,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,warrior:1|sorcerer:1|hunter:1,cam_perchVolcanic,0,perchAutumn_construction.lvl,
DragonPerch08BuildingUpgrades_1,1,0,perchVolcanic_level01.lvl,,blackPearl:3000,49500,,1,8389,0.7,1,60,1,,,,,,,,,,,experience:28,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.4|sorcerer:0.45|warrior:2,cam_perchVolcanic,2,perchGrass_level01.lvl,
DragonPerch08BuildingUpgrades_2,2,0,perchVolcanic_level01.lvl,,piercing:208,105300,,1,9603,0.7,1,60,1,,,,,,,,,,,experience:98,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.43|sorcerer:0.48|warrior:2.15,cam_perchVolcanic,2,perchGrass_level01.lvl,
DragonPerch08BuildingUpgrades_3,3,0,perchVolcanic_level01.lvl,,blackPearl:200,121500,,1,10994,0.7,1,60,1,,,,,,,,,,,experience:225,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.48|sorcerer:0.54|warrior:2.38,cam_perchVolcanic,2,perchGrass_level01.lvl,
DragonPerch08BuildingUpgrades_4,4,0,perchVolcanic_level01.lvl,,piercing:861,151470,,1,12586,0.7,1,60,1,,,,,,,,,,,experience:383,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.55|sorcerer:0.62|warrior:2.75,cam_perchVolcanic,2,perchGrass_level01.lvl,
DragonPerch08BuildingUpgrades_5,5,0,perchVolcanic_level01.lvl,,blackPearl:300,169290,,1,14409,0.7,1,60,1,,,,,,,,,,,experience:428,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.64|sorcerer:0.71|warrior:3.18,cam_perchVolcanic,2,perchGrass_level01.lvl,
DragonPerch08BuildingUpgrades_6,6,0,perchVolcanic_level02.lvl,,piercing:1894,172800,,7,16446,0.7,1,60,1,,,,,,,,,,,experience:600,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.73|sorcerer:0.82|warrior:3.63,cam_perchVolcanic,3,perchGrass_level02.lvl,
DragonPerch08BuildingUpgrades_7,7,0,perchVolcanic_level02.lvl,,blackPearl:400,189000,,7,18696,0.7,1,60,1,,,,,,,,,,,experience:750,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.83|sorcerer:0.93|warrior:4.15,cam_perchVolcanic,3,perchGrass_level02.lvl,
DragonPerch08BuildingUpgrades_8,8,0,perchVolcanic_level02.lvl,,piercing:3714,189000,,12,21169,0.7,1,60,1,,,,,,,,,,,experience:750,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:0.95|sorcerer:1.07|warrior:4.74,cam_perchVolcanic,3,perchGrass_level02.lvl,
DragonPerch08BuildingUpgrades_9,9,0,perchVolcanic_level02.lvl,,blackPearl:500,199384,,12,23875,0.7,1,60,1,,,,,,,,,,,experience:924,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.08|sorcerer:1.21|warrior:5.4,cam_perchVolcanic,3,perchGrass_level02.lvl,
DragonPerch08BuildingUpgrades_10,10,0,perchVolcanic_level02.lvl,,piercing:8712,227368,,17,26818,0.7,1,60,1,,,,,,,,,,,experience:1264,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.21|sorcerer:1.36|warrior:6.03,cam_perchVolcanic,3,perchGrass_level02.lvl,
DragonPerch08BuildingUpgrades_11,11,0,perchVolcanic_level03.lvl,,blackPearl:600,233513,,17,30004,0.7,1,60,1,,,,,,,,,,,experience:1298,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.27|sorcerer:1.42|warrior:6.33,cam_perchVolcanic,4,perchGrass_level03.lvl,
DragonPerch08BuildingUpgrades_12,12,0,perchVolcanic_level03.lvl,,piercing:17819,240000,,21,33435,0.7,1,60,1,,,,,,,,,,,experience:1667,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.33|sorcerer:1.49|warrior:6.64,cam_perchVolcanic,4,perchGrass_level03.lvl,
DragonPerch08BuildingUpgrades_13,13,0,perchVolcanic_level03.lvl,,blackPearl:700,259200,,21,37221,0.7,1,60,1,,,,,,,,,,,experience:2058,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.39|sorcerer:1.56|warrior:6.95,cam_perchVolcanic,4,perchGrass_level03.lvl,
DragonPerch08BuildingUpgrades_14,14,0,perchVolcanic_level03.lvl,,piercing:38115,266823,,28,41436,0.7,1,60,1,,,,,,,,,,,experience:2118,0~0~200,,,,,,,,,prop_dragonPerch_death.lvl,,,,,prop_perch_constructionKit.lvl,,10,hunter:1.45|sorcerer:1.63|warrior:7.26,cam_perchVolcanic,4,perchGrass_level03.lvl,
