identifier,inBundle,dragonDisplayName,fileName,sharedRig,idleAnimation,attackingAnimation,projectileStartFrame,projectileEndFrame,totalFrames,shakingScreenFidgets,h
String,Integer,LocalizedString,String,String,String,String,Integer,Integer,Float,String,String
chineseDragon02,,Ryuu,drg_chinese,n/a,idle,idle,25,25,48,,
T1C1WFdragon,,Draco,drg_fire,C,idle,fidget,35,70,100,,
T1C1SEdragon,,Leviathan,drg_chinese,n/a,idle,idle,25,25,48,,
T1C1HIdragon,,Frigg,drg_drake,B,idle,fidget03,65,65,99,,
T1C2WIdragon,,Zin,drg_blue,C,idle,fidget,35,70,100,,
T1C2HEdragon,,Hext,drg_stone,n/a,idle,fidget,,,131,,
T1C2SFdragon,,Aetrix,drg_elegantPhoenix,n/a,idle,fidget,,,150,,
T1C3WEdragon,,Hantu,drg_armoredGreen,n/a,idle,idle,80,100,150,,
T1C3HFdragon,,Kastor,drg_red,n/a,idle,fidget,,,126,,
T1C3SIdragon,,Kinnara,drg_noblePrey,D,idle,fidget03,60,60,80,,
T1GGWFdragon,,Fenrir,drg_crimson,C,idle,fidget,35,70,100,,
T2C1HIdragon,,Trollis,drg_hunter,B,idle,fidget03,65,65,100,,
T2C1WEdragon,,Laekrian,drg_tankCrystal,n/a,idle,fidget,,,91,,
T2C1SFdragon,,Merk,drg_nightcrawler,D,idle,fidget,65,65,121,,
T2C1HUdragon,,Dactyl,drg_undead_pox,B,idle,fidget03,65,65,100,,
T2C2WIdragon,,Gog,drg_iceFrost,n/a,idle,fidget,,,131,,
T2C2SUdragon,,Huli,drg_undead_diablo,D,idle,fidget,50,50,110,,
T2C2HEdragon,,Borg,drg_earth_wyvern,B,idle,fidget03,65,65,99,,
T2C3WUdragon,,Vladimir,drg_skeletalMetal,A,idle,fidget,40,60,95,,
T2C3SEdragon,,Alikorn,drg_earthSorcerer,D,idle,fidget03,60,60,100,,
T2C3HFdragon,,Daemun,drg_stormFury,n/a,idle,idle,50,50,146,,
T2C3SFdragon,,Garuda,drg_noblePrey,D,idle,fidget03,60,60,110,,
T2C3HIdragon,,Klax,drg_undead_spectral,C,idle,fidget,35,70,100,,
T2C3WEdragon,,Arborius,drg_nature,C,idle,fidget,35,70,100,,
T2GGSIdragon,,Dominus,drg_chineseCelestial,n/a,idle,idle,25,25,48,,
T3C1WEdragon,,Grypp,drg_tankSiege,n/a,idle,fidget,,,91,,
T3C1SFdragon,,Jura,drg_alienbugHornet,n/a,idle,fidget,,,121,,
T3C1HIdragon,,Kromon,drg_stoneIce,n/a,idle,fidget,,,131,,
T3C1WUdragon,,Yanari,drg_skeletalInfernal,A,idle,fidget,40,60,95,,
T3C1SIdragon,,Vazir,drg_chineseArcane,n/a,idle,idle,25,25,48,,
T3C1HEdragon,,Drude,drg_stormGreen,n/a,idle,idle,50,50,146,,
T3C2SEdragon,,Sahran,drg_earthSorcerer,D,idle,fidget,65,65,122,,
T3C2HUdragon,,Bolt,drg_undead_skeletalHunter,B,idle,fidget03,65,65,100,,
T3C2WFdragon,,Kelsis,drg_classicRed,C,idle,fidget,35,70,95,,
T3C3SUdragon,,Etzel,drg_wingedSerpentAcid,n/a,idle,idle,70,70,91,,
T3C3HFdragon,,Kobahl,drg_undead_spectral,C,idle,fidget,35,70,100,,
T3C3WIdragon,,Baldr,drg_tankIce,n/a,idle,fidget,,,91,,
T3C3HIdragon,,Viscus,drg_stormBlue,n/a,idle,idle,50,50,146,,
T3GGHEdragon,,Numen,drg_hunter,B,idle,fidget03,65,65,100,,
T4C1SFdragon,,Ankor,drg_chineseGold,n/a,idle,idle,25,25,48,,
T4C1HIdragon,,Noss,drg_stormIce,n/a,idle,idle,50,50,146,,
T4C1WUdragon,,Hydron,drg_nature,C,idle,fidget,70,70,100,,
T4C1SDdragon,,Slynx,drg_metalSorcerer,D,idle,fidget02,50,50,109,,
T4C1HEdragon,,Habrok,drg_undead_spectral,C,idle,fidget,35,70,100,,
T4C1HFdragon,,Volos,drg_fire_brimstone,B,idle,fidget03,65,65,99,,
T4C2WIdragon,,Amarok,drg_armoredBlue,n/a,idle,idle,80,100,150,,
T4C2SEdragon,,Luminark,drg_noblePrey,D,idle,fidget03,60,60,110,,
T4C2HUdragon,,Lucius,drg_undead_zombie,B,idle,fidget03,65,65,99,,
T4C2WDdragon,,Bronze,drg_metalWarrior,A,idle,fidget,40,60,95,,
T4C3SIdragon,,Septys,drg_elegant,n/a,idle,fidget,,,150,,
T4C3WFdragon,,Ruma,drg_fire,C,idle,fidget,35,70,100,,
T4C3HDdragon,,Enki,drg_metalHunter,B,idle,fidget03,65,65,151,,
T4C3SUdragon,,Durga,drg_undead_diablo,D,idle,fidget,50,50,110,,
T4C3WEdragon,,Kolo,drg_hammerhead,A,idle,fidget,40,60,95,,
T4GGSDdragon,,Darja,drg_metalSorcerer,D,idle,fidget03,60,60,110,,
T5C1WUdragon,,Gaspar,drg_skeletalNightmare,A,idle,fidget,40,60,95,,
