identifier,dragonClass,minDragonRarity,minDragonTier,buildingIdentifier,buildingType,boostEffects,displayName,displayIcon,detailedDisplayName,h
String,String,Integer,Integer,String,String,String,LocalizedString,String,LocalizedString,String
perchBoost1,sorcerer,5,0,archerTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost2,sorcerer,5,0,cannonTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost3,sorcerer,5,0,ballista,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost4,sorcerer,5,0,stormTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost5,sorcerer,5,0,mageBlueTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost6,sorcerer,5,0,mageTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost7,sorcerer,5,0,trebuchet,,stunDurationBoost:stunDurationBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increase supershot's stun duration by %gs,
perchBoost8,sorcerer,5,0,lightningTower,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost9,sorcerer,5,0,hogFarm,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost10,sorcerer,5,0,hogFarm,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost11,sorcerer,5,0,ice,,iceShieldHPBoost:iceShieldHPBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increase super shot ice shield's HP by %g%%,
perchBoost12,sorcerer,5,0,fire,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost13,hunter,5,0,,tower,attackPowerBoostByPerch:attackPowerboost1,Tower Attack Boost %g%%,icon_atkSpeedBonusLegendary.png,Increase nearby tower's attack by %g%%,
perchBoost14,warrior,5,0,,allBuilding,hpBoostByPerch:hpBoost1,Tower Health Boost %g%%,icon_atkSpeedBonusLegendary.png,Increase nearby tower's HP by %g%%,
perchBoost15,sorcerer,6,0,,allBuilding,refundActiveAbility:refundActiveAbility1,Refund Supershot %g%% Chance,icon_supershotBonusMythic.png,Refund your supershot's cost in %g%% of the time,
perchBoost16,hunter,6,0,,tower,doubleAttackPower:doubleAttackPower1,2x Attack %g%% Chance,icon_atkSpeedBonusMythic.png,Double the damage dragon on perch deals %g%% of time,
perchBoost17,warrior,6,0,,allBuilding,sturdyDefense:sturdyDefense1,Tower Ward %g%% HP,icon_towerHealthBonusMythic.png,"Every 4 seconds, select one of nearby towers and provide shield with %g%% of tower HP",
perchBoost18,sorcerer,5,0,elementalFlakDark,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost19,sorcerer,5,0,elementalFlakFire,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost20,sorcerer,5,0,elementalFlakIce,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost21,sorcerer,5,0,elementalFlakWind,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,
perchBoost22,sorcerer,5,0,elementalFlakEarth,,activeAbilityDamageBoost:damageBoost1,Supershot Boost %g%%,icon_supershotBonusLegendary.png,Increases nearby tower's supershot damage by %g%%,!@#gickhpgfhcahhckk
