key,value,localizedValue,h
String,String,LocalizedString,String
perchDragonDuration,86400,,
idleStatusOverlay,,Perch,
rarityRequiredToEnableElementalResistance,4,,
rarityRequiredToBoostSuperShot,5,,
perchAttackPowerBoost,30,,
perchAttackPowerBoostText,,+%.f%% Perch Attack,
perchDragonElementResistance,10,,
dragonXPModifier,1,,
dragonAttackModifier,0.8,,
dragonFeedCostModifier,40,,
perchBoostTime,5400,,
perchFeedUpperBound,95,,
unableToFeedPrompt,,Cannot Feed the Dragon if remaining time exceeds %@%% of the maximum value,
perchBoostTimeMultiplier,4,,
unassignDragonMessage,,Are you sure you wish to remove your dragon from its perch?,
unassignDragonMessageAfterUnssign,,Assign a dragon to this perch to harness its powers.,
assignDragonMessage,,"Assigning this dragon to your perch will remove it from your roster and make it unable to attack while it's on the perch. You won't be able to remove this dragon from the perch for %@ after assigning it, but it will gain experience every day it's on the perch.",
feedDragonPrompt,,Feed your stationed Dragon to boost its attack for %@. It can be fed multiple times.,
perchUpgradePrompt,,Upgrading this perch now will send your dragon back to the Dragon Den. When the upgrade is complete you can reassign this dragon or assign a new dragon to the perch.,
perchAttackPowerBoostIcon,icon_boost_attack_07.png,,
perchDragonNoBuffPrompt,,"Common and Rare dragons assigned to perches will attack incoming dragons. Epic quality dragons and above will provide additional benefits such as elemental resistances, tower bonuses, and more",
perchPowerLevelModifier,0.7,,
defaultDialogTitle,,Dragon Perch,
dragonDenDeniedSwapPrompt,,You can't change the status of a dragon that's on perch,
dragonHealingPrompt,,Heal your dragon before placing into Perch,
perchDragonSwitchToRoster,,Are you sure you want to switch the Perch Dragon to Roster?,
dragonCannotPlaceIntoDragonPrompt,,We will support this Dragon soon,
dragonRarityAndTierMultiplier0,red:0.409|purple:0.691|blue:0.699|orange:0.689|green:0|gold:0|platinum:0|sapphire:0|garnet:0|emerald:0|obsidian:0|harbinger:0|vanguard:0|empyrean:0|abyssal:0,,
dragonRarityAndTierMultiplier3,red:0.309|purple:0.554|blue:0.594|orange:0.554|green:0.675|gold:0.677|platinum:0.331|sapphire:0|garnet:0|emerald:0|obsidian:0|harbinger:0|vanguard:0|empyrean:0|abyssal:0,,
dragonRarityAndTierMultiplier4,red:0.217|purple:0.363|blue:0.427|orange:0.405|green:0.446|gold:0.287|platinum:0.231|sapphire:0|garnet:0|emerald:0|obsidian:0|harbinger:0|vanguard:0|empyrean:0|abyssal:0,,
dragonRarityAndTierMultiplier5,red:0.217|purple:0.363|blue:0.427|orange:0.216|green:0.236|gold:0.219|platinum:0.193|sapphire:0.132|garnet:0.12|emerald:0.12|obsidian:0.12|harbinger:0.12|vanguard:0.1|empyrean:0.1|abyssal:0.1,,
dragonRarityAndTierMultiplier6,red:0.217|purple:0.363|blue:0.427|orange:0.216|green:0.236|gold:0.219|platinum:0.193|sapphire:0.135|garnet:0.12|emerald:0.12|obsidian:0.12|harbinger:0.12|vanguard:0.1|empyrean:0.1|abyssal:0.1,,
evolvePrompt,,Evolving this dragon now will send it back to the Dragon Den. Would you like to continue?,
evolvePromptTitle,,Warning,
dragonRiderOnMission,,"Rider is on mission, cannot assign on perch",
expansionRegionsStringBoostedByPerch,perchIsland03:island02-island03|perchIsland06:island04-island05-island06|perchIsland08:island07-island08,,
perchBuffsInfoTitle,,Buffs,
perchBuffsInfoMessage,,"Resource buffs will select the highest buff on the three perches, Battle buffs will apply the one on the perch that covers the building.",
perchResistanceInfoString,,%ld%% %@,
perchAttackPreviewCircleOpacity,150,,
perchAttackPreviewiPhoneScale,0.93,,
unassignLastDragonMessage,,This dragon is the last dragon in your roster. Please add more dragons to your roster in order to assign this dragon to this perch.,!@#oppgbbibonjccdna
