identifier,name,displayName,color,eggCurrency,teamAttackDragonXPBonusMultiplier,h
String,String,LocalizedString,String,String,Float,String
0,,,240~58~35,,1.75,
1,Red,Red,240~58~35,redEggCurrency,1.5,
2,Purple,Purple,178~68~157,purpleEggCurrency,1.3,
3,Blue,Blue,64~81~248,blueEggCurrency,0.1,
4,Orange,Orange,230~122~29,orangeEggCurrency,0.1,
5,Green,Green,117~201~51,greenEggCurrency,0.1,
6,Gold,Gold,250~212~10,goldEggCurrency,0.1,
7,Platinum,Platinum,229~238~226,platinumEggCurrency,0.1,
8,Sapphire,Sapphire,51~51~153,sapphireEggCurrency,0.1,
9,Garnet,Garnet,240~58~35,garnetEggCurrency,0.1,
10,Emerald,Emerald,117~201~51,emeraldEggCurrency,0.1,
11,Obsidian,Obsidian,85~16~51,obsidianEggCurrency,0.1,
12,Harbinger,Harbinger,93~222~202,atlasEggCurrency,0.1,
13,Vanguard,Vanguard,255~192~23,vanguardEggCurrency,0.1,
14,Empyrean,Empyrean,120~81~192,empyreanEggCurrency,0.1,
15,Abyssal,Abyssal,255~42~62,abyssalEggCurrency,0.1,!@#aghdpflioppffpkp
