identifier,commonIdentifier,level,maxTimes,debuffType,debuffEffectInfoIdentifier,radius,percentageIncreasedDamage,ragePoints,damageAsPercentageOfMaxHP,h
String,String,String,Integer,String,String,Float,Float,Float,Float,String
dreadfulRoar1,,1,100,gloomCloud,gloomCloud01,80,20,200,,
dreadfulRoar2,,2,100,gloomCloud,gloomCloud02,80,20,200,,
dreadfulRoar3,,3,100,gloomCloud,gloomCloud03,80,20,200,,
dreadfulRoar4,,4,100,gloomCloud,gloomCloud04,80,20,200,,
dreadfulRoar5,,5,100,gloomCloud,gloomCloud05,80,20,200,,
dreadfulRoar6,,6,100,gloomCloud,gloomCloud06,80,20,200,,
dreadfulRoar7,,7,100,gloomCloud,gloomCloud07,80,20,200,,
dreadfulRoar8,,8,100,gloomCloud,gloomCloud08,80,20,200,,
dreadfulRoar9,,9,100,gloomCloud,gloomCloud09,80,20,200,,
dreadfulRoar10,,10,100,gloomCloud,gloomCloud10,80,20,200,,
dreadfulRoar11,,11,100,gloomCloud,gloomCloud11,80,20,200,,
dreadfulRoar12,,12,100,gloomCloud,gloomCloud12,80,20,200,,
dreadfulRoar13,,13,100,gloomCloud,gloomCloud13,80,20,200,,
dreadfulRoar14,,14,100,gloomCloud,gloomCloud14,80,20,200,,
dreadfulRoar15,,15,100,gloomCloud,gloomCloud15,80,20,200,,
dreadfulRoar16,,16,100,gloomCloud,gloomCloud16,80,20,200,,
dreadfulRoar17,,17,100,gloomCloud,gloomCloud17,80,20,200,,
dreadfulRoar18,,18,100,gloomCloud,gloomCloud18,80,20,200,,
dreadfulRoar19,,19,100,gloomCloud,gloomCloud19,80,20,200,,
dreadfulRoar20,,20,100,gloomCloud,gloomCloud20,80,20,200,,
dreadfulRoar21,,21,100,gloomCloud,gloomCloud21,80,20,200,,
dreadfulRoar22,,22,100,gloomCloud,gloomCloud22,80,20,200,,
dreadfulRoar23,,23,100,gloomCloud,gloomCloud23,80,20,200,,
dreadfulRoar24,,24,100,gloomCloud,gloomCloud24,80,20,200,,
dreadfulRoar25,,25,100,gloomCloud,gloomCloud25,80,20,200,,
dreadfulRoar26,,26,100,gloomCloud,gloomCloud26,80,20,200,,
dreadfulRoar27,,27,100,gloomCloud,gloomCloud27,80,20,200,,
dreadfulRoar28,,28,100,gloomCloud,gloomCloud28,80,20,200,,
dreadfulRoar29,,29,100,gloomCloud,gloomCloud29,80,20,200,,
dreadfulRoar30,,30,100,gloomCloud,gloomCloud30,80,20,200,,
